Score	UserID	Lang	Pseudo	#time=2019-09-07 11:49:17,count=37
5441	2288263	Rust	dbdr	
5811	1629259	PHP	Marchete	
17322	2924895	C	trictrac	
19154	155774	PHP	dwarfie	
19635	1378958	PHP	Illedan	
20600	925695	Bash	Boulet	
25459	934381	Rust	PolyB	
26291	1436776	PHP	BrainSolver	
26947	1509627	Javascript	puma17	
28213	2416641	PHP	Zenoscave	
34334	3226448	PHP	tobk	
37240	2786666	Bash	TetraktysPhi	
39367	2510531	Python3	Jamproject	
41569	2007852	PHP	Zorg1	
42394	2508635	Java	hemhel	
43692	1607522	PHP	RoboStac	
49068	888898	PHP	helgui	
53715	1854246	PHP	Counterbalance	
67264	3075636	Dart	Dr-D	
67728	2802859	Ruby	tdeo	
74416	631323	Python3	herve056	
75203	512097	Haskell	Stilgart	
76532	925202	PHP	VirtuaL42	
77283	1518732	PHP	Apfeloxid	
79870	2407700	PHP	adoxography	
86540	257832	PHP	BlaiseEbuth	
101439	1500515	PHP	eulerscheZahl	
