League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=4303,time=2020-11-14 00:47:06
2	58.57	4057741	3197666	Rust	emil.	
2	57.6	965676	3198446	C++	Rafbill	
2	55.92	4056744	3198896	C++	itigo	
2	55.78	3457031	3197906	C++	YurkovAS	
2	55.65	2577687	3197212	C++	blasterpoard	
2	55.08	2771264	3193632	C++	Shun_PI	
2	54.31	2311105	3197573	C++	kovi	
2	54.25	1579838	3199099	Rust	Roolmo	
2	53.81	1061242	3196864	C++	Csipcsirip	
2	53.59	3436443	3196215	C++	Mazelcop	
2	53.41	3817695	3194399	C++	torisasami	
2	53.23	3235897	3199044	Java	Zylo	
2	52.95	739151	3198263	C++	Romka	
2	52.77	3353481	3191057	C++	takumi152	
2	52.35	527749	3195968	Go	Pds	
2	52.35	1500515	3193343	C#	eulerscheZahl	
2	52.22	977117	3191354	C++	Psyho	
2	52.09	2600493	3199072	Java	SuperNit	
2	51.78	2288263	3194110	Rust	dbdr	
2	51.31	1314316	3198154	C++	jolindien	
2	51.29	2838943	3191153	Python3	zapakh	
2	51.27	3564009	3188089	Lua	Waffle3z	
2	51.26	276480	3196047	Javascript	Karang	
2	51.15	3869618	3195879	Dart	tsds	
2	51.15	2007852	3199076	Go	Zorg1	
2	51.11	3808197	3198918	Java	Didip	
2	51.11	1372349	3198911	Java	NinjaDoggy	
2	51.04	2321957	3199035	C++	Xenoid	
2	50.63	828459	3188020	Rust	omu	
2	50.6	811616	3199034	Rust	ZawaPL	
2	50.36	628001	3198414	Javascript	Herobrine	
2	50.14	2012297	3192280	C++	Maksim1744	
2	50.07	1853999	3196851	C++	Rounddice	
2	50.03	1341520	3199134	Java	egaetan	
2	49.93	906355	3195673	Java	iam1	
2	49.91	4053266	3197637	C++	Mayimg	
2	49.82	1480384	3197860	C++	RockyMullet	
2	49.78	3533119	3197279	Python3	wlesavo	
2	49.77	2566623	3198397	C++	VincentBab	
2	49.74	552776	3197455	PHP	player_one	
2	49.72	799904	3197551	C++	iwashi31	
2	49.71	3889192	3195758	Python3	Xmaster6	
2	49.68	351062	3199078	C++	Neumann	
2	49.63	2968035	3196092	C++	DomiKo	
2	49.6	1876150	3197870	TypeScript	Mastard	
2	49.59	4053158	3196529	C#	eLVampa	
2	49.58	609664	3197502	C++	core2duo	
2	49.48	3974692	3193590	Python3	namogel	
2	49.43	155774	3193611	C++	dwarfie	
2	49.42	1239545	3199092	Go	jke	
2	49.35	2668167	3195158	C#	apppackerino	
2	49.3	3922325	3197208	C++	Degalat	
2	49.29	1106450	3195694	C++	RiSuS	
2	49.21	3818787	3193034	C++	hotman	
2	48.99	3193653	3194279	C++	karliso	
