League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=1880,time=2020-04-09 00:48:12
4	34.61	1314316	2763280	C++	jolindien	
4	33.6	2311105	2766842	C++	kovi	
4	33.08	2741162	2763853	Kotlin	YannT	
4	32.71	3533119	2766045	Python3	wlesavo	
4	32.55	580424	2766832	C++	siman	
4	32.37	832306	2766906	C++	pb4	
4	31.19	893541	2766434	Java	wala	
4	30.75	1061242	2766440	C++	chucknorris	
4	30.66	2288263	2764936	Rust	dbdr	
4	28.72	1335230	2766342	C++	jft63	
4	28.71	155881	2764659	PHP	XLP	
4	28.49	1034635	2765214	C++	SlyB	
4	28.32	2571540	2766030	C++	Nagatwin	
4	28.32	2577687	2762751	C++	blasterpoard	
4	28.25	2906497	2763110	C++	daaskare	
4	28.19	154312	2766901	C++	ThomasNicoullaud	
4	28.18	1607522	2765575	C++	RoboStac	
4	28.04	1500515	2766040	C#	eulerscheZahl	
4	28	3744791	2766225	C++	Zhmyh	
4	27.33	1944726	2766379	C++	bourgeof	
4	27.15	1489865	2763271	C++	EricSMSO	
4	27.13	311035	2766660	Python3	leojean890	
4	27.11	1341520	2748814	Java	egaetan	
4	26.82	925695	2766315	OCaml	Boulet	
4	26.8	2684388	2750787	C++	he_____he	
4	26.35	2923506	2764644	C++	darkhorse64	
4	26.16	648751	2766568	Haskell	dabino	
4	26.05	155896	2766708	PHP	gamoul	
4	25.99	3513922	2756572	C++	Skril	
4	25.9	1378958	2748811	C#	Illedan	
4	25.71	1082988	2760146	C++	Saelyos	
4	25.64	1998194	2760818	C++	nus_miz	
4	25.52	820000	2765679	C++	ValGrowth	
4	25.5	1704708	2748831	C++	valcodi	
4	25.28	610934	2757376	C++	y_kawano	
4	24.97	1114834	2748840	Java	k4ng0u	
4	24.68	3087270	2765561	Swift	Alex.swift	
4	24.62	379381	2764485	C#	shuang1985	
4	24.45	443750	2766770	C++	mlomb	
4	24.37	1741196	2756371	C++	Valdemar	
4	24.33	3502867	2757584	C++	The_Duck	
4	24.24	2722975	2766909	C++	skal	
4	24.19	3700890	2749203	Python3	tempux	
4	23.88	1631358	2766784	Rust	joelthelion	
4	23.85	837350	2761876	Python3	BorisZ	
4	23.79	3120506	2761414	C++	banduga	
4	23.65	2086201	2748859	C++	mchl12	
4	23.35	154984	2766836	C++	_Royale	
4	23.3	351062	2750734	C++	Neumann	
4	23.25	1944090	2760077	C#	spaceorc	
4	23.16	2892017	2754599	C++	wonsz	
4	23.13	1717276	2748855	C++	gasin	
4	23.11	735487	2766921	C++	amurushkin	
