League	Score	UserID	AgentID	Lang	Pseudo	#challenge,count=4110,time=2020-05-12 21:43:49
3	34.79	2311105	2913703	C++	kovi	
3	34.65	2489835	2914537	C#	Akarachudra	
3	34.54	2288263	2912695	Rust	dbdr	
3	34.39	1469535	2909752	C++	T1024	
3	33.57	2035142	2908012	C++	Tiberiu02	
3	32.75	3154027	2908957	C++	Jirotech	
3	32.5	580424	2914780	C++	siman	
3	32.39	739151	2902535	C++	Romka	
3	32.29	820000	2909054	C++	ValGrowth	
3	31.84	3804167	2910557	C++	Peudoki	
3	31.71	1487392	2912514	Java	Razielwar	
3	31.66	3436443	2911154	C++	Mazelcop	
3	31.52	880353	2914743	C++	zasmu	
3	31.19	2522090	2903036	C++	MSmits	
3	31.17	2912732	2912505	C++	gleb.astashkin	
3	31.08	3424888	2912786	C++	Hamibar	
3	30.93	2837700	2913641	C	jgambard	
3	30.58	1479930	2914640	C++	LeRenard	
3	30.47	1500515	2913817	C#	eulerscheZahl	
3	30.44	1378958	2911487	C#	Illedan	
3	30.37	969560	2909164	Java	Bleki	
3	30.12	3669985	2911740	C++	Gafagarion	
3	30.11	893541	2914347	Java	wala	
3	29.92	3315995	2907412	Python3	Gonny	
3	29.86	1537951	2911211	Java	Nerchio	
3	29.83	863905	2911393	C#	tiraptor	
3	29.76	3235897	2908808	Java	Zylo	
3	29.74	2452733	2913944	Rust	Borrow	
3	29.71	3706812	2914792	C++	ameler	
3	29.7	2802157	2912690	Python3	HKit	
3	29.66	3645268	2913092	Python3	Werwolf	
3	29.64	1061242	2911243	C++	Csipcsirip	
3	29.59	1953062	2910019	C++	YukiOda	
3	29.55	3802433	2912438	C++	MahirSez	
3	29.34	2613730	2905894	C#	ElToby	
3	29.31	2979860	2913215	Java	Npi2Loup	
3	29.29	2644101	2913208	Python3	DmitriyKorotovskih	
3	29.25	3770013	2912098	C++	Hellio	
3	29.14	2649723	2914630	Java	daanolav	
3	29.14	928567	2910951	C++	Konstanta	
3	29.06	3700629	2907082	Javascript	serialgg	
3	29.01	3239970	2914788	Java	solaimanope	
3	28.78	2830367	2904113	C++	daiver19	
3	28.73	1416686	2903616	C#	Avatar256	
3	28.69	2021126	2910767	C	FPSCUBE	
3	28.68	1944090	2904214	C#	spaceorc	
3	28.67	2924895	2913950	C	trictrac	
3	28.62	3348388	2904328	C++	bowwow	
3	28.6	154984	2914379	C++	_Royale	
3	28.59	1631358	2902005	Python3	joelthelion	
3	28.51	2566623	2909772	C++	VincentBab	
3	28.44	1579838	2909435	Rust	Roolmo	
3	28.41	1301401	2912734	C#	Stanax	
3	28.39	1314316	2914485	C++	jolindien	
3	28.38	2350415	2910817	C++	Vintarel	
3	28.29	3583629	2908577	C#	skrzypl1	
3	28.28	3564009	2901762	Lua	Waffle3z	
3	28.26	304126	2907947	PHP	kami	
3	28.26	2064511	2905642	Java	SemenyutenkoAndrey	
3	28.21	610934	2902080	C++	y_kawano	
3	28.12	2367822	2909422	Swift	Naratzul	
3	28.11	3076371	2903379	C++	Eucerin	
3	28.08	264258	2914421	Python3	MrFlibble	
3	28.03	3273587	2904137	TypeScript	wandri	
3	27.99	3789424	2910593	Python3	JohnCM	
3	27.98	1480384	2909791	C++	RockyMullet	
3	27.96	508460	2913808	C++	Volia	
3	27.94	1144135	2911993	Go	Kh4z	
3	27.91	1872557	2912252	Go	FinkPloyd	
3	27.89	2212222	2905678	Java	Rabeeb	
3	27.8	1515891	2914242	Kotlin	ndc	
3	27.79	2837654	2912099	Go	R2B2	
3	27.75	1489865	2909776	Go	EricSMSO	
3	27.75	1399557	2905168	C++	H1ggsb0s0n	
3	27.72	2521394	2914735	Kotlin	FrankR	
3	27.72	1441154	2913733	C++	pwahs	
3	27.61	1944726	2907438	C++	bourgeof	
3	27.59	2906497	2914110	C++	daaskare	
3	27.57	3741527	2912061	Python3	goolmoos	
3	27.51	2740243	2912228	Python3	Rprades	
3	27.48	2792530	2914712	Go	Xanrum	
3	27.48	1235498	2903888	Java	Bouh	
3	27.44	3533119	2914601	Python3	wlesavo	
3	27.41	1480501	2902982	C++	DaFish	
3	27.37	2863110	2911179	C++	iehn	
3	27.33	1341520	2914677	C	egaetan	
3	27.3	1831684	2911902	Java	dbf	
3	27.25	2478316	2910478	C++	takeo1116	
3	27.21	2043908	2914622	C++	AntiSquid	
3	27.19	1106450	2913545	C++	RiSuS	
3	27.16	2721862	2913413	Python3	mataranga	
3	27.16	155881	2914676	PHP	XLP	
3	27.14	3804944	2901692	C#	chrond	
3	27.07	1239545	2914714	Go	jke	
3	27.07	1436776	2913575	C++	BrainSolver	
3	27.07	1114834	2912891	C++	k4ng0u	
3	27.06	3514077	2904575	C++	bidzilya	
3	27	196606	2914240	Java	EasyCoder	
3	27	2007852	2906333	Go	Zorg1	
3	26.99	1845617	2908628	Kotlin	Shingyx	
3	26.96	3298988	2912673	C#	PotatoCoder	
3	26.93	1483234	2914419	C#	jbl	
3	26.91	1307573	2906339	C#	Braykin08	
3	26.91	2544989	2912244	Kotlin	lulugo19	
3	26.89	1034635	2913762	C++	SlyB	
3	26.87	3760239	2914554	Python3	notojapko	
3	26.84	1404934	2901253	Rust	tarriel	
3	26.79	1481544	2910991	C++	ZarthaxX	
3	26.74	3784861	2903568	Python3	thiebt	
3	26.72	3518930	2912343	C#	WhiteRo	
3	26.71	841085	2911168	C#	Risen	
3	26.69	2025868	2906645	C++	sumoru	
3	26.67	886483	2914800	ObjectiveC	R4N4R4M4	
3	26.64	3147980	2914551	Javascript	_Polo_	
3	26.62	3782701	2913828	C++	Mickah	
3	26.6	939375	2905838	Python3	Indrill	
3	26.58	1607522	2901304	Python3	RoboStac	
3	26.55	2976964	2911940	Java	BenjaminUrquhart	
3	26.51	523185	2902541	Java	Hjax	
3	26.5	3060932	2911847	Java	boumagik	
3	26.4	3793065	2901225	C++	Wovchena	
3	26.39	3756021	2912138	Java	TheSkolar	
3	26.34	3457031	2914114	C++	YurkovAS	
3	26.3	1335230	2914790	C++	jft63	
3	26.28	2741162	2906226	Kotlin	YannT	
3	26.25	1869024	2903076	Java	Xa2017	
3	26.21	460044	2914530	Rust	tanzaku	
3	26.2	3790011	2912782	C++	guns_n_roses	
3	26.2	771015	2911351	C	hidden1	
3	26.16	445413	2908828	TypeScript	Jonathan-HETEAU	
3	26.15	3797256	2914694	C++	MartinGal	
3	26.13	1444897	2914249	C++	R0UwUYHgNK	
3	26.04	1018816	2907414	C#	Dartmoor	
3	26.03	994468	2913765	C++	darkdieg	
3	26.02	1890261	2901127	Rust	volrk	
3	26.01	3806163	2902122	C++	almoz_vald	
3	25.98	1464932	2909281	Java	Tiramon	
3	25.97	3306279	2912342	Python3	Butterslide	
3	25.86	416762	2908899	TypeScript	Khao	
3	25.74	3406044	2913144	Dart	andry_h	
3	25.69	1663349	2905033	Kotlin	Low-T	
3	25.66	3443015	2903327	C++	Wozniak	
3	25.63	3804618	2912268	C++	MiniWall	
3	25.57	837436	2901079	C++	aropan	
3	25.54	3266908	2905017	Python3	stibbons	
3	25.44	3245819	2911031	C#	TomA	
3	25.4	1957077	2905250	Kotlin	domak	
3	25.4	3756416	2912434	C++	Stanm	
3	25.35	1082988	2912222	C++	Saelyos	
3	25.35	3727077	2901580	Python3	Manwi23	
3	25.33	1732414	2907527	C++	ClosetAI	
3	25.3	3628128	2911721	C++	Xcalibre	
3	25.23	3738782	2907584	C#	Inaniwa	
3	25.22	2003181	2901119	Python3	BenTeo	
3	25.21	2970414	2910534	Python3	Fangel	
3	25.16	1295850	2904030	Java	dtwYhl0YJqzOnZKi	
3	25.13	311035	2911729	Python3	leojean890	
3	25.12	2141506	2909263	C++	Jamesscn	
3	25.05	3785712	2910222	Java	FireFry	
3	25.05	754792	2914713	C++	Ramdeath	
3	25.03	517890	2906497	Python3	Altaire	
3	25.03	3651427	2911432	Python3	Stoub	
3	25.02	1015295	2911038	Java	Velicko	
3	24.98	1258656	2901151	C++	Batpapa	
3	24.98	2923506	2902363	C++	darkhorse64	
3	24.94	3804236	2913036	Java	ChooJeremy	
3	24.94	672318	2914103	C++	mpt	
3	24.94	3120506	2901776	C++	banduga	
3	24.93	1853578	2911442	C#	Code.ama	
3	24.93	154996	2913004	Ruby	shashwat986	
3	24.92	153692	2911638	Java	Bleizig	
3	24.91	799904	2913043	C++	iwashi31	
3	24.91	223576	2901600	C#	laveugle	
3	24.91	3810982	2908257	C++	EvModder	
3	24.9	2135916	2907720	Python3	Oioi	
3	24.88	2572485	2906927	Ruby	DGynn	
3	24.87	3751175	2902630	C++	DamianS	
3	24.84	3804094	2914647	Python3	eldakem	
3	24.84	156188	2905305	C++	DorianWilde	
3	24.82	443750	2907462	C++	mlomb	
3	24.79	1324018	2913993	PHP	Gnarco	
3	24.79	2143355	2901172	C++	cooljoseph	
3	24.76	2950376	2911137	C++	MarKes	
3	24.72	1030355	2905467	Python3	Ingeniorus	
3	24.71	612827	2902598	C++	Wellan	
3	24.7	2242201	2910760	C++	Maryan	
3	24.62	2158577	2912143	C++	zuko3d	
3	24.6	1542277	2901801	C#	ROARd	
3	24.55	2373953	2914038	TypeScript	Dridriun	
3	24.55	668954	2911844	C++	Fluxor	
3	24.54	943556	2909312	Python3	DollarAkshay	
3	24.51	2931246	2904612	Python3	Kukiss	
3	24.49	1450989	2906283	Java	CowZow	
3	24.44	3774903	2906026	Javascript	gregballot	
3	24.43	331880	2914134	Kotlin	Monstruo	
3	24.42	3744758	2906001	Python3	Mateuszrze	
3	24.41	3504573	2904961	C#	ChrisOz	
3	24.37	1414873	2909437	Javascript	Volcomix	
3	24.37	2880412	2914088	C#	Spifflejedi	
3	24.36	3003881	2912320	Python3	PotatoPlant	
3	24.35	3755775	2901281	Java	EmeryCSquared	
3	24.35	2642611	2903194	C#	FatalityNT	
3	24.34	3226448	2909817	Python3	tobk	
3	24.34	2623862	2914617	C#	Derthek	
3	24.34	837350	2913820	Python3	BorisZ	
3	24.33	2464931	2907658	TypeScript	llpt	
3	24.21	940791	2914536	Javascript	Kris117	
3	24.15	1966319	2914132	C++	0x6E0FF	
3	24.1	198916	2914410	Java	WhatTrickeryIsThis	
3	24.08	1005007	2909390	Javascript	neorel	
3	24.08	826372	2908023	Java	skyyker	
3	24.04	2971703	2903121	Java	ManuL	
3	24.01	1162014	2913353	PHP	Bojan	
3	23.98	3430880	2914455	Python3	Kaearin	
3	23.97	1204522	2913364	Python3	llllllllll	
3	23.96	3421399	2901248	C#	Athight	
3	23.96	3175946	2914043	C++	qLethon	
3	23.76	3492840	2914574	C++	stormKx18	
3	23.73	3749983	2902485	Python3	hudebako	
3	23.69	545951	2910803	C++	AntonT	
3	23.69	2725066	2908998	C#	Cize	
3	23.67	918913	2914431	C++	GreatTux	
3	23.66	3806158	2901711	Rust	orycterope	
3	23.62	1905177	2901475	C#	agysejt	
3	23.61	3533314	2906784	C#	skotz	
3	23.6	1438865	2910217	Java	tdeblock	
3	23.58	199773	2908016	Python3	jonasbru	
3	23.58	909992	2904279	Kotlin	PluC	
3	23.58	2881783	2910365	C++	eki	
3	23.54	1201796	2910691	C#	P.Greze	
3	23.53	300142	2912476	C++	oyefremov	
3	23.53	3165536	2914352	C#	barbora	
3	23.52	2115491	2901228	Go	Haashi	
3	23.52	925695	2902686	OCaml	Boulet	
3	23.51	2424174	2906028	Javascript	Zakaoai	
3	23.51	1193679	2913131	C++	Icebox	
3	23.51	1421067	2914512	C#	EraStormbringer	
3	23.5	3207719	2912229	Python3	Lumix	
3	23.5	3731828	2912361	Python3	MCvin	
3	23.49	3804230	2901980	C++	huzecong	
3	23.49	3354668	2914515	Python3	DimSumSaying	
3	23.49	3797689	2914186	Python3	fatrujilloa	
3	23.49	1902840	2913191	C++	mechatronick	
3	23.49	3036823	2901770	Go	thlacroix	
3	23.48	3738174	2903658	C#	luvoco	
3	23.47	3775656	2913261	Python3	Folichon	
3	23.46	1415773	2902670	C++	pierre31	
3	23.46	1848514	2913095	C#	yambe2002	
3	23.45	2184856	2910427	C++	MichalOp	
3	23.45	3188551	2913595	Javascript	ashelkov	
3	23.45	3806286	2910140	Python3	St7	
3	23.45	568476	2912800	Java	Dje54	
3	23.44	3317583	2911425	Python3	Mjo	
3	23.43	2062452	2911710	C++	znirzej	
3	23.42	1713174	2906553	Python3	BigUP	
3	23.42	1457162	2912675	Python3	JFB	
3	23.4	1757536	2910748	Python3	BlueGhost31	
3	23.4	3450300	2908228	Javascript	thibpat	
3	23.39	1765864	2911959	C#	SeJ	
3	23.39	2698637	2914284	Java	CorentinFoucault	
3	23.39	3813795	2914301	C++	betrue12	
3	23.37	226528	2914559	Java	Manwe	
3	23.36	994034	2914580	Javascript	Jazzcript	
3	23.36	227869	2906479	C++	CarniBlood	
3	23.35	889789	2911835	C	Alain-Delpuch	
3	23.34	3519248	2903232	Python3	TrollThar	
3	23.34	2233179	2901542	C++	Samsa	
3	23.34	2272358	2911849	Java	MagooTiere	
3	23.33	1329263	2901200	C++	Mihai_	
3	23.31	2019949	2906072	Java	alexturtle	
3	23.29	802171	2912647	PHP	Merome	
3	23.28	347029	2901799	Python3	Kevapo	
3	23.28	184622	2914377	C++	Abhishek_Saini	
3	23.27	1076740	2902022	Python3	Nazo	
3	23.27	3797458	2914611	Java	Djoman	
3	23.25	303151	2905277	Python3	MoOT.Cube	
3	23.23	3493230	2914786	Rust	sgalasso	
3	23.23	3069534	2902756	Java	LoganWlv	
3	23.23	3801097	2901794	C++	AdrianS	
3	23.23	1372349	2914698	Java	NinjaDoggy	
3	23.13	154935	2914596	Scala	yamo	
3	23.12	3571579	2913613	C++	ntroPi	
3	23.1	1413257	2913333	C#	Bavoen	
3	23	3047355	2901860	Java	ArtyMaury	
3	23	2672932	2912756	C++	Lanfeust	
3	23	1894182	2911301	Python3	Bluesheeptoken	
3	22.99	3138357	2908872	C#	QzL	
3	22.96	2786666	2914581	C++	TetraktysPhi	
3	22.79	2450542	2901177	C++	MindControler	
3	22.77	2332669	2914707	C++	wolfee001	
3	22.72	3782177	2913579	C++	zeke8080	
3	22.71	1453934	2901520	C++	Rety	
3	22.71	900129	2908413	C++	Julien_E	
3	22.71	648751	2911928	Haskell	dabino	
3	22.68	275134	2902672	Python3	Arfatios	
3	22.64	1880319	2914403	C++	WildSmilodon	
3	22.62	3683265	2912971	C++	Bondo416	
3	22.59	153620	2905751	PHP	[CPC]Karedas	
3	22.58	3813160	2905837	Python3	h25	
3	22.58	1477622	2914637	C#	zrdon	
3	22.56	502798	2910692	C++	thunder	
3	22.55	3800220	2902473	C++	Kurpilyansky	
3	22.55	1983336	2914720	C++	Tiutens	
3	22.54	1540394	2914026	C#	LVdA	
3	22.53	2913691	2904979	Go	Hastou	
3	22.49	1498442	2905717	TypeScript	NSzx	
3	22.48	981484	2903474	Java	Gh0stm4chine	
3	22.47	2458172	2902453	C++	CodingCaptain	
3	22.46	828239	2911281	C#	[SG]Bisou	
3	22.44	2591714	2911015	Python3	Yamabushi	
3	22.41	3763557	2901283	C++	aimelda	
3	22.4	1896941	2906062	Python3	Bluepioupiou	
3	22.37	3691366	2914238	Java	V90	
3	22.35	1192837	2913697	Rust	davidB	
3	22.34	1105782	2906978	C#	RubenFilipe	
3	22.34	1341106	2904441	Kotlin	ixepho	
3	22.31	3740207	2911880	Swift	violettis	
3	22.3	3419294	2912423	Javascript	Sissiimperatice	
3	22.29	3797271	2903586	Python3	Cam_B	
3	22.27	2680421	2902013	Java	Barons	
3	22.19	3796921	2909783	Scala	wi_lius	
3	22.18	3780609	2914727	Java	DarkZebra	
3	22.18	3626782	2913296	Python3	MattSOrme	
3	22.14	2589340	2901672	Javascript	Zource	
3	22.14	1854246	2914424	C++	Counterbalance	
3	22.13	2012297	2901261	C++	Maksim1744	
3	22.13	2862682	2914597	Javascript	Hurda	
3	22.12	1328296	2912932	Kotlin	Kellthazar	
3	22.12	3794725	2914447	Python3	Qoo	
