League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:49:13,count=85359
6	53.89	1400179	2354166	Python3	reCurse	
6	52.3	832306	2251077	C++	pb4	
6	49.81	735910	2355456	C++	Agade	
6	48.96	1415495	2255817	C	fenrir	
6	48.07	1778731	2334168	Rust	pen	
6	45.09	2522090	2338306	C++	MSmits	
6	44.92	351062	2358955	C++	Neumann	
6	43.41	1607522	2358031	C++	RoboStac	
6	42.75	1206537	2333452	C++	MadKnight	
6	41.84	1169499	2267000	C++	naab	
6	41.15	1712648	2036811	C++	luckyy	
6	41.04	2725066	2438973	C#	Cize	
6	40.99	736075	1845526	C++	Xyze	
6	40.94	1106450	1489738	C++	RiSuS	
6	40.91	2299716	1605959	C++	striker_-	
6	40.87	1629259	2238586	C++	Marchete	
6	40.84	1606588	2148302	C++	inoryy	
6	40.76	1687636	1777945	C++	GinkgoB	
6	40.74	3278216	2430736	C++	MagicMage	
6	40.67	1336464	2119453	C++	magaiti	
6	40.6	1480501	2358293	C++	DaFish	
6	40.58	1100752	1440668	C++	ValNykol	
6	40.14	588426	1883284	C++	Jeff06	
6	39.89	735487	2454286	C++	amurushkin	
6	39.88	155091	2342011	Java	smeagol	
6	39.87	1489865	1775221	C++	EricSMSO	
6	39.75	2906497	2245453	C++	daaskare	
6	39.74	1288527	2054946	C++	Snef	
6	39.67	2972662	2246374	C++	Hoyer	
6	39.66	2868729	2095031	C++	Snefff	
6	39.61	2710668	2479703	C++	IGGY	
6	39.43	805067	1775170	C++	Magus	
6	39.43	1756952	1940940	C++	Petras	
6	39.36	2320186	1779207	C++	aPoStAl	
6	39.26	2474201	1837459	C#	melanholy	
6	39.18	770792	2458523	C++	T.H.	
6	39.16	2396169	2059601	C++	Emaginidoc	
6	39.16	1378958	1775314	C#	Illedan	
6	39.03	1347650	2042708	C++	T-Dup	
6	38.91	2167128	1454119	C++	Xymelin	
6	38.85	1418821	1461623	C	input.txt	
6	38.73	820000	1935773	C++	ValGrowth	
6	38.73	1064903	1776758	C++	Ghirtor	
6	38.63	2718975	2339456	C	mykeich	
6	38.53	1131528	1787877	C#	Owl	
6	38.43	862919	2477464	C++	Astrobytes	
6	38.24	867249	1845467	C++	nikoliarekted	
6	38.16	3217628	2353008	C++	struct	
6	38.06	1549145	2054165	C++	Mealc	
6	37.88	1661397	2189146	C++	MightyKnight	
6	37.53	1584802	2134232	C++	emh	
6	37.25	1754295	1780081	Java	SF	
6	37.24	1438020	2211732	C++	InsomniaRide	
6	37.21	371603	1775718	C++	martin	
6	36.82	1978183	2130657	C++	DaniilSizov	
6	36.81	2281780	1581131	C++	NapTown	
6	36.76	1203167	2140550	C++	r3versi	
6	36.7	1455753	2063438	C++	Lysk	
6	36.59	1607791	1470664	C++	ildar_1988	
6	36.41	2243900	1491624	C++	chapeau	
6	36.34	3165536	2323602	C#	barbora	
6	36.24	207714	1913951	Scala	TrueLaurel	
6	36.22	3188802	2250260	C++	widestr	
6	36.12	1479930	2428751	C++	LeRenard	
6	35.89	1420731	2469219	C++	CagouilleRapide	
6	35.78	2475737	1886253	C++	alexk	
6	35.74	857521	1779589	C#	MrAnderson	
6	35.64	1082988	2081879	C++	Saelyos	
6	35.56	2923506	2478466	C++	darkhorse64	
6	35.53	1194069	2419586	C++	Redstrike	
6	35.48	2007852	1775247	Go	Zorg1	
6	35.42	1073247	2476252	C++	DJ_NikJ	
6	35.29	2416641	2128792	C++	Zenoscave	
6	35.22	1097889	1877900	C++	H7	
6	35.21	1971865	2255111	C++	Nanosplitter	
6	35.14	2363657	2064193	C++	Ztrk	
6	35.04	3190099	2258112	C++		
6	35.03	1114834	2433361	C++	k4ng0u	
6	34.9	3363216	2438330	C++	Kehny	
6	34.88	826372	1776383	Java	skyyker	
6	34.82	2328161	1649204	C++	Joethebus	
6	34.77	2187656	2409063	Go	RanXerox	
6	34.77	1481384	2324513	C++	Ethaniael	
6	34.72	869239	1935830	C++	Vingte	
6	34.72	1870937	2359212	C++	westicles	
6	34.71	1114698	1940930	C++	xiaohouzi	
6	34.66	1714338	1615888	C++	cobase2010	
6	34.65	1634195	1912263	C++	k.ab	
6	34.65	880353	1930208	C++	zasmu	
6	34.61	2007262	2328439	C++	Larnth	
6	34.56	2981630	2138237	C++	cricri10000	
6	34.46	1095442	2264362	C++	Ch3oul	
6	34.43	1514154	1510415	C++	TwinkiePie	
6	34.41	1889170	1392239	C++	mvujas	
6	34.4	1887591	2390351	Java	rodstrom	
6	34.34	2729630	2070849	C++	Halphas	
6	34.31	2109780	2252535	C++	ChaudCoLaTeen	
6	34.3	1885730	2405680	Java	MintL	
6	34.29	3362851	2479495	C++	DarcSinus	
6	34.27	1125295	1297031	C++	Corleon	
6	34.15	2477668	1900088	C#	Munakoiso	
6	34.07	2651240	2063962	C++	[MPST]Donset	
6	34.04	902324	1844002	C#	Tinsane	
6	34.02	2649448	2335871	C++	bhloodyy	
6	33.98	1950105	2448341	C++	[.].-	
6	33.97	2470677	1932804	C++	Goujon	
6	33.95	331880	2190393	Scala	Monstruo	
6	33.95	1716299	2322160	C++	micky924	
6	33.95	2473610	1904752	C#	Martyanovst	
6	33.88	1314316	2356877	C++	jolindien	
6	33.87	2473980	1857785	C#	corteso	
6	33.83	846553	2136884	C++	Aleks	
6	33.79	2473192	1844042	C#	game-ai-course	
6	33.79	1201796	1776170	C++	P.Greze	
6	33.76	1183615	1857435	C#	Phil9l	
6	33.75	1140756	2480512	C++	BarbsMan	
6	33.74	2474205	1877594	C#	zugzwang	
6	33.69	1417361	1867125	C#	Griboedoff	
6	33.68	2043908	2419553	C++	AntiSquid	
6	33.68	3300235	2434500	Kotlin	fleiber	
6	33.67	1238934	1775148	C++	accorp	
6	33.59	1353795	1935316	C++	TheCrucial	
6	33.57	1836058	2328554	C++	SeebOmega	
6	33.54	2473662	1849693	C#	Ollisteka	
6	33.53	2051334	1776054	C++	Dwarth	
6	33.53	154984	1937315	C++	_Royale	
6	33.41	2161313	2225000	C++		
6	33.33	1655149	1844318	Ruby	NBpowa	
6	33.08	1152991	1845286	C#	xoposhiy	
6	32.98	3460683	2479551	C++	Lianowar1	
6	32.92	512097	1818585	Haskell	Stilgart	
6	32.78	1944726	1849792	C++	bourgeof	
