# time=2019-09-07 08:00:32
# count=70
#League	Score	UserID	AgentID	Lang	Pseudo
1	35.22	837436	2482861	C++	aropan
1	33.86	2114947	2338793	Java	Nixerrr
1	32	1480384	2409369	C++	RockyMullet
1	31.8	1001096	2435659	C#	MyIIone
1	31.74	1049935	2480970	Javascript	Azkellas
1	30.15	2572485	2437047	Ruby	DGynn
1	29.78	1464932	2341606	C#	Tiramon
1	28.97	2288263	2342189	Rust	dbdr
1	27.9	973040	2352488	C	papyjo
1	25.41	2416641	2470164	Python3	Zenoscave
1	25	2662675	2334933	Python3	redline
1	24.15	2290633	2334318	Python3	field3
1	21.77	2497890	2334827	C#	BlackBird
1	17.78	1740037	2334315	Scala	ereiam
1	17.38	1753077	2334319	C++	codingWhale
1	13.87	3136787	2334320	Java	jacek
1	13.34	886483	2334317	ObjectiveC	R4N4R4M4
0	25.19	2785892	2447294	Python3	levbor
0	24.34	1932868	2480710	Python3	Tehelka
0	22.98	1378958	2434413	C#	Illedan
0	22.92	1029602	2366339	C	Potemkine
0	22.26	314562	2353640	Javascript	Mechar
0	21.97	862919	2481110	C++	Astrobytes
0	21.89	3386699	2436121	C++	Shibuyap
0	21.47	1588135	2479179	Swift	bjurner
0	21.2	2018552	2436362	C++	gurualo
0	20.61	1713174	2440531	Python3	BigUP
0	19.61	2202771	2479513	Java	Kaplone
0	19.55	1815583	2443995	C++	HarderTilt
0	19.38	1194069	2471159	Java	Redstrike
0	19.01	3051977	2358682	Python3	GohYongJing
0	18.62	1412263	2434880	PHP	PatrickMcGinnisII
0	16.88	1059355	2440381	C#	GrantWard
0	16.87	3321082	2437804	Java	4n4c0nd4
0	16.82	1487168	2426843	Bash	FatIvan
0	15.99	792813	2336406	Python3	VilBoub
0	15.69	158495	2437376	Javascript	Cr3aHal0
0	15.06	155929	2338616	Python3	[CG]jupoulton
0	14.25	1418821	2416931	C++	input.txt
0	13.82	682715	2440129	Python3	orkipastafari
0	13.51	1272263	2440671	Python3	Caled
0	12.97	3335921	2437469	Kotlin	vcoubray
0	11.9	2069141	2335645	C#	tomeko
0	10.38	257832	2454723	C++	BlaiseEbuth
0	9.1	1525816	2343140	Javascript	Flodnes
0	8.88	1939843	2338700	Python3	Aging_Nerd
0	8.54	3350083	2417802	Python3	Philgerb93
0	6.12	2241559	2345581	Python3	eskeln
0	6.1	1454274	2434997	C#	NohjKram
0	5.99	3399559	2434562	C	amanjeet
0	5.73	1838289	2468136	C++	Dagal
0	5.66	2713608	2464187	Ruby	LostSymphony
0	5.64	1830993	2475746	C#	jpcheck
0	5.52	1760921	2401792	Go	[Leonardone]-[-_-]-[NEETSDKASU]
0	5.51	2043908	2332756	Swift	AntiSquid
0	5.5	3366500	2405135	Javascript	rodneyipui
0	5.49	2923506	2458554	C++	darkhorse64
0	5.39	2100288	2477561	Python3	tsh
0	5.38	890630	2457217	C#	Shurishe
0	5.37	1374052	2346114	Java	Pesegato
0	5.33	999637	2392318	C	dinobogan
0	5.33	2983004	2434477	Java	tazorax
0	5.29	3040167	2434491	Python	kodejuice
0	5.27	3207204	2333617	C	RomanceDawn
0	5.14	218189	2435742	C	[CG]Maxime
0	5.03	3141948	2443372	Python3	philRG
0	-7.86	3376093	2422968	Go	Gnossienne
0	-9.48	3395465	2435650	Java	Lorita26
0	-9.96	2006348	2380767	Python3	Koji02
0	-11.35	846129	2434823	C#	LA1
