League	Score	UserID	AgentID	Lang	Pseudo	#time=2019-09-07 11:49:11,count=2835
5	27.55	1335230	2327918	C++	jft63	
5	27.51	1500515	1490058	C#	eulerscheZahl	
5	27.4	271873	1511817	C#	lionel_fr	
5	27.37	1629259	2339340	C++	Marchete	
5	26.84	1378958	2337116	C#	Illedan	
5	26.02	351062	1620029	Java	Neumann	
5	25.78	1841051	1838226	Python3	Alpacah	
5	25.61	668954	1444730	C++	Fluxor	
5	25.53	1100752	1612265	C++	ValNykol	
5	25.06	1579838	2465755	Rust	Roolmo	
5	24.97	2055377	1446236	Python3	Covfefe	
5	24.82	805067	1444850	Javascript	Magus	
5	24.41	226528	1444749	Java	Manwe	
5	24.23	1306541	1452395	Python	Steuh	
5	23.84	2416641	2060822	Python	Zenoscave	
5	23.82	271431	1444747	Python	Newwin	
5	23.7	193315	1444740	Java	hau	
5	23.66	1716299	1456502	C++	micky924	
5	23.24	2288263	2430390	Rust	dbdr	
5	23.14	1043296	1971174	Python	Pesco	
5	23.01	2043908	2215483	Java	AntiSquid	
5	22.75	1538549	1444741	Python3	Nikodimishe	
5	22.65	911777	1444728	Python	MasakiKyosuke	
5	22.56	1163138	1479235	Python	Vince85	
5	22.52	201919	1444725	Python	LouJo	
5	22.41	1077559	1444754	Python	PhOeNyX	
5	22.37	1175343	1444731	C++	Hankerspace	
5	22.16	2097688	1445329	Python	machinegun	
5	22.03	603277	1444736	PHP	bee	
5	21.98	837350	2214915	Go	BorisZ	
5	21.85	154984	1589898	C++	_Royale	
5	21.69	2128759	1444912	Haskell	Hjulle	
5	21.64	1078288	1444743	Java	d6r27-h59p	
5	21.53	1101431	2121197	C#	clese	
5	21.49	2924895	2238926	Java	trictrac	
5	21.38	155083	1444745	C#	LOustad	
5	21.2	2115698	1585172	C++	Meccano	
5	21.13	1369177	1444735	Java	PernicN	
5	21.05	2194865	2095325	Ruby	paranoidduck	
5	21	583845	1444746	C#	dimaj	
5	21	1802419	1444716	C++	shummie	
5	20.99	943784	1444733	C++	RobertK	
5	20.99	272290	1444712	C++	Olaf69	
5	20.98	1464828	1499482	Javascript	sapics	
5	20.98	1428084	1444724	Dart	Mixolyde	
5	20.97	2096064	1445813	C++	xiao.sha	
5	20.95	1575342	1446782	C++	T7ung	
5	20.92	2278872	1935894	C++	FireGeoff	
5	20.87	327986	1444726	C++	Koutaku	
5	20.85	2584571	1810731	C++	roc_matador	
5	20.85	1818159	1445812	C++	JRFerguson	
5	20.85	1189812	1444727	C++	kagary06	
5	20.83	1001096	1444804	C#	MyIIone	
5	20.7	1342663	1852397	C++	JeromeFavrou	
5	20.68	226115	1445031	C++	Nergal	
5	20.68	1071140	1444738	C++	BeberLeNewbie	
5	20.61	1314316	2211985	C++	jolindien	
5	20.58	1664044	1444723	C++	BUG	
5	20.43	2075168	1444750	C++	PapaEmeritus	
5	20.38	403748	1444714	C#	[CG]SaiksyApo	
5	20.38	267139	1444720	C++	god	
5	20.35	1227762	1444722	C++	rFlo	
5	20.34	1673971	1454534	Java	Lanken	
5	20.33	3038611	2343389	C#	rikard	
5	20.31	155924	1446698	Python3	yvesmocq	
5	20.3	629939	1444713	Java	Pao	
5	20.26	1194069	2126037	Java	Redstrike	
5	20.25	1489865	1444753	Python	EricSMSO	
5	20.17	2073179	1446697	Java	Biwere	
5	20.17	154312	2126036	Java	ThomasNicoullaud	
5	20.15	666934	1445962	Python3	93	
5	20.15	154388	1445822	Java	WORST_DEV_EVER	
5	20.12	1625315	1448852	Java	imzine	
5	20.11	1965323	1503507	C++	FrostMane	
5	20.09	267980	1444756	C++	cyril42e	
5	19.96	267634	1445029	C++	Leonarf	
5	19.81	156188	1445815	PHP	DorianWilde	
5	19.48	1106450	1728082	C++	RiSuS	
5	19.4	1293010	1445820	C++	aLee	
5	19.3	1191231	1445961	C++	enzorubino	
5	19.17	1022699	1445030	Java	Baptistin	
5	18.77	1034635	1445817	C++	SlyB	
5	18.75	273064	1445071	Java	ma2	
5	18.52	1581197	1446696	C#	Aramang	
5	18.35	268845	1445816	C++	Origraena	
5	18.15	1479930	2142890	C++	LeRenard	
5	18.02	1898847	1445330	C	faga	
5	17.89	3211735	2307657	Java	Fireballl	
5	17.86	3167968	2432283	Java	Master_Zain	
5	17.85	1034042	1444721	C++	dungeon_master	
5	17.47	736075	1841730	C++	Xyze	
5	17.12	3213465	2332673	Python3	Gegene	
5	16.94	1417580	1444755	Java	brexe	
5	16.65	1327028	1445818	Java	FredericBautista	
5	16.55	2114863	1445823	Java	QWERTy	
5	16.54	1734105	2332589	Python3	Bibou	
5	16.46	819300	1445819	Java	Chipsondulee	
5	16.14	2109780	1867570	Java	ChaudCoLaTeen	
5	16.1	1753077	1749592	C++	codingWhale	
5	16.1	2263711	2080202	Java	Mantequi	
5	15.95	2006324	1668092	Java	SihardeOussama	
5	15.94	1896128	1834219	Python3	Vhanire	
5	15.93	1390607	1444742	Java	GoperJohn	
5	15.83	810181	1445814	Java	Talrog	
5	15.71	938449	1444757	Java	GalaxyNET	
5	15.64	2584558	2194774	Java	roc_GhostyManiakk	
5	15.49	1201796	1444719	Java	P.Greze	
5	15	2968595	2121789	C#	Shyrio	
5	14.64	2559127	2078142	C		
5	12.36	1326395	1444737	C++	Pixalot	
5	11.68	1393313	1445821	C++	Enrahim	
5	11.57	1426548	1444748	C++	MasterJos	
5	11.52	1593971	2415408	C++	Woopst	
4	26.8	155856	1438963	Java	simovitch	
4	26.68	2299172	2123560	Java	MickaelBoutruche	
4	26.62	2106827	1445912	Python3	shangshandaye	
4	26.45	1377805	1438703	Java	MHavlovick	
4	26.44	2196769	1592294	Python3	35001530	
4	26.37	1186149	1454688	C#	samychan	
4	26.35	1303554	1438954	Python3	Diheuheu	
4	26.28	2259721	1550185	Python3	36003249	
4	26.25	153927	1438793	C++	Cubix	
4	26.21	3117352	2331263	C#	RikardStanic	
4	26.12	632018	1438753	Java	IPE	
4	26.09	1645870	1438701	Python	ppo1	
4	25.95	237831	1438723	C#	DuAel	
4	25.79	1333869	1445050	Python3	kiwijam	
4	25.52	1167615	1613496	C#	TylerDurden	
4	25.39	157377	1438787	Rust	McKelian	
4	25.36	1353669	1438707	Python3	XAnimaX	
4	25.27	1715405	1676168	Java	sfuhrm	
4	25.26	754792	1645278	C++	Ramdeath	
4	25.22	641313	1438704	Python	Stormi	
4	25.21	908128	1438877	Python3	milkshake	
4	25.19	196808	1470459	Java	bonam	
4	25.17	1314796	1847832	C++	JBence	
4	25.14	887560	1438863	Java	stok	
4	25.12	1894833	1850057	Python3	Rimailleur	
4	25.09	2691082	2193935	Python	GeekyPeas	
4	25.05	920987	1438700	Python3	redna70	
4	24.99	1122412	1438879	Java	TheNinja	
4	24.96	230519	1438810	C++	Gadam06	
4	24.92	155955	1438876	PHP	nht_dev	
4	24.89	271097	1438698	Javascript	SanduLungu	
4	24.79	690668	1438865	C++	Djiiz	
4	24.62	269386	1438929	C++	fayr	
4	24.56	1399382	1605437	C#	Regulus136	
4	24.54	915676	1438878	Javascript	iida_oratta	
4	24.45	473452	1438864	Java	azazar	
4	24.34	1324974	1438769	Python	ViktorCs	
4	24.12	1374039	1438754	C++	AAv	
4	24.11	1802804	1440753	Python3	Dessislava	
4	24.09	1422880	2355453	C++	loginius	
4	24.04	153888	1438854	PHP	vinuoza	
4	23.94	335954	1616593	Java	nmahoude	
4	23.93	359746	1438949	Java	Shoohei	
4	23.92	1649376	1456068	Javascript	Kujar	
4	23.89	153933	1438847	Python	espiblop	
4	23.88	1733593	1970531	Scala	Wei-1	
4	23.84	1346403	2383672	Python3	BadMistake	
4	23.71	1786654	1438691	Java	Masclins	
4	23.64	1225196	1438880	Python	Pepetroo	
4	23.62	410819	1438731	Python	juranki	
4	23.61	662240	1438904	Python	johnchimpo	
4	23.6	911974	1438740	C++	Manzazuu	
4	23.52	155896	1438967	PHP	gamoul	
4	23.48	946638	1438843	Java	egyketted	
4	23.48	2637659	2409429	C#	Barsy	
4	23.44	1601982	1454197	Python3	bobrob	
4	23.42	153620	1438833	PHP	[CPC]Karedas	
4	23.41	263802	1438729	Python3	afreak	
4	23.39	2123423	1444466	Javascript	splanard	
4	23.39	2082899	1439189	Lua	Mesa	
4	23.39	2161313	1493900	C#		
4	23.32	622207	1438692	Javascript	Brandon	
4	23.29	1220446	1438960	C#	yizraor	
4	23.26	463059	1438746	C++	Avenger0815	
4	23.24	2312614	1848933	PHP	Rayrn	
4	23.21	2197239	1475206	Java	MaLangenk	
4	23.21	232815	1438794	Haskell	kmate	
4	23.2	660374	1438942	Haskell	nomeata	
4	23.17	222665	1438859	PHP	borrel	
4	23.16	941805	1438882	PHP	losGismos	
4	23.08	735910	1438739	C++	Agade	
4	23.08	972854	1438952	C	MrXo	
4	23.07	195088	1438939	C++	Jopie64	
4	23.06	914536	1673769	Java	TiberianGun	
4	23.05	2125622	1446780	Java	Quetch	
4	22.95	1541804	1438696	Java	michaldo	
4	22.92	2202771	2327183	Java	Kaplone	
4	22.91	994344	1438795	Java	Momopouccino	
4	22.9	816938	1438784	Python3	kpbochenek	
4	22.85	1767222	1468832	C++	Leffi	
4	22.83	1400179	1438891	C#	reCurse	
4	22.82	978567	1438883	C#	RedDwarf	
4	22.79	1457162	1502791	C++	JFB	
4	22.71	1112318	1438838	Python3	dualinity	
4	22.69	342350	1438855	C++	mupuf	
4	22.68	1188212	1438853	C	superredlark	
4	22.67	1953230	1438804	Java	TakRad	
4	22.66	414278	1438935	Java	oobException	
4	22.66	1734039	1584098	C	ProfJack	
4	22.64	555424	1438693	C++	cymarechal	
4	22.64	1001661	1438815	Java	Friendly_Lama	
4	22.63	2794638	2031726	Java	patrickm	
4	22.6	1077490	1438836	Javascript		
4	22.59	1078457	1438730	C++	KevinNayrac	
4	22.58	527749	1438711	Go	Pds	
4	22.55	559772	1438743	C#	CoussiCoussa	
4	22.54	739998	1438946	Python3	random12333	
4	22.54	199747	1438890	C	zerkman	
4	22.52	464971	1438669	C++	PsyGuy66	
4	22.51	928567	2131723	C++	Konstanta	
4	22.5	935802	1438860	C#	Jerhyn	
4	22.49	429724	1438802	C++	virgoerns	
4	22.48	2423386	1634193	Java	RageCode	
4	22.48	1479214	1438817	C++	Fezvez	
4	22.47	814845	1438816	C++	zero77	
4	22.47	2128673	1440123	Python	larrymotter	
4	22.45	1073760	1438682	Python3	tuket	
4	22.42	1480384	1756196	C++	RockyMullet	
4	22.38	512097	2352893	Haskell	Stilgart	
4	22.36	634731	1438828	Python3	dekespo	
4	22.32	3203557	2260087	C++	burnpanck	
4	22.32	825689	1438937	Go	Shogo	
4	22.25	810033	1438716	Java	BorkBork	
4	22.24	1412140	1438705	C++	CyrilMtl	
4	22.23	270230	1438667	Python	Mehmet	
4	22.11	2271162	1618069	Java	Dingodoodl	
4	22.05	808896	1438870	Java	ondimon	
4	22.04	2636264	2086163	Python3	mattdeal	
4	21.87	1201118	1438962	Python3	Til	
4	21.87	695625	1438846	Python	djdillon	
4	21.75	1673512	1635537	C++	Ryoken	
4	21.7	907714	1438926	Java	Janot	
4	21.7	703957	1438780	C++	Nstyrl	
4	21.64	1050159	1583916	C	speedloop	
4	21.6	1644437	1438922	C++	SurfDog	
4	21.53	1572888	1488260	Python3	DirtyHarry	
4	21.53	1060181	1438776	Ruby	Dabou	
4	21.33	2526322	2112154	Python3	fhemsworth	
4	21.32	2664619	1940957	C++	Guillaume44	
4	21.31	834950	1575912	C#	XilasZ	
4	21.28	1336138	1438841	Python	wyrdoe	
4	21.27	1470906	1438659	Python3	Mixanik	
4	21.25	978182	1438660	C++	Capricornus	
4	21.24	1816151	1438680	Python3	heapbones	
4	21.22	969316	1438717	Python	masterglob	
4	21.19	811004	1578636	C++	tarte7	
4	21.18	893027	1438665	Python	R.Janvier	
4	21.18	378051	1438925	Java	Storkoxa	
4	21.17	2007852	2133650	Go	Zorg1	
4	21.14	3054071	2314068	Python3	Filosofix	
4	21.12	1861258	1475852	Python3	Nazdhun	
4	21.11	331880	1644979	Scala	Monstruo	
4	21.08	1194359	1438868	C	YJOK	
4	21.03	2590149	1851164	Python3	GoofyGas	
4	20.99	886483	1438781	ObjectiveC	R4N4R4M4	
4	20.98	825505	1438948	C#	MGhayour	
4	20.98	2408893	1633093	Java	jul_dmz	
4	20.97	810390	1438862	Java	Deathdric	
4	20.97	424588	1438713	C#	Zruty	
4	20.94	1236024	2249474	C#	xspeedasx	
4	20.93	155928	1444771	C	pk	
4	20.91	153965	1438869	Python3	Keelhaul	
4	20.9	873626	1438850	Python	yomax	
4	20.89	1114496	1438658	Python	BlasphemousCrossbreed	
4	20.88	613926	1438823	C++	Keeyan	
4	20.86	1158238	1438831	Python3	Veka	
4	20.85	1241062	1848840	Java	jbs	
4	20.85	1210900	1438945	Scala	joebar	
4	20.83	1144135	1440187	Go	Khazalid	
4	20.83	494095	1438832	C#	woup	
4	20.82	848394	1438829	C	schwarzahl	
4	20.82	648751	2473627	Haskell	dabino	
4	20.81	1568785	1510819	C	Chalzy	
4	20.7	292846	1438808	C++	Ninja	
4	20.66	273802	1438777	C++	PMP	
4	20.65	3122104	2226461	C++	Karvajalka	
4	20.62	1419366	1468583	Scala	TheAvi	
4	20.61	867995	1438934	Python3	sethorizer	
4	20.57	869199	1438750	Python3	oixc	
4	20.56	1443769	1446726	C#	weweno	
4	20.54	1032223	1457224	C++	Roshan	
4	20.54	1816961	1455206	Java	pwlrfl	
4	20.53	443383	1438903	Perl	Druxa	
4	20.52	1368530	1504379	C#	Hassenplug	
4	20.52	266276	1438661	C	MrTimber	
4	20.51	1017169	1438944	C#	bLasT	
4	20.5	2731276	2056173	C++	panda42	
4	20.49	1134901	1617125	PHP	AlbertColmeneroCollado	
4	20.46	1169499	1438775	Java	naab	
4	20.44	831681	1438895	Python3	Brindesable	
4	20.44	686600	1438861	PHP	j.watanabe_ORATTA	
4	20.38	1529191	1456545	Python	qba	
4	20.37	1759335	2262509	C#	metahom	
4	20.35	233627	1438885	Javascript	SlipOne	
4	20.31	871125	1438714	Python3	TommyButterflies	
4	20.31	1179448	1455000	Python3	RafaelPascoalRodrigues	
4	20.24	155929	1438902	C#	[CG]jupoulton	
4	20.19	153030	2449644	C++	joH	
4	20.17	1156851	1438782	Javascript	PierreW	
4	20.17	2141259	2094547	C++	Roout	
4	20.16	750523	1438821	Java	Norg	
4	20.15	2254195	1507115	Java	BrunoFelthes	
4	20.14	847675	1438778	Haskell	RobinHood	
4	19.88	1865475	1450889	C++	Tichy	
4	19.6	2015981	1482218	C++	NinjHackz	
4	19.39	918352	1438840	Python	CoYoTe99	
4	19.35	1102752	1438757	PHP	Djoys	
4	19.28	917370	1438866	C++	Gwi	
4	19.25	572189	1438851	Python	Ludic	
4	19.24	1360294	1438958	C#	otk	
4	19.2	783191	1438849	Java	Rutr	
4	19.2	155920	1452124	Java	t2_cyborg	
4	19.19	1078154	1438856	C#	JDuke	
4	19.18	1635357	1438689	Python3	GiB	
4	19.17	982285	1438874	C#	ways	
4	19.16	676776	1438759	Python3	port	
4	19.16	153057	1438797	PHP	PierralF	
4	19.16	2093490	1584344	C++	paul.cabanes	
4	19.15	2348123	1617165	Javascript	Serloock	
4	19.15	153926	1438884	Go	Ripounet	
4	19.14	854952	1936267	Java	dolmen1234	
4	19.13	745612	1438930	C#	bloublou	
4	19.13	2183698	2127847	C#	Seb_T	
4	19.12	1932868	1889257	Python3	Tehelka	
4	19.11	1468059	1438708	C	perseverent	
4	19.11	1234947	1676442	C++	kuro	
4	19.11	1049935	1888633	C++	Azkellas	
4	19.11	2973831	2136464	C#	Golfand	
4	19.11	1536754	1438842	C++	Borkr	
4	19.1	2412391	1627233	Python3	JXmas	
4	19.1	218800	1636302	Python3	Uriopass	
4	19.1	440476	1438796	Ruby	yowa	
4	19.09	1076632	1806626	C++	Chen	
4	19.09	1782814	1438694	C#	Trilusion	
4	19.08	1016299	1438686	Javascript	RicardoNunes	
4	19.07	1930837	1493785	Scala	dacr	
4	19.04	490587	1438690	Java	dima_nah	
4	19.04	1464932	1438727	Java	Tiramon	
4	19.03	2242201	1773966	C++	Maryan	
4	19.03	1503067	1438773	C	Mogul	
4	19.03	1471955	2336757	Python3	Mitte	
4	19.03	586074	1438768	Ruby	Nakilon	
4	19	1753925	1438706	Groovy	Wildcat	
4	18.99	1715243	1483293	Java	Zerfa	
4	18.98	468763	1438765	PHP	oratta	
