Comp.	Score	UserID	Pseudo	#golf,count=94,time=2022-01-10 02:10:00
100	60	2288263	dbdr	
100	60	3380184	chouch	
100	62	1654818	tarapitha	
100	63	3845610	pardouin	
100	66	1537792	AsaiYusuke	
100	69	805067	Magus	
100	69	2178794	Unihedron	
100	72	512097	Stilgart	
100	72	155774	dwarfie	
100	73	3741606	JampperX	
100	75	925695	Boulet	
100	76	334009	abouvier	
100	76	1962352	DPAmar	
100	76	2928146	LolCat	
100	76	2416641	Zenoscave	
100	76	4341304	Remi.	
100	77	709490	Sinlepuissant	
100	78	973040	papyjo	
100	84	1584802	emh	
100	85	4095128	Voltmachine	
100	87	600941	mrv	
100	87	3354337	Mrs.GloriaZindlebocker	
100	87	1441239	Dyd	
100	88	2490008	ebicochineal	
100	88	1072200	alze	
100	89	154984	_Royale	
100	89	918352	CoYoTe99	
100	89	962495	eboot	
100	90	3913376	LaurentValade	
100	91	3509975	bneumann	
100	93	3540338	CAV	
100	93	2923506	darkhorse64	
100	94	1481673	robymus	
100	94	1950948	tssw	
100	97	2874091	5DN1L	
100	98	4156154	issogood	
100	98	2315158	luigi_gelato	
100	101	3165536	barbora	
100	103	1081827	MathisHammel	
100	104	1629259	Marchete	
100	104	854169	Silmaen	
100	104	1848459	Velcoro	
100	104	3358736	BuluBulu27	
100	106	1179950	Patorikkuyatta	
100	106	3532429	Skyf0l	
100	107	1968855	ThePurificator	
100	108	2436448	FrancoisMeme	
100	108	806416	awnion	
100	108	992329	BeeGee	
100	109	1833680	jvivenot	
100	123	351062	Neumann	
100	124	2853578	Colombo	
100	134	2998138	hoeskioeh	
100	134	154806	piwai	
100	135	1500515	eulerscheZahl	
100	137	1201783	qsantos	
100	138	1588583	dANNs	
100	145	974533	Brwa	
100	149	607150	Frisky	
100	149	1530051	UlYoP	
100	155	329200	BlitzProg	
100	158	1464932	Tiramon	
100	166	2786666	TetraktysPhi	
100	178	1759839	matleg	
100	178	4030968	MBucas	
100	183	1210508	Norihiori	
100	187	3305510	TBali	
100	230	4010555	MiniKochi	
100	230	2007852	Zorg1	
100	233	3465335	nQ	
100	263	2744095	ArSeNiK	
100	263	371603	martin	
100	320	1487168	FatIvan	
100	660	1740037	ereiam	
100	1072	484004	aCat	
88	154	1525831	ntsd	
44	126	271034	6pi	
22	104	2136109	Klemek	
0	48	850009	jedib	
0	113	1390607	Ivan_Derzhylo	
0	122	862919	Astrobytes	
0	126	886483	R4N4R4M4	
0	213	3820824	amin1386	
0	213	3893009	killerwot2019	
0	213	4130320	AdekanmbiNoah	
0	218	4222913	GLN	
0	218	4299941		
0	218	4425838		
0	218	4452094	masongtxr	
0	218	4592828	NathanCombs	
0	228	4379624	KamadoTanjiro	
0	229	4089147	rohanraj1234	
0	243	3571970	lilbabby90	
0	267	3812486	gitKad	
