Comp.	Score	UserID	Pseudo	#golf,count=302,time=2021-07-18 00:48:17
100	146	2928146	LolCat	
100	157	3354337	Westicles	
100	158	1436776	BrainSolver	
100	158	2288263	dbdr	
100	163	1946791	Lerbaek	
100	163	1093968	milosMATRIXrepic	
100	163	4338330	0Ph	
100	164	403748	[CG]SaiksyApo	
100	165	1848459	Velcoro	
100	166	1357614	OptiPanda	
100	167	155774	dwarfie	
100	171	1845617	Shingy	
100	172	351062	Neumann	
100	173	225875	leff	
100	173	4243419	Scoolnik	
100	174	1132011	pci	
100	174	2669104	KBurov	
100	174	4341304	Remi_avec_un_i	
100	178	2923506	darkhorse64	
100	180	4060994	3030	
100	181	3622757	anid	
100	181	3845610	pardouin	
100	182	3393198	Turpa	
100	184	2275088	RSojak	
100	195	1740037	ereiam	
100	195	230693	didyme	
100	196	1485989	ReActiveNZ	
100	196	2375283	VirusX	
100	198	1759335	metahom	
100	199	2786666	TetraktysPhi	
100	199	975057	LeoTigers	
100	203	3975984	PoppytoPyto	
100	208	2069141	tomeko	
100	209	1045485	Jessie	
100	209	4071560	BigG42	
100	213	2724981	Majeck	
100	215	3245819	TomA	
100	216	1931039	MooMooN	
100	216	3594990	Matti82	
100	218	1212664	IarChe	
100	218	717196	NWDD	
100	221	4390659	HXavS	
100	223	3264225	Shadawn	
100	224	893177	Rebelwillow	
100	225	1305374	Frankich	
100	228	1166600	Gill153	
100	228	3639318	Djozike	
100	231	912971	Amousy	
100	231	3937902	Vectoribus	
100	233	2932889	shushiri	
100	235	4301050	SamTheSomebody	
100	236	1863849	Peglo	
100	237	1413290	ItaliaAlessandro	
100	237	1068877	[CPC]Tamno	
100	239	3214207	vov4ik90kk	
100	240	1202933	NullOps	
100	242	3772174	Rollerss	
100	245	1838549	orangesnowfox	
100	247	3590625	Njitram	
100	247	2290633	field3	
100	248	1525821	Jeroo	
100	248	3627342	Zuabros	
100	250	3647844	rc95401	
100	253	820000	ValGrowth	
100	256	1482482	gmolnar	
100	257	371603	martin	
100	258	173522	TeddyS	
100	258	2522090	MSmits	
100	258	2021601	Zero0	
100	258	1425201	JamesPun	
100	259	839539	madCasper	
100	260	2429305	Tatasterix	
100	261	1792532	Zanbez	
100	261	1017817	Becha	
100	262	836400		
100	267	1352572	niku-live	
100	267	839879	Washier	
100	270	862819	Umbakrail	
100	271	1179950	Patorikkuyatta	
100	272	2897230	kalevala	
100	272	1220446	yizraor	
100	272	154806	piwai	
100	272	912633	Poviliukas	
100	273	2497890	BlackBird	
100	276	1679187	Xelz	
100	277	3540338	CAV	
100	282	783555	Colin88	
100	283	2716693	AdrianoIanase	
100	285	1812801	Chauca	
100	285	1588583	dANNs	
100	286	4278644	xLurchx	
100	286	4233955	Hujing	
100	288	1652969	Berci79	
100	288	3964584	SirTobyB	
100	290	3305510	TBali	
100	291	2573097	tomas2342	
100	292	815042	Knup	
100	292	1293172	Crowbar90	
100	293	3397479	XorZy	
100	294	2688381	willf80	
100	295	2148276	frankenherm	
100	298	3238379	Giloushaker	
100	298	2713608	LostSymphony	
100	299	3005726	leyo	
100	300	2855291	Zoltanar	
100	300	1242709	domkia	
100	301	3092753	Wario007fr	
100	301	3903847	UnicornP	
100	302	1500515	eulerscheZahl	
100	302	1355994	AlwaysBeCoding	
100	303	3533314	skotz	
100	306	1939395	Feburas	
100	307	4260445	Rusted_Wizard	
100	308	2829386	Shaq76	
100	309	3721214	jrke	
100	310	3736317	Poulbo79	
100	310	3428333	pavel.jesenski	
100	311	3477071	CookieMonster2703	
100	311	3199365	Rubis	
100	312	389786	menu	
100	312	1724524	Duaner	
100	313	2203054	Tillman575	
100	315	1429005	bylle	
100	328	4027292	rmait	
100	331	897547	Layfown	
100	331	836467	Kwaiiil	
100	332	828239	[SG]Bisou	
100	339	862919	Astrobytes	
100	342	998504	SzEmProg	
100	343	4255278	Japhy2112	
100	344	4200287	kof1k	
100	350	3753339	RaptorHunter56	
100	356	4350370	Bela575	
100	363	4227133	BigCrazyAl	
100	367	1622340	VernerVinge	
100	368	3044029	GuerillaOynx	
100	372	1348373	snkkid	
100	375	3340838	Oxl	
100	376	3888227	Teddyzeus	
100	381	3564211	1CE7EA	
100	389	4075651	e-martin	
100	392	3689483	Rd211	
100	393	3444039	TheSub63	
100	393	3729027	DavideVilla1	
100	402	3808031	_proton	
100	405	1408260	cucurucu	
100	414	2298871	jesuisdev.net	
100	422	1720510	DeanJoly	
100	424	3646426	rookieMistake	
100	426	3833386	IszakPeter	
100	430	911178	therougegorge	
100	430	2224070	Stranger-In-The-Darkness	
100	430	4037117	bodbod	
100	432	3397174	DexTrail	
