Comp.	Score	UserID	Pseudo	#golf,count=411,time=2021-11-23 00:48:13
100	75	2288263	dbdr	
100	76	2178794	Unihedron	
100	76	805067	Magus	
100	78	334009	abouvier	
100	78	3845610	pardouin	
100	84	2416641	Zenoscave	
100	87	3354337	Westicles	
100	103	1537792	AsaiYusuke	
100	106	1654818	tarapitha	
100	114	155774	dwarfie	
100	114	4341304	Remi.	
100	116	2928146	LolCat	
100	116	4095128	Voltmachine	
100	117	709490	Sinlepuissant	
100	118	1093968	milosMATRIXrepic	
100	119	3918583	mikmak	
100	121	1845617	Shingy	
100	122	1341520	egaetan	
100	122	1436776	BrainSolver	
100	122	1001096	MyIIone	
100	122	1399382	Regulus136	
100	123	1848459	Velcoro	
100	125	854169	Silmaen	
100	128	481564	mihei	
100	128	530441	Prime541	
100	128	668954	Fluxor	
100	128	3337790	gitbeginer	
100	130	3939443	Lafihalas	
100	131	925695	Boulet	
100	133	1567943	LazyMammal	
100	133	3594074	jopo	
100	135	992329	BeeGee	
100	137	280978	Rylanor	
100	138	953094	Witman	
100	138	3727174	Crazy_Remi	
100	140	351062	Neumann	
100	141	1903031	hard-coded	
100	142	2874091	5DN1L	
100	144	2315158	luigi_gelato	
100	146	2718975	mykeich	
100	146	154504	Harenome	
100	146	2242201	Maryan	
100	147	2923506	darkhorse64	
100	150	3726978	VirtualAtom	
100	151	1530051	UlYoP	
100	153	1045485	Jessie	
100	154	4440113	Blazde	
100	156	717196	NWDD	
100	157	1140756	BarbsMan	
100	157	1826849	Geplik	
100	161	1759335	metahom	
100	162	638784	Yqnn	
100	163	4154326	montplusa	
100	168	780361	BrutalCommiterInSpace	
100	169	3165536	barbora	
100	169	154806	piwai	
100	170	225875	leff	
100	170	1140677	Crog	
100	170	4110073	souta_1326	
100	170	2924895	trictrac	
100	174	2786666	TetraktysPhi	
100	174	3514975	Phurinat	
100	175	1751832	buikikaesu	
100	176	3754066	jast.e.new.name	
100	178	2858320	Loule	
100	179	3611465	FooBat	
100	179	3960770	AndorM	
100	180	4334077	Paul_Demanze	
100	182	2490008	ebicochineal	
100	183	2320995	Photon_	
100	184	3750700	VulpesCorsac	
100	185	4487490	cnk_gr	
100	186	1756952	Petras	
100	186	3490454	PAug	
100	186	3647844	rc95401	
100	188	820000	ValGrowth	
100	188	893541	wala	
100	189	2069141	tomeko	
100	189	4147878	Fraggy72	
100	189	3325162	Krakenus00	
100	190	1295111	Andrii.Bakulin	
100	190	1952778	blast_beat	
100	190	2066683	padobranac	
100	190	411945	Ripoder	
100	190	4083405	jzen	
100	191	4020110	AlmostAtom	
100	191	1441239	Dyd	
100	192	1506280	TwoLate	
100	192	3373971		
100	193	1485015	Murky	
100	193	1527403	Di_Masta	
100	195	3293190	lhm	
100	195	3962423	Shagar	
100	196	3092272	de-passage	
100	196	3625500	Leon_The_Professional	
100	197	1110090	bd	
100	197	1201796	P.Greze	
100	199	417433	Oakos	
100	199	862919	Astrobytes	
100	199	4176076	2134512	
100	200	958227	LantarSidonis	
100	200	952784	[CG]Simon	
100	200	2438514	davi_bart	
100	201	2093490	paul.cabanes	
100	201	3809853	Emilio-EH	
100	201	4462373	Jeromy	
100	203	2371389	Franta	
100	203	4072753	mdstoy	
100	205	828239	[SG]Bisou	
100	207	1791118	Baboune251	
100	208	1124530	scaramouche	
100	209	371603	martin	
100	210	4014343	Ronwe	
100	210	3770928	ku-haku	
100	210	4028335	psergee	
100	212	3118570	Razovsky	
100	213	3408865	redimer	
100	213	3767940	Kafeine	
100	215	1661333	linjoehan	
100	216	1588583	dANNs	
100	217	3721214	jrke	
100	217	914092	BB	
100	218	1106450	RiSuS	
100	219	4120837	philipplenk	
100	219	3256989	rizant	
100	220	1049935	Azkellas	
100	222	4270882	[ron]	
100	224	3910031	MShepelin	
100	226	1336464	magaiti	
100	226	389786	menu	
100	228	2479417	Papa94	
100	229	3553804	Nerenie	
100	230	734401	b0n5a1	
100	232	1287031	binaire	
100	234	2713608	LostSymphony	
100	235	3418200	Anodin	
100	236	1828329	Speedphoenix	
100	237	1179950	Patorikkuyatta	
100	239	1530429	Michiel	
100	239	4065313	XerusPrasinus	
100	242	3308199	ChadThundercode	
100	246	2682089	peter-bloomfield	
100	246	3614357	Thiassou	
100	248	2406139	Estard	
100	248	4238569	everyName	
100	249	2171231	Suprema_Lex	
100	250	1421071	Saturne	
100	251	3944012	nightyhawk	
100	252	3283415	Bon[]Crayon	
100	254	4534872	BlaiseEbuth	
100	259	4512488	csKingBabar	
100	261	3309697	tester2205	
100	261	3305510	TBali	
100	262	3741491	inverb	
100	263	1528055	YannBeuc	
100	264	2585631	Tkachenko	
100	265	3522635	RobFixstars	
100	265	4017851	Pintago	
100	266	1429360	comp0zr	
100	269	4448227	bmerchin	
100	270	3707766	alex.argiriou	
100	270	2736499	Mastermindermad887	
100	273	3362964	a314	
100	274	956529	Moduus	
100	275	3808031	_proton	
100	277	3502588	Kito42	
100	284	3559869	GabyZero	
100	284	1782005	AlexW	
100	284	4003601	Mathieu1988	
100	285	1634781	O.lg.a	
100	288	3783962	Mohsen1365ir	
100	288	3763923	nforay	
100	289	3571579	ntroPi	
100	290	1673512	Ryoken	
100	290	4097305	Bad_beans	
100	290	2290633	field3	
100	291	4410658	airoman	
100	292	1903920	SATI_OTI	
100	292	3370098	EwertonES	
100	292	1390789	Matthieu.L	
100	293	4290907	janm31415	
100	294	3689483	Rd211	
100	295	199887	Sanpas	
100	299	4005049	rinnegan	
100	300	1920644	Skygge	
100	300	3906912	ale3000ale	
100	301	3700608	Charalampos_Mylothros	
100	303	3933334	Ajeser	
100	305	4188858	Loomchild	
100	306	2872312	player_one123400	
100	307	1443075	Wolfy82	
100	307	1470845	SiennaMuffin219	
100	308	3671016	YaroslavChernetskyi	
100	309	4038295	rmnShk	
100	310	3465870	HBaudet	
100	311	3339058	Zaap38	
100	313	2172874	Med1ane	
100	321	2978776	ChrisDerPlayer	
100	324	3414481	Siik	
100	324	3723101	Lilac_Tsuki	
100	327	1040649	hecatomb	
100	330	1880319	WildSmilodon	
100	330	4384631	MatiasMG	
100	335	1449433	Rolf	
100	338	3375220	Nemph1s	
100	346	2002449	hunggar	
100	346	4406660	Tyrano.	
100	347	294593	igibbs	
100	350	3396528	surffer3d	
100	350	3959384	DamienCarreau	
100	353	3789487	LelouchVC2	
100	359	1768203	ryb1n	
100	363	3597400	Zm4j	
100	364	3199365	Rubis	
100	364	3735163	dnum	
100	366	4275953	fff1015	
100	367	4276652	pshemke	
100	368	1035241	Aleman	
100	369	1709692	LaFayette	
100	369	4193156	SebastianSmyk	
100	372	2498918	Emanuik	
100	374	3403927	Wouazo	
100	376	982882	Broxia	
100	380	3712478	fy18vo	
100	382	996606	Indy	
100	382	4372857	Sirios	
100	390	3837895	Vampyre_Angel	
100	398	2241968	Deved	
100	399	2822194	Kemosahbee	
100	402	1036952	CortexDeveloper	
100	402	3574688	RaulButuc	
100	407	2156856	Architektor	
100	407	4402812	NicolasAlmerge	
100	416	3019128	Ukitate	
100	433	4018623	ExileDaniel	
100	437	3820981	jojurko	
100	446	4274197	i8fbnkyw	
100	453	3263491	hryzx	
100	456	3807227	GaryAflalo	
100	456	4072976	matthewwalshie	
100	469	1378506	MattGately	
100	469	3737102	JosueAC	
100	471	3882002	irmuun	
100	472	2452272	Lequim	
100	472	1335230	jft63	
100	473	3796951	Gerbil	
100	476	4483169	gpdaniels	
100	479	4283172	-Gam-	
100	483	3523636	Sikny	
100	486	3847940	Yunuen	
100	487	1087000	vladislavbelov	
100	490	3600496	charlycop	
100	500	3925832	Maxim251	
100	506	2855929	Smour	
100	519	3638738	Winux_Ifrikya	
100	525	3020707	yannch	
100	526	4304292	guyav	
100	535	886483	R4N4R4M4	
100	540	3416055	ItsAFeature	
100	542	4188869	NotSlacker	
100	557	3558582	S_OK	
100	560	3307683	Ezio44	
100	573	3185260	DEV_PEBKAC	
100	583	3091791	DaniilChizhesvkij	
100	613	4479999	TheMDStyle	
100	654	3690176	noONE	
100	655	3487258	Waskalito	
100	655	4090506	Johnsensen	
100	660	3958482	Angelica_C	
100	668	3567492	LeoLeo	
100	674	1001311	begood_	
100	719	4280280	Kanto99	
100	729	3574164	Hidden_Bug_02	
100	731	4026627	RyuGaro	
100	756	4089126		
100	780	3616937	AboubacarDiaw	
100	795	1902840	mechatronick	
100	801	3474302	d.kard	
100	803	3378415	FrankJim	
100	804	3309747	arussca	
100	816	4314486	IDKwhatmynicknameshouldbe	
100	847	3947705	Winchest3r	
100	852	3618242	Mazigh	
100	869	2642435	Dude-Rocker	
100	877	1540075	chrisRay	
100	880	3997612	jelvan-d	
100	880	4381240		
100	893	3801007	aakashram2005664	
100	899	3704050	krystaLove	
100	907	3327302	krishna_jalan_	
100	941	4043415	lil_gallon	
100	943	3501027	SteelSky	
100	950	4174388	ronkyug	
100	956	3120796	lRednavil	
100	965	3377029	GioChkhaidze	
100	978	1022925	Adrien.	
100	986	4055466	7ossam	
100	1005	2798047	MAKMED1337	
100	1006	4395739	Andret0701	
100	1008	3998990	bgotink	
100	1012	1793473	nickshch	
100	1020	3961169	Alexander_Polovnikov	
100	1021	1773607	elana	
100	1023	4207863	Fatbouddha	
100	1040	3729654	Nikeleos	
100	1050	3444283		
100	1060	2122087	RENZOU	
100	1063	3345524	Curious	
100	1068	4010596	Skade-code	
100	1071	3968364	Blmn	
100	1077	3894791	MusaFernanda	
100	1079	3271550	Eggface	
100	1079	4509026	Agar__Kristian	
100	1083	3735125	0ne	
100	1083	3498674	Sko0owi	
100	1102	3785657	rknoll	
100	1107	4207990	bigmazi	
100	1113	1549217	HaXxX	
100	1119	3319434		
100	1120	2204680	GuillermoBernaldoDeQuirosMaraver	
100	1130	1073051	7tigi7	
100	1137	3572224	Mardivil	
100	1140	4073357	Ethan_Nevermore	
100	1148	4008476	ArteXa	
100	1167	2360690	Galrauch	
100	1178	4224946	GanzorigUlziibayar	
100	1205	2293954	JuliO	
100	1230	4493523	Fynjy1313	
100	1238	3673250	auguststr	
100	1248	3566552	JimmyLeDev	
100	1258	3860244	dadaychua	
100	1262	3914826	Szbitz	
100	1265	4147286	cohky16	
100	1270	4246578	TomTomTomTomy	
100	1271	2006324	SihardeOussama	
100	1275	3605334	Numantia	
100	1279	2975986	igodip	
100	1288	2429661	SerialGrapist	
100	1291	3999950	pakapala	
100	1293	3513907	Yorlock	
100	1314	3976689	OpheliePELLOUXPRAYER	
100	1335	3464258	LiuFather	
100	1342	4162457	twhittak	
100	1354	4351195	vinni01	
100	1355	1766582	smugiss	
100	1385	4214047	crixus30000	
100	1389	3942150	TrungTran7499	
100	1407	4055334	petar_b	
100	1414	3577328	Expalibur	
100	1428	4125269		
100	1511	3319548	Ellion35	
100	1511	3407421	Whims	
100	1511	3609786	kamozo	
100	1526	3935773	QuocTrung1	
100	1546	4188779	morato_	
100	1563	1643238	CalebLost	
100	1565	3796712	NinjaKus	
100	1574	3788506	QuentinDem	
100	1658	930118	Regule	
100	1662	2631450	Flekysek	
100	1739	4000167	HarshaS	
100	1777	994468	darkdieg	
100	1808	3958166	ArecaNon	
100	1869	3931571	Shyju	
100	2137	3254420	asdd102	
100	2182	3931986	ABC123	
100	2295	4070007	WashChi	
100	2550	3799755	subhayan_2005387	
100	2550	3458246	fun1	
100	2650	3865648	2005630	
100	3235	4560014	Jean820202	
100	3323	2764277	Sam3S	
100	3746	3969815	qwerty1111	
100	5445	4320795	momow24	
77	927	3425476	SteachTheTurtle	
77	1479	4320857	newOasis	
77	1754	1672491	AlexKon	
66	414	1107784	SimpleCpp	
44	1900	1458157	chocolatecharlie	
33	744	3349436	__ACE	
33	1193	4037519	ranaj	
33	1267	3982957	Phisics1	
33	1293	4260818	Adidinamite	
33	1445	4427599	chaitu118	
0	0	3968399	dormeur2009	
0	127	154984	_Royale	
0	361	2837771	Noeim	
0	431	4414444	Ericsson	
0	432	3407054	sir.cudle.budle	
0	432	3415774	bazzle.scott	
0	432	3415775	malachi123	
0	432	3492295		
0	432	3597796	brianna23	
0	432	3699562	ParafusosDoEscape	
0	432	3780580		
0	432	3833604		
0	432	4370854	smileOnMyFace	
0	432	4401277		
0	432	4406104	ArkYTlol	
0	432	4592151	jvanegas21	
0	433	4314323	princess11cherry	
0	442	4452094	masongtxr	
0	446	4017323	Z3R07	
0	451	3717971	ZankoT	
0	461	4231467	Bart-Sky	
0	469	4342793		
0	471	4194866	NitTheWizard	
0	564	3342604	Nicocaine51	
0	632	4202795	zooz1971	
0	1349	3885433	ThiraphonPoesri1	
0	4763	3574971	sym	
