Comp.	Score	UserID	Pseudo	#golf,count=22,time=2022-02-06 00:32:42
100	166	3354337	Mrs.GloriaZindlebocker	
100	181	1654818	tarapitha	
100	182	1629259	Marchete	
100	183	2178794	Unihedron	
100	185	3845610	pardouin	
100	212	1848459	Velcoro	
100	213	2315158	luigi_gelato	
100	218	2874091	5DN1L	
100	227	1179950	Patorikkuyatta	
100	228	155774	dwarfie	
100	233	1441239	Dyd	
100	237	4341304	Remi.	
100	281	968843	Average	
100	302	371603	martin	
100	376	2662239	MarvinTheMartian	
100	416	3305510	TBali	
100	479	3420245	strinsberg	
100	563	2718312	boogie666	
100	645	1740037	ereiam	
0	0	3968399	dormeur2009	
0	422	4233851		
0	434	4254777		
