Comp.	Score	UserID	Pseudo	#golf,count=25,time=2021-08-12 00:53:08
100	138	2288263	dbdr	
100	139	155774	dwarfie	
100	147	1654818	tarapitha	
100	155	1001096	MyIIone	
100	170	3354337	Westicles	
100	236	1848459	Velcoro	
100	238	4308802	Ascodran	
100	248	2202771	Kaplone	
100	253	4334077	Paul_Demanze	
0	144	1357614	OptiPanda	
0	151	1436776	BrainSolver	
0	155	3845610	pardouin	
0	218	2786666	TetraktysPhi	
0	218	828239	[SG]Bisou	
0	225	3869618	tsds	
0	232	3922731	Dartisan	
0	233	1179950	Patorikkuyatta	
0	241	717413	fritaly	
0	265	3626280	Fillan	
0	269	3305510	TBali	
0	335	4028761	CodeWanderer	
0	419	1740037	ereiam	
0	424	3941789	LastRick	
0	795	820000	ValGrowth	
0	1289	4150288	jjoelp	
