Comp.	Score	UserID	Pseudo	#golf,count=18,time=2021-11-24 00:36:15
100	116	2928146	LolCat	
100	127	3354337	Westicles	
100	152	1436776	BrainSolver	
100	152	2874091	5DN1L	
100	156	1848459	Velcoro	
100	159	1654818	tarapitha	
100	183	155774	dwarfie	
100	216	4440113	Blazde	
100	278	1179950	Patorikkuyatta	
100	285	3305510	TBali	
100	293	2414991	MiloCooper	
100	331	4334077	Paul_Demanze	
100	496	1022877	MariosK	
100	504	1740037	ereiam	
100	637	1981732	MJS	
100	1004	2661589	LePelicanFushia	
0	106	1537792	AsaiYusuke	
0	211	1629259	Marchete	
