Comp.	Score	UserID	Pseudo	#golf,count=59,time=2022-05-02 01:04:27
100	100	3845610	pardouin	
100	109	3354337	Westicles	
100	166	2288263	dbdr	
100	166	155774	dwarfie	
100	174	1567943	LazyMammal	
100	176	2007852	Zorg1	
100	180	2420671	Irioth	
100	184	1399382	Regulus136	
100	194	1540394	LVdA	
100	196	3373291	BHW	
100	207	2238226	bomberman	
100	208	2874091	5DN1L	
100	212	1629259	Marchete	
100	214	1848459	Velcoro	
100	215	4154326	montplusa	
100	217	1654818	tarapitha	
100	221	1952778	blast_beat	
100	222	1436776	BrainSolver	
100	228	4159245	Karhuttaja	
100	228	4341304	Remi.	
100	240	530441	Prime541	
100	252	3407821	SuperBandit228	
100	268	154901	jybateman	
100	277	2202771	Kaplone	
100	279	4146980	Bernathan	
100	283	862919	Astrobytes	
100	289	2786666	TetraktysPhi	
100	290	828239	[SG]Bisou	
100	302	1662464	UPS	
100	317	1179950	Patorikkuyatta	
100	331	3727410	CodeAndRun	
100	334	2172874	Med1ane	
100	336	1111915	Giloulaloutre	
100	340	3808031	_proton	
100	371	3305510	TBali	
100	385	4142862	mkhstar	
100	388	154806	piwai	
100	389	1210508	Norihiori	
100	396	1547589	WarrenBarnes	
100	396	1494823	duburlan	
100	476	1588583	dANNs	
100	579	2858335	pac-nam	
100	584	1740037	ereiam	
100	643	3687898	darxnet	
100	659	660794	fl1pfl0p	
100	874	964183	Dasgard	
100	927	3575913	didjeru	
100	1078	3946057	boogiepop	
100	1270	4375436	spinner-web	
100	1387	4194700	AlexandrSminrov	
100	1580	1760921	[Leonardone]-[-_-]-[NEETSDKASU]	
0	0	3968399	dormeur2009	
0	446	3961197		
0	469	4048122	liam77774814	
0	485	4256608	Ojoyful	
0	485	4269849		
0	485	4651194	bestcoderlad	
0	626	2632795	AnthonyMalcourant	
0	1085	4170492		
