Comp.	Score	UserID	Pseudo	#golf,count=33,time=2021-12-11 01:06:09
100	98	1537792	AsaiYusuke	
100	109	2928146	LolCat	
100	117	3845610	pardouin	
100	120	709490	Sinlepuissant	
100	127	3996096	Sakisan	
100	130	1654818	tarapitha	
100	133	512097	Stilgart	
100	135	1629259	Marchete	
100	137	2491616	abt8601	
100	138	271931	funky_bibimbap	
100	138	1848459	Velcoro	
100	139	3354337	Westicles	
100	141	3046779	Kathrin	
100	154	4436495	Morendil_fr	
100	155	155774	dwarfie	
100	159	2874091	5DN1L	
100	165	2317747	ElPsyCongroo2011	
100	171	1167096	exfalso	
100	180	934381	PolyB	
100	180	1024459	lbm	
100	192	1179950	Patorikkuyatta	
100	193	4595779	wmarkham	
100	203	862919	Astrobytes	
100	237	4025270	reidelusitania	
100	287	1525392	migorec	
100	288	3471565	dcast	
100	299	3305510	TBali	
100	300	2923506	darkhorse64	
100	316	3784861	thiebt	
100	359	2007852	Zorg1	
100	436	1448655	dervan	
100	560	1740037	ereiam	
100	1094	2458209	Drakkoniz	
