Score	UserID	Pseudo	#golf,count=279,time=2020-11-18 01:55:11
185	1654818	tarapitha	
189	2178794	Unihedron	
190	1357614	OptiPanda	
190	1341520	egaetan	
190	1001096	MyIIone	
190	1845617	Shingyx	
191	805067	Magus	
192	3207204	RomanceDawn	
192	2288263	dbdr	
194	2050543	Cherubael	
194	1399382	Regulus136	
194	1178276	Jerome_95	
198	155774	dwarfie	
200	351062	Neumann	
200	1766582	smugiss	
200	3918583	mikmak	
200	3531261	Patatatarte	
207	481564	mihei	
208	1093968	milosMATRIXrepic	
209	3226448	tobk	
210	1629259	Marchete	
210	1436776	BrainSolver	
212	403748	[CG]SaiksyApo	
212	1183122	ath	
215	2436448	FrancoisMeme	
216	1487392	Razielwar	
221	2923506	darkhorse64	
221	1045485	Jessie	
222	1848459	Velcoro	
236	3845610	pardouin	
237	2069141	tomeko	
242	4026208	alf38	
245	1518732	Apfeloxid	
249	153667	tocose	
253	1759335	metahom	
253	1968855	ThePurificator	
254	3855753	tuan91	
259	2797964	BorisH	
262	706692	alexhap	
263	3651825	ctwins95	
270	335954	nmahoude	
273	3181720	Nucleus_12_	
277	3989873	JirkaS	
281	3931840	Patrick33	
285	3517779	flo5589	
285	3354337	Westicles	
286	1630890	Wld	
289	154806	piwai	
290	212028	GHenry	
293	820000	ValGrowth	
301	975057	LeoTigers	
303	1003549	cpthappy1	
308	1077559	PhOeNyX	
310	198916	WhatTrickeryIsThis	
312	1863849	Peglo	
312	3905184	PatatoGurst	
313	3464590	abbecool	
314	2762653	RAAAT	
319	3691366	V90	
320	2802559	SudeepMukherjee	
325	2420013	Zoli007	
325	1731041	PitouleMan	
327	914105	T6nn	
329	1723892	Kuriet	
330	3785208	StrafeAE	
334	2130169	CyberLemonade	
335	3530791	Imponderabilium	
338	371603	martin	
344	3839708		
353	2202771	Kaplone	
356	2786666	TetraktysPhi	
356	881037	Amadeuszx	
357	1845697	enday	
358	1679118	histnat	
358	2453008	Crypticsy	
360	1957077	domak	
366	2508635	hemhel	
368	3328428	Nightcore	
372	3819160	jebale	
374	1464932	Tiramon	
374	1792532	Zanbez	
378	2408893	jul_dmz	
381	3807227	GaryAflalo	
391	1566335	BeardedWhale	
392	1499571	Tenang	
393	770803	Gozke	
396	1390789	Matthieu.L	
402	154388	PonyPonyCodeCode	
403	893541	wala	
408	1757792	oreshnik	
409	3214641	Neicul	
412	1075220	sebmarty	
422	3931362	BenjaminA	
423	2106901	Kyoshiro10500	
426	3444208	Anatoli	
426	1636396	Ivan1pl	
432	3817970	RossMcMillan	
434	2622559	Gripnil	
435	2976964	BenjaminUrquhart	
439	3409974	Karom	
441	1335230	jft63	
449	3473405	cda-19158-Dorne-Julien	
449	1425201	JamesPun	
456	836411	golombFW	
458	862919	Astrobytes	
465	2260100	FernandoMiguel	
467	1524222	derHai	
473	1961911	Irthene	
475	3305510	TBali	
481	1229845	Jipe	
488	3293151	Lordy78	
490	1066745	DepartmentOfRedundancy	
492	2829492	Takicardi	
495	3114997	JP7	
497	2077458	Ragi	
499	3508196	JohnnyBeats	
503	3921345	JFP81	
513	903179	maksmas	
519	1542460	[CPC]totoleharicotvert	
520	3868667	Alexiscomete	
521	229872	Yanok	
526	3942793	The_Auditor	
533	2014746	romeo_mihai	
540	3768845	Med_Sadok	
543	1781541	Schwase	
545	2464160	Taeth	
552	3937392	Willy-tec	
563	3849265	hydroglicerol	
570	3598723	Tee-Resa	
585	3808031	_proton	
589	3415091	Yha	
615	3341794	ggggggggg2	
618	3862608	LeBaoHoang8A4	
625	3913344	Arun_Josh	
638	3922983	Steenall	
646	3828445	AIR	
664	2852592	OHER	
676	894826	tekki	
683	2244606	vindoz	
700	1530429	Michiel	
721	2395068	venzor	
730	3721214	jrke	
740	3839936		
748	3816902	Largus	
793	3840042		
802	992808	Goidel	
818	2655682	CoderFromOuterSpace	
827	3245236	gumast	
869	3746433	RDmitriyS	
884	3467879	Nedra11	
896	3253838	Bozzio	
905	3611120	Gary000	
908	2787090	Rhydberg	
939	1223843	uizz	
952	1490985	DenMette	
957	2043908	AntiSquid	
965	3527477	kgalabe	
973	3840049		
990	3496957	ecalie	
991	3926575	Danotris	
1011	488941	lucoram	
1056	3966304	rasnaah	
1060	3475476	HeMan	
1062	3256978	salogba	
1075	2387233	SinOfWrath	
1076	3557459	alecram	
1078	218189	[CG]Maxime	
1082	3839853		
1086	1812246	CDA-20285-PierreYves-Augem	
1109	2260815	Haardvuur	
1118	1545492	Sonofox	
1119	3189460	Raizel123	
1120	1513343	rlancelo	
1128	3476530	nico.brs	
1128	1744697	SaniX	
1128	3641320		
1128	3792869	LayLay	
1128	3734044	KHart	
1128	2472606	MehdiTouil	
1128	3888426	OnlyLouis	
1128	2137908	axe	
1128	3990938	T01	
1128	3565444	Scathach	
1128	3842278	hem123	
1131	3917824	Shooting_Star	
1177	3919384	ApexFossa	
1178	3308481	Bruno_Gabriel	
1178	1703585	Artiszt	
1178	3450903	AntoineRaze	
1189	3738533	Nagibator1998	
1205	4042835	NealPoidras1	
1214	3745059	Onyown	
1228	3905690	BobBierman	
1232	3320996	Koubi-chef	
1234	3604396	AskeHeal	
1240	3563089	AINAK	
1240	3757455	rjangid	
1242	2538424	bhrr	
1246	3829355	benner	
1257	2064637	java_coffee_cup	
1260	3425923	Water_WHM	
1267	1527403	Di_Masta	
