Comp.	Score	UserID	Pseudo	#golf,count=745,time=2021-08-11 00:58:36
100	78	2288263	dbdr	
100	78	3845610	pardouin	
100	79	1675034	francois	
100	87	1654818	tarapitha	
100	97	1357614	OptiPanda	
100	98	3918583	mikmak	
100	99	1341520	egaetan	
100	100	805067	Magus	
100	101	1399382	Regulus136	
100	102	403748	[CG]SaiksyApo	
100	102	153964	Zanng	
100	102	3354337	Westicles	
100	103	1845617	Shingy	
100	103	155774	dwarfie	
100	103	1045485	Jessie	
100	106	3230794	tutubalin	
100	106	481564	mihei	
100	106	1093968	milosMATRIXrepic	
100	107	953094	Witman	
100	107	1178276	Jerome_95	
100	107	1540394	LVdA	
100	108	940791	Kris117	
100	108	4060994	3030	
100	109	2315158	luigi_gelato	
100	110	4095128	Voltmachine	
100	110	2320995	Photon_	
100	111	3883981	mauguignard	
100	111	1487392	Razielwar	
100	112	3489223	KarloHubai	
100	112	1003752	Skayo	
100	113	1436776	BrainSolver	
100	114	2023260	NinJavascript	
100	114	3796951	Gerbil	
100	115	3555948	NegativeHoro	
100	115	3647844	rc95401	
100	116	3989067	pipololo	
100	116	3337790	gitbeginer	
100	116	1567943	LazyMammal	
100	117	3513265	DaNinja	
100	117	2888129	terazoid	
100	119	351062	Neumann	
100	119	3540338	CAV	
100	120	814685	AthosPyte	
100	121	1759335	metahom	
100	121	1001096	MyIIone	
100	121	1485690	Kikoo	
100	121	3162821	Discourage	
100	122	3998990	bgotink	
100	122	4138318	dr-awetz	
100	123	2178794	Unihedron	
100	123	3980409	Fanfouer	
100	123	2923506	darkhorse64	
100	124	1109881	Salsiccia_affumicata	
100	124	4333899	Handala	
100	125	1179357	avdg	
100	125	1372843	djjeck	
100	125	513549	y0p	
100	125	3510173	Reinis-Mazeiks	
100	125	4007298	ShadiestEwe	
100	125	2526465	doritosxxx	
100	127	2773306	kryshac	
100	127	2375283	VirusX	
100	127	4124688	Murat_Eroglu	
100	128	3413276	Piemert	
100	128	2910225	Guytan67	
100	129	1464932	Tiramon	
100	129	2776033	Karamuto	
100	129	3165536	barbora	
100	130	1382285	Neverever978	
100	130	3859980	DoxLee	
100	130	4277447	Bmerks	
100	131	3199548	yonder83	
100	131	3504573	ChrisOz	
100	132	1506280	TwoLate	
100	132	2451652	code_of_the_dead	
100	133	1846503	damjuve	
100	134	3923347	scrocchi	
100	136	1931039	MooMooN	
100	136	1616191	PotcFdk	
100	136	1304841	NitMpez	
100	136	4410658	airoman	
100	137	4156154	issogood	
100	138	2069141	tomeko	
100	138	2371389	Franta	
100	139	975057	LeoTigers	
100	139	3855258	Starfighter	
100	139	1838549	orangesnowfox	
100	140	1353795	TheCrucial	
100	140	3035070	Ipso	
100	140	3971654	EDumdum	
100	140	3076711	Sceurpien	
100	140	4122400	yukulele	
100	140	2635907	lopidav	
100	141	3465335	nQ	
100	141	1688826	statox	
100	142	1205152	cfoll	
100	142	1330431	TzeKin	
100	142	3847872	psychedelic68	
100	142	4285437	t3st1	
100	143	1534317	Zwloki	
100	143	3430435	DocteurWong	
100	143	1923902	gkalpak	
100	143	4027771	AndreMarasca	
100	143	894599	DidierC	
100	143	4334077	Paul_Demanze	
100	144	2050195	eklore	
100	144	2589340	Zource	
100	144	1424148	manychois	
100	145	3448473	massizero	
100	145	1542006	1764	
100	145	1627246	katutaistelija	
100	145	4358721	Pranav_C	
100	146	587769	infusion	
100	146	2077458	Ragi	
100	146	2487077	simon-pham	
100	146	482445	BogdanSavchenko	
100	146	826058	niconoe	
100	146	1729140	romanizator	
100	146	3371609	Herbrasif	
100	146	2923497	Tenru	
100	146	3910979	aliraslan	
100	146	2792530	Xanrum	
100	146	1309948	Runner87	
100	147	3352676	3t0n	
100	147	1525816	Flodnes	
100	147	3508909	meroje	
100	147	2220824	Aerodactylus	
100	147	1515891	ndc	
100	148	1876059	Knagis	
100	148	3009598	Flashantik	
100	148	2520443	Einwickler	
100	148	978875	sokki	
100	148	2565497	vladislao	
100	148	1632765	BlueArtemis	
100	148	4334406	CamTheHelpDesk	
100	148	2206075	Jon...	
100	149	638784	Yqnn	
100	149	1962352	DPAmar	
100	149	3380514	DFrese	
100	149	2870586	MattZ	
100	149	3564211	1CE7EA	
100	149	1250593	Ellama	
100	149	3376696	Nikcname	
100	149	3808031	_proton	
100	149	2519884	mamphis	
100	149	3752460	goeyj	
100	149	4119552	cazka	
100	149	4178284	andrei0x309	
100	149	1179950	Patorikkuyatta	
100	150	2452543	Maznek	
100	150	3660819	BloodyTurtles	
100	150	1751832	buikikaesu	
100	150	3896228	Boruwaka	
100	150	2106901	Kyoshiro10500	
100	150	1348600	erodataM	
100	150	1960325	Bladx	
100	151	1629259	Marchete	
100	151	3188551	ashelkov	
100	151	1540478	struct	
100	151	3910305	ProgaPanda	
100	151	1498392	joshyrobot	
100	151	2931967	KPlanas	
100	151	3466711	UtilisateurMasque	
100	151	4124054	JoshuaRC02	
100	152	783555	Colin88	
100	152	1677918	CA	
100	152	3508553		
100	152	2622559	Gripnil	
100	152	3784785		
100	152	3831462	JAJAJAJAJoe	
100	152	3800387	typingm	
100	152	4115416	miejs	
100	152	1441239	Dyd	
100	153	1316505	blader0x	
100	153	964169	ivanoff.org.ua	
100	153	3771692	obstinado	
100	153	2323725	GMartigny	
100	153	3585167	informathemusic	
100	153	1109907	polpoul	
100	153	4300969	thomasgonda3	
100	154	1383959	ebriand	
100	154	2708267	XyoloJR	
100	154	1019883	Pedromdrp	
100	154	2040449	SalimAmiar	
100	154	4085274	JeZzElLutin	
100	155	1305374	Frankich	
100	155	1390789	Matthieu.L	
100	155	3651809	NicknameRequired	
100	155	3814546	awarua	
100	155	3903942	ngoc	
100	155	4038295	RamanShakya	
100	155	389786	menu	
100	155	3721214	jrke	
100	155	3740142	EliteDaMyth	
100	155	3864521	PPRB	
100	155	3917724	Marke18	
100	156	1588262	kogash	
100	156	2744095	ArSeNiK	
100	156	2420013	Zoli007	
100	156	3435196	KratosAurion	
100	156	1966108	Thorolf	
100	156	3530852	Five52	
100	156	1388660	Maeevick	
100	156	1474519	Sny_de_Treves	
100	156	3862589	anha	
100	156	4124401	emrah_akc	
100	156	2298036	3x1t	
100	157	1060181	Dabou	
100	157	1166150	Rivy33	
100	157	303948	ZZSolo	
100	157	1626913	AdrienTurmo	
100	157	3574688	RaulButuc	
100	157	2924895	trictrac	
100	157	2741162	YannT	
100	157	1503858	HenkVandeBerg	
100	157	154806	piwai	
100	157	3569691	KndrSrprizzz	
100	157	3970263	VasanthanPT	
100	158	2786666	TetraktysPhi	
100	158	3407364	personAlex	
100	158	3934908	TheDrakonir	
100	158	2641712	Scarlatine	
100	158	1256312	Djoums	
100	158	1861852	Cramer	
100	158	3246683	AnishShobithPS	
100	159	3065338	DrKhyz	
100	159	2067176	0bug	
100	159	1701936	Chatterton	
100	159	2688381	willf80	
100	159	4100825	ablin42	
100	159	2438514	davi_bart	
100	159	3717379	bobbieX	
100	159	4072753	mdstoy	
