Score	UserID	Pseudo	#golf,count=34,time=2020-06-17 00:48:50
128	3351131	osmedile	
130	1436776	BrainSolver	
132	2178794	Unihedron	
150	1654818	tarapitha	
154	1001096	MyIIone	
154	1845617	Shingyx	
169	155774	dwarfie	
181	1357614	OptiPanda	
181	2786666	TetraktysPhi	
182	3636205	Nikotine	
184	1341520	egaetan	
186	1629259	Marchete	
188	1740037	ereiam	
196	1518504	bohuss	
202	1447223	Cbasix	
224	2069141	tomeko	
224	1441239	Dyd	
225	3371531	Zasalamel	
231	1515891	ndc	
295	1174354	Pyeroh	
309	881037	Amadeuszx	
331	1001266	Chamel	
357	3846923	Hildan	
367	1792532	Zanbez	
394	3409672	dr.zabaza	
399	3444208	Anatoli	
416	3484291	Al3xCalibur1	
444	3488041	KodeMonkey	
553	3390160	Amr__93	
626	3309451	Phil.Harder	
701	3560302	FlorianPerrot	
801	3551066	MaxymTereshchenko	
1261	2727704	DricomDragon	
2119	3563868	ToeySubjarern	
