Comp.	Score	UserID	Pseudo	#golf,count=175,time=2021-12-28 01:37:11
100	65	155774	dwarfie	
100	71	1654818	tarapitha	
100	71	3845610	pardouin	
100	73	2288263	dbdr	
100	74	1537792	AsaiYusuke	
100	78	805067	Magus	
100	82	334009	abouvier	
100	82	2178794	Unihedron	
100	82	2928146	LolCat	
100	93	3354337	Mrs.GloriaZindlebocker	
100	97	709490	Sinlepuissant	
100	99	4095128	Voltmachine	
100	101	154984	_Royale	
100	102	328782	lorky	
100	102	172938	kuzmaka	
100	103	1093968	milosMATRIXrepic	
100	110	1436776	BrainSolver	
100	117	2923506	darkhorse64	
100	122	3555371	Rudyweb	
100	122	1968855	ThePurificator	
100	123	1848459	Velcoro	
100	128	2552218	Jakque	
100	134	1039319	pneus84	
100	134	2983004	tazorax	
100	134	2316796	Psio	
100	135	1536780	mlask	
100	136	2069141	tomeko	
100	138	155928	pk	
100	139	194152	progin	
100	139	2874091	5DN1L	
100	143	329200	BlitzProg	
100	145	3958314	NicoDeug	
100	148	4159245	Karhuttaja	
100	150	2842032	dputman	
100	151	1305374	Frankich	
100	155	820000	ValGrowth	
100	157	484031	LeSSeR	
100	158	155881	Hevey	
100	159	3445362	demacus	
100	159	1164825	RapPatz	
100	160	1788613	Gritche07	
100	167	2014007	Louise-Francoise	
100	167	3983017	TLbuis	
100	170	1928963	So-.	
100	171	3465335	nQ	
100	174	1540343	chernovig	
100	176	3647844	rc95401	
100	176	1179950	Patorikkuyatta	
100	176	1183510	ixvil	
100	178	3489223	KarloHubai	
100	182	1501006	byFd	
100	183	4284234	rOjOr	
100	184	3855753	tuan91	
100	184	4083405	jzen	
100	187	2371389	Franta	
100	189	4511629	choval	
100	190	304126	kami	
100	191	153057	PierralF	
100	191	317861	lordgun	
100	192	1050421	geppoz	
100	197	2887878	Brodalee	
100	199	3305510	TBali	
100	201	2094979	Mike_One	
100	203	2762653	RAAAT	
100	203	3882165	FredCirius	
100	203	3959613	Hesode	
100	203	3918679	CeBe	
100	205	3646346	Pingwi85	
100	206	3872108	TD1334	
100	207	1479137	lorenzods	
100	209	1858926	CedCannes	
100	210	1474532	madri2	
100	210	1035630	Vestiaz	
100	211	3297481	Wabbitseason	
100	211	2786666	TetraktysPhi	
100	211	351062	Neumann	
100	211	3514975	Phurinat	
100	212	2043908	AntiSquid	
100	212	1077559	PhOeNyX	
100	212	154806	piwai	
100	212	2942620	Asakeq1	
100	214	2783687	AdrienLopez	
100	214	4225028	acirtautas	
100	216	3425773	webmamba	
100	220	3427358	Cc3a9dric	
100	220	2566623	VincentBab	
100	222	4106688	LovePou	
100	226	992329	BeeGee	
100	233	3896228	Boruwaka	
100	234	4283515	FrancoisBaveye	
100	239	1854639	iDxMeG	
100	244	3635309	AurelieFo	
100	245	629452	H423	
100	248	282361	charlycoste	
100	249	1629259	Marchete	
100	250	3307730	takotak	
100	250	4351037	mirekan	
100	250	4456194	Kershoc	
100	251	4115833	Mohamed_Kharrat	
100	251	2643294	L_hermythe	
100	253	1782005	AlexW	
100	259	153823	Captainseb	
100	267	155864	ChabalS	
100	271	847335	ralfaxl	
100	272	155896	gamoul	
100	275	3586725	obrozer	
100	276	495730	Philoupe	
100	287	3679709	grivalan	
100	292	904197	Lucram	
100	293	2637320	villfa	
100	300	1011080	LGeorgiev	
100	300	3373803	Fanfoi125	
100	305	1272578	Astrea	
100	310	399861	Srekcud	
100	311	3056251	CaptainBob	
100	314	3586331	Agito666	
100	314	2578283	robin79	
100	327	3808031	_proton	
100	330	4187844	g74o	
100	339	1376795	jguihard	
100	353	4626700	JohnyDarecek	
100	362	1412263	PatrickMcGinnisII	
100	364	3105214	Asg91	
100	370	4057501	ppeter	
100	376	3623990	Bernau	
100	380	3921133	Tetelle	
100	384	3979061	RamyH	
100	384	153489	Auncly	
100	386	4114857	PV.form	
100	390	153888	vinuoza	
100	399	3643870	Rakwes	
100	406	4415076	Kasija	
100	419	3937392	Willy-tec	
100	438	1723138	Frank_Sinatra	
100	445	3427958	xeon235	
100	451	2631176	Sedera	
100	483	3303979	DavidBinaud	
100	523	874507	SebastienXD	
100	526	3783180	Ferus	
100	570	4440854	Chaissac	
100	580	4107216	fripas	
100	589	2725588	StarterCoder	
100	604	4130049	JoshuaHernandez1	
100	631	2633560	Sunitrams	
100	640	3009901	Octopush	
100	688	1232651	Gecko404	
100	697	3440280	DawidDebinski	
100	705	4065533	GuillaumeSLD	
100	764	1640884	Edhanos	
100	765	2387233	SinOfWrath	
100	805	4205194	fminh	
100	814	3750809	AbiusX	
100	825	2332475	saguaro80	
100	828	1382042	colin2K	
100	873	1783118	Flowmaster	
100	884	990567	Lubor	
100	980	4418444	PtiteA2	
100	1020	3897590	Paaf	
100	1045	3074893	ERFUN	
100	1092	3688018	juangaca95	
100	1119	3938457	Chris-Prime	
100	1180	3558337	atome	
100	1276	3611548		
100	1362	2695791	abdessalemgh	
100	1371	4158879	Pampelmousse	
100	1885	1979380	beatwinthewave	
55	143	3513265	DaNinja	
44	252	1434004	maxbatura	
44	1335	1879032	mezlini	
33	979	3135677	mohamed25	
0	119	1390607	Ivan_Derzhylo	
0	336	3388033	JuLeS	
0	336	3991949	samrin	
0	336	4223643		
0	337	2710997	abisdev	
