Comp.	Score	UserID	Pseudo	#golf,count=22,time=2021-08-13 01:16:03
100	100	1537792	AsaiYusuke	
100	122	3354337	Westicles	
100	131	2928146	LolCat	
100	162	155774	dwarfie	
100	163	1848459	Velcoro	
100	166	1654818	tarapitha	
100	206	2315158	luigi_gelato	
100	210	2288263	dbdr	
100	221	3509975	bneumann	
100	222	4095799	circular17	
100	246	828239	[SG]Bisou	
100	255	2353603	MrSok	
100	261	1931039	MooMooN	
100	314	2786666	TetraktysPhi	
100	393	2290633	field3	
100	395	3305510	TBali	
100	873	1740037	ereiam	
100	1503	3309767	DualisT	
100	2235	324452	wishknew	
0	0	3968399	dormeur2009	
0	113	3845610	pardouin	
0	162	1629259	Marchete	
