Comp.	Score	UserID	Pseudo	#golf,count=88,time=2022-09-27 01:09:57
100	62	2288263	dbdr	
100	62	1654818	tarapitha	
100	64	2928146	LolCat	
100	66	1537792	AsaiYusuke	
100	68	155774	dwarfie	
100	69	3845610	pardouin	
100	71	1848459	Velcoro	
100	75	2178794	Unihedron	
100	75	4538788	AlecMan	
100	75	4341304	Remi.	
100	76	334009	abouvier	
100	76	805067	Magus	
100	76	4095128	Voltmachine	
100	76	2416641	Zenoscave	
100	78	973040	papyjo	
100	78	5011615	Kyran1212	
100	79	709490	Sinlepuissant	
100	79	2584779	quirck	
100	80	1896273	Coyin	
100	80	3913376	LaurentValade	
100	82	4122723	Hydrazer	
100	84	230015	Kolo9	
100	84	1324974	ViktorCs	
100	84	4166555	Natanalel	
100	84	4301151	ChiefChippy2	
100	85	1178276	Jerome_95	
100	88	154984	_Royale	
100	88	1629259	Marchete	
100	88	2874091	5DN1L	
100	89	4216789	Saur2000	
100	89	3779295	xxd	
100	90	4438505	[CUBE]	
100	91	964169	ivanoff.org.ua	
100	93	1991984	MicheL	
100	94	3354337	Westicles	
100	94	4487490	cnk_gr	
100	95	886483	R4N4R4M4	
100	95	854169	Silmaen	
100	95	1307473	Evgenykz	
100	95	953094	Witman	
100	95	3358736	BuluBulu27	
100	95	4420742	Mortis_666	
100	96	154806	piwai	
100	96	1179950	Patorikkuyatta	
100	96	3647844	rc95401	
100	97	3514975	PhuRiNaT	
100	98	1968855	ThePurificator	
100	98	2923506	darkhorse64	
100	101	1414038	sobrom	
100	101	1436776	BrainSolver	
100	101	1398160	abcde123	
100	102	802230	Orabig	
100	102	962495	eboot	
100	103	1336464	magaiti	
100	104	3594074	jopo	
100	107	820840	LazyShpee	
100	109	2786666	TetraktysPhi	
100	109	4155983	o0lit3	
100	110	4687360	thomas.schuerger	
100	115	4193469	yannick-t	
100	115	3532429	Skyf0l	
100	116	1854246	Counterbalance	
100	119	3165536	barbora	
100	120	1418821	input.txt	
100	120	1484839	sparky	
100	122	1938265	ANONYMOUS42	
100	125	2325449	otpv	
100	135	194094	Kvirund	
100	138	2108042	PurpleDre	
100	147	1162999	Vaekor	
100	152	4677131	zedred	
100	171	3510278	Praetrorian	
100	183	1815463	j000	
100	186	4715387	plaskanna	
100	191	2559690	AlgoPoet	
100	192	3318715	TheSwine	
100	198	2290633	field3	
100	213	3283415	Bon[]Crayon	
100	219	3514816	PerlHackr	
100	250	2069141	tomeko	
100	275	3305510	TBali	
100	316	3700430	Sandivar	
100	450	1740037	ereiam	
100	537	1383054	Oxame	
44.44444444444444	95	1464932	Tiramon	
44.44444444444444	95	1525831	ntsd	
44.44444444444444	95	3509975	bneumann	
44.44444444444444	95	2315158	luigi_gelato	
