Comp.	Score	UserID	Pseudo	#golf,count=239,time=2021-08-12 00:53:08
100	62	2288263	dbdr	
100	64	3845610	pardouin	
100	64	1654818	tarapitha	
100	68	2416641	Zenoscave	
100	72	1537792	AsaiYusuke	
100	72	3354337	Westicles	
100	74	155774	dwarfie	
100	75	2178794	Unihedron	
100	75	805067	Magus	
100	76	953901	MathieuMahe	
100	80	4095128	Voltmachine	
100	81	1193408	DoubleZeroSteph	
100	81	3893564	Andriamanitra	
100	81	4263196	gilufin	
100	82	334009	abouvier	
100	82	2928146	LolCat	
100	82	806416	awnion	
100	83	3741606	JampperX	
100	83	1353795	TheCrucial	
100	85	1515891	ndc	
100	85	973040	papyjo	
100	85	4076210	magurofly	
100	86	2923506	darkhorse64	
100	86	3740142	EliteDaMyth	
100	87	3808031	_proton	
100	87	685049	JoshCheek	
100	87	4095799	circular17	
100	88	2407700	adoxography	
100	88	440476	yowa	
100	88	1540478	struct	
100	88	3703485	anter69	
100	89	709490	Sinlepuissant	
100	89	1865617	StepanSmirnov	
100	89	1938265	ANONYMOUS42	
100	90	1436776	BrainSolver	
100	90	1299811	bin0m	
100	90	3982709	lukasjapan	
100	90	1566335	BeardedWhale	
100	91	1473017	justhalf	
100	91	1321075	ugur	
100	92	4166555	Natanalel	
100	93	1001096	MyIIone	
100	93	1178276	Jerome_95	
100	93	371603	martin	
100	94	1481673	robymus	
100	94	4056731	Luj8n	
100	94	3335896	_martynas	
100	95	1377377	Klumbe	
100	95	4175338	tawrelkate	
100	95	4110073	souta_1326	
100	95	884874	Zauberer	
100	95	4452683	geneccx	
100	96	893541	wala	
100	97	490905	lechium06_	
100	97	2341447	algmyr	
100	97	4124688	Murat_Eroglu	
100	98	1629259	Marchete	
100	98	2991446	Haksell	
100	99	3859594	Lonesurvivor	
100	99	4186883	Imdone	
100	99	3721214	jrke	
100	99	3981543	DrQuarius	
100	99	173928	lacrosse	
100	100	1038830	rubicon	
100	100	1201783	qsantos	
100	100	2888129	terazoid	
100	100	4154326	montplusa	
100	100	1324974	ViktorCs	
100	101	1853956	yoannk	
100	101	1920520	brady	
100	101	1601572	simkim	
100	101	557990	Wazemo	
100	102	1569823	Niako	
100	102	1351763	gatto	
100	102	3647844	rc95401	
100	102	3792309	schachmatt	
100	103	1076583	olimago	
100	103	2242201	Maryan	
100	103	2786666	TetraktysPhi	
100	103	1390607	Ivan_Derzhylo	
100	103	3622757	anid	
100	103	862919	Astrobytes	
100	103	1880197	bicklil	
100	103	3358736	BuluBulu27	
100	103	2230279	TheXeos	
100	103	1179950	Patorikkuyatta	
100	103	4247237	ChiliCheese	
100	103	3657275	jujurocking	
100	103	4116084	grahamcracker1234	
100	104	953094	Witman	
100	104	460515	ogi	
100	105	3902591	hhdhwuus	
100	105	3397479	XorZy	
100	105	4072753	mdstoy	
100	106	962569	[K]Gabor	
100	106	3866090	Creuz	
100	106	1156852	CoolStoryBro	
100	107	3564009	Waffle3z	
100	107	2532837	fauresebast	
100	108	4038295	RamanShakya	
100	108	1096683	BuonOmo	
100	109	1848459	Velcoro	
100	109	4091573	Draagon	
100	109	2490008	ebicochineal	
100	110	3971358	OldJohn	
100	112	1740037	ereiam	
100	112	482445	BogdanSavchenko	
100	112	3197648	Arcelmi	
100	112	3714012	Cyphomax	
100	112	2924895	trictrac	
100	112	2508635	hemhel	
100	112	4194801	jdeveil	
100	112	4330025	wyenat	
100	112	3973359	KAbel	
