Comp.	Score	UserID	Pseudo	#golf,count=35,time=2021-08-23 00:30:56
100	148	1848459	Velcoro	
100	148	4095128	Voltmachine	
100	149	3354337	Westicles	
100	150	709490	Sinlepuissant	
100	190	2288263	dbdr	
100	194	1436776	BrainSolver	
100	200	1654818	tarapitha	
100	206	1001096	MyIIone	
100	229	155774	dwarfie	
100	235	3918583	mikmak	
100	244	4060994	3030	
100	262	4440113	Blazde	
100	285	1630890	Wld	
100	287	2546042	Badewanne3	
100	297	1179950	Patorikkuyatta	
100	303	3596407	Armageddon1337	
100	307	2290633	field3	
100	337	1514899	Wcubed	
100	345	1684030	Mator	
100	346	817627	geot	
100	359	1861258	Nazdhun	
100	368	2786666	TetraktysPhi	
100	371	2172874	Med1ane	
100	388	974533	Brwa	
100	402	806416	awnion	
100	430	2538423	jihele	
100	553	3305510	TBali	
100	570	1554782	ExPixel	
100	602	4334077	Paul_Demanze	
100	1202	841238	Rustam	
100	1216	4155398	Bibobu	
100	1315	1472747	GrSpirit	
100	1601	3291305	Fairax	
100	1683	2533716	Jensim	
0	201	1629259	Marchete	
