Comp.	Score	UserID	Pseudo	#golf,count=97,time=2021-09-14 00:30:56
100	79	3380184	chouch	
100	81	1675034	francois	
100	82	3845610	pardouin	
100	82	2288263	dbdr	
100	87	2315158	luigi_gelato	
100	100	3918583	mikmak	
100	103	1399382	Regulus136	
100	106	3354337	Westicles	
100	110	153964	Zanng	
100	116	1654818	tarapitha	
100	116	155774	dwarfie	
100	121	1845617	Shingy	
100	121	940791	Kris117	
100	123	481564	mihei	
100	123	2320995	Photon_	
100	127	1045485	Jessie	
100	129	1436776	BrainSolver	
100	131	3230794	tutubalin	
100	136	2923506	darkhorse64	
100	141	4124688	Murat_Eroglu	
100	144	1095153	SimonPhoenix	
100	152	2371389	Franta	
100	153	1713849	Bugs_everywhere	
100	153	3514975	Phurinat	
100	154	4156154	issogood	
100	155	975057	LeoTigers	
100	158	1629259	Marchete	
100	159	1515891	ndc	
100	161	3380514	DFrese	
100	161	3808031	_proton	
100	161	2641712	Scarlatine	
100	163	2622559	Gripnil	
100	163	3660819	BloodyTurtles	
100	165	4300969	thomasgonda3	
100	166	1441239	Dyd	
100	169	154806	piwai	
100	170	893541	wala	
100	171	1017388	lavavrik	
100	171	2688381	willf80	
100	171	4100825	ablin42	
100	172	1861852	Cramer	
100	174	1050421	geppoz	
100	174	4083405	jzen	
100	176	3651809	NicknameRequired	
100	177	1179950	Patorikkuyatta	
100	179	1527403	Di_Masta	
100	181	3922731	Dartisan	
100	181	1034690	Wazzard34	
100	182	3430773	tax16	
100	182	4072753	mdstoy	
100	184	4358721	Pranav_C	
100	191	2769452	TheBjB	
100	196	1740037	ereiam	
100	198	3531488	Dryadim	
100	200	3517779	flo5589	
100	203	2290633	field3	
100	205	3902628	Kinhira	
100	226	3397526	rantT_	
100	233	3305510	TBali	
100	239	2786666	TetraktysPhi	
100	239	1306429	Neckers	
100	242	3818428	kalamari	
100	244	1155071	Khdoop	
100	245	3869618	tsds	
100	254	3904675	ggolfz	
100	271	371603	martin	
100	284	4011783	sylbouns	
100	286	1466631	Akrib	
100	288	3692144	DigiBytes	
100	300	1984345	CedricHerzog	
100	336	165671	cyppan	
100	342	907766	woodlander87	
100	344	4053362	Johan_Braanen	
100	371	3967220	ArturSkrobisz	
100	402	4013407	Amellll	
100	435	2043908	AntiSquid	
100	534	3627422	Noxyss	
100	553	1130957	Sokehur	
100	626	954711	P87	
100	678	4018953	zTTK	
100	712	4005812	matthijssm	
100	727	3575624	mpoo	
100	821	2411213	Toto34070	
100	844	4014906	srib	
100	862	820000	ValGrowth	
100	919	1531138	maxsoulard	
100	968	3714676	csabe812	
100	1002	1068137	haegemonia76	
100	1128	4225953	ramyferjani	
100	1139	3646829	pigm0	
100	1353	4276681	mixa3000	
100	1719	4122626	mzapp16	
100	1978	2638326	__camilosanchez	
88	632	3679347	GMVER	
33	1090	4215641	Andi1	
0	180	4124401	emrah_akc	
0	243	1848459	Velcoro	
