Comp.	Score	UserID	Pseudo	#golf,count=36,time=2021-12-26 00:35:41
100	147	3354337	Mrs.GloriaZindlebocker	
100	148	1848459	Velcoro	
100	179	2874091	5DN1L	
100	180	2288263	dbdr	
100	183	481564	mihei	
100	184	3845610	pardouin	
100	185	1654818	tarapitha	
100	194	4341304	Remi.	
100	196	3489223	KarloHubai	
100	206	4095799	circular17	
100	216	155774	dwarfie	
100	227	1436776	BrainSolver	
100	230	155881	Hevey	
100	239	3855258	Starfighter	
100	250	2290633	field3	
100	275	1441239	Dyd	
100	290	3207649	ares72	
100	299	828239	[SG]Bisou	
100	334	4003601	Mathieu1988	
100	340	3028864	lorcQc	
100	349	3305510	TBali	
100	429	1258422	memelo1	
100	444	1466631	Akrib	
100	469	1880319	WildSmilodon	
100	566	1740037	ereiam	
100	596	4334077	Paul_Demanze	
100	898	760921	Skleroz	
100	1894	4201926	Vic147	
100	2316	1602758	RhOtD	
0	0	3968399	dormeur2009	
0	146	334009	abouvier	
0	183	1629259	Marchete	
0	230	2069141	tomeko	
0	262	2786666	TetraktysPhi	
0	512	2490008	ebicochineal	
0	1412	1670035	vorbeiei	
