Comp.	Score	UserID	Pseudo	#golf,count=915,time=2021-10-20 00:30:35
100	143	155774	dwarfie	
100	147	371603	martin	
100	152	995896	Ro9	
100	160	1039809	Azziliz	
100	164	3354337	Westicles	
100	169	1845617	Shingy	
100	173	1477622	zrdon	
100	176	2288263	dbdr	
100	177	1654818	tarapitha	
100	178	553938	MagAlex	
100	178	1515891	ndc	
100	186	848989	revever	
100	194	2923506	darkhorse64	
100	198	1567943	LazyMammal	
100	200	403748	[CG]SaiksyApo	
100	201	886483	R4N4R4M4	
100	205	557990	Wazemo	
100	209	1188212	superredlark	
100	211	1130993	Azaria	
100	214	1740037	ereiam	
100	214	1436776	BrainSolver	
100	220	351062	Neumann	
100	222	4338330	0Ph	
100	230	1485989	ReActiveNZ	
100	232	3937902	Vectoribus	
100	232	3947806	Kr4unos	
100	240	1399382	Regulus136	
100	242	155887	BanBan	
100	244	3235897	Zylo	
100	252	2786666	TetraktysPhi	
100	254	3337790	gitbeginer	
100	257	2573097	tomas2342	
100	259	1093968	milosMATRIXrepic	
100	265	1357696	bappy	
100	265	1361362	Spoyl	
100	267	1143498	moerketh	
100	270	481564	mihei	
100	271	1398801	GuilhemPeralta	
100	274	1495491	[Random]-J3ff3z	
100	284	4243419	Scoolnik	
100	294	4046903	Matt_Eagle	
100	295	1119570	VladimirMoldovan	
100	297	1470423	RubyStone	
100	297	1045485	Jessie	
100	298	1922227	Gwiomi	
100	301	4239399	b18a9n	
100	303	1371221	JacobMarner	
100	304	4291659	RemiJamous	
100	305	1003026	Tolgor	
100	306	1052271	Bleash	
100	308	2724981	Majeck	
100	309	1962401	Mackhdo	
100	310	4487490	cnk_gr	
100	312	4084120	jake11	
100	314	1504379	Moonshine	
100	318	704875	XaY	
100	318	992329	BeeGee	
100	318	1525821	Jeroo	
100	319	1724524	Duaner	
100	321	225875	leff	
100	321	3919237	Quick_Kick	
100	322	4341304	Remi.	
100	323	552776	player_one	
100	323	4060994	3030	
100	324	1179950	Patorikkuyatta	
100	325	912971	Amousy	
100	325	1352572	niku-live	
100	326	1131084	pmod	
100	326	4456275	giawa	
100	327	4011783	sylbouns	
100	327	3647844	rc95401	
100	329	1305374	Frankich	
100	329	1301401	Stanax	
100	330	812407	Mist	
100	330	508085	CoachPRGM	
100	331	2069141	tomeko	
100	332	828239	[SG]Bisou	
100	332	4104662	cf76	
100	333	1600779	AustinSpafford	
100	333	2874091	5DN1L	
100	334	805067	Magus	
100	334	3738782	Inaniwa	
100	335	2550213	hogehoge	
100	335	4301050	SamTheSomebody	
100	336	1838549	orangesnowfox	
100	336	839539	madCasper	
100	337	1069502	Biff_Stu	
100	337	2713608	LostSymphony	
100	341	1068877	[CPC]Tamno	
100	341	1798013	Galdarian	
100	342	962685	zdaraveak	
100	342	1243231	jcmyers	
100	342	173522	TeddyS	
100	344	1483723	d-s-x	
100	345	992765	Walkalot	
100	345	4496623	npkt	
100	346	3489223	KarloHubai	
100	349	3622757	anid	
100	350	1394130	remio	
100	351	1660430	Wolve	
100	351	1132011	pci	
100	352	893177	Rebelwillow	
100	354	735910	Agade	
100	354	1599292	shinesoul	
100	354	1497386	Kamui	
100	355	1742498	Wox	
100	355	1579627	Bahrani	
100	356	1480886	V4nDr4v3n	
100	357	3533314	skotz	
100	358	1502298	skargg	
100	358	1720510	DeanTheMachine	
100	359	1906044	Tribar	
100	359	1855354	KiwiTae	
100	361	1390095	profiler	
100	362	686759	zeeman4u	
100	362	1360294	otk	
100	362	3801079	jokovitch	
100	365	1792532	Zanbez	
100	366	3030691	StuartIsAWoppen	
100	367	1506280	TwoLate	
100	368	1212664	IarChe	
100	368	2375283	VirusX	
100	369	1047991	MandM	
100	370	1016398	Jar	
100	370	475134	AgathokakologicalBit	
100	371	1770280	Maxboyer	
100	372	606225	Enygma	
100	372	4447108	MonkeyFeathers	
100	373	1078154	JDuke	
100	373	862819	Umbakrail	
100	374	1327415	TarasPetruk	
100	375	825167	Forsaken	
100	376	1840808	exastion	
100	376	3506325	BashkirWitcher	
100	379	995101	gomeZZZ	
