Comp.	Score	UserID	Pseudo	#golf,count=1284,time=2022-07-13 01:06:25
100	79	2288263	dbdr	
100	80	4341304	Remi.	
100	83	3845610	pardouin	
100	88	334009	abouvier	
100	90	3354337	Westicles	
100	96	154372	Plopx	
100	97	155774	dwarfie	
100	98	2928146	LolCat	
100	103	1654818	tarapitha	
100	111	371603	martin	
100	121	1537792	AsaiYusuke	
100	123	2315158	luigi_gelato	
100	123	2923506	darkhorse64	
100	124	1845617	Shingy	
100	130	3918583	mikmak	
100	134	1858764	vdevid	
100	137	1436776	BrainSolver	
100	141	272290	Clement0635	
100	146	848989	revever	
100	147	992329	BeeGee	
100	148	1848459	Velcoro	
100	151	4095128	Voltmachine	
100	156	886483	R4N4R4M4	
100	157	2490008	ebicochineal	
100	163	1399382	Regulus136	
100	163	3235897	Zylo	
100	166	963187		
100	166	709490	Sinlepuissant	
100	167	530441	Prime541	
100	167	1485015	Murky	
100	168	1903031	hard-coded	
100	168	1567943	LazyMammal	
100	169	963147	Scythianos	
100	170	1156554	Tuna	
100	171	4512635	nick552	
100	172	979100	TM	
100	173	1342745	Catiminie	
100	173	1489068	Subby_	
100	173	629655	Wolden-Dans	
100	173	1339675	SR4	
100	173	1039456	nikokolas	
100	173	1702558	MCube	
100	174	1498755	Nyvis	
100	174	1411649	Levatol	
100	174	1838549	orangesnowfox	
100	175	1158405	KolbasniyVeter	
100	175	3939443	Lafihalas	
100	175	1045485	Jessie	
100	176	2355697	Cross22	
100	178	925695	Boulet	
100	178	668954	Fluxor	
100	178	3741524	princess_of_zeal	
100	178	3532429	Skyf0l	
100	179	588426	Jeff06	
100	181	1176500	Minwene	
100	181	2348277	PavelKonkov	
100	181	518108	Elijan9	
100	181	1759335	metahom	
100	182	2438514	davi_bart	
100	182	4110073	souta_1326	
100	183	1701043	Qnu	
100	184	153656	Chris	
100	184	3429968	Dramstragoran	
100	184	2242201	Maryan	
100	184	4372857	Sirios	
100	185	154806	piwai	
100	186	2858320	Loule	
100	186	416894	MeDev	
100	187	828213	anst	
100	187	1766830	Vani2777	
100	187	3293190	lhm	
100	187	3724738	BoatBuilder	
100	188	1132076	Ming	
100	188	1358627	Aleix	
100	188	910455	Hatsum	
100	188	4198922	marik_girl	
100	188	4512488	csKingBabar	
100	188	2675754	CaptainGreen	
100	188	2874091	5DN1L	
100	189	953094	Witman	
100	189	3337790	gitbeginer	
100	189	2371389	Franta	
100	190	861178	siggisv	
100	190	762642	Wonyoung	
100	190	3256989	rizant	
100	191	464971	PsyGuy66	
100	191	1740037	ereiam	
100	192	1903920	SATI_OTI	
100	192	1826849	Geplik	
100	192	4120837	philipplenk	
100	192	3763923	nforay	
100	193	2243561	RZSenfo	
100	193	2962968	Pukunya	
100	193	1427341	Kemosabe-TBC	
100	194	1050490	Snark_Chaser	
100	194	3594074	jopo	
100	194	734401	b0n5a1	
100	195	968971	Judit	
100	195	3962423	Shagar	
100	195	4270882	[ron]	
100	195	1360516	chym	
100	195	2786804	Evilkeeper	
100	196	1029251	Simon5	
