Comp.	Score	UserID	Pseudo	#golf,count=594,time=2022-05-19 00:54:44
100	58	3845610	pardouin	
100	59	2288263	dbdr	
100	60	4341304	Remi.	
100	68	334009	abouvier	
100	70	3354337	Westicles	
100	73	4420742	Mortis_666	
100	78	154372	Plopx	
100	79	2928146	LolCat	
100	80	155774	dwarfie	
100	90	600941	mrv	
100	90	1001096	MyIIone	
100	90	1654818	tarapitha	
100	91	557990	Wazemo	
100	92	371603	martin	
100	102	553938	MagAlex	
100	102	2923506	darkhorse64	
100	103	1301401	Stanax	
100	104	1537792	AsaiYusuke	
100	105	2315158	luigi_gelato	
100	106	1845617	Shingy	
100	109	1858764	vdevid	
100	113	3918583	mikmak	
100	114	1968855	ThePurificator	
100	115	2096336	SAINT_LAURENT	
100	118	1436776	BrainSolver	
100	119	2051278	GuillaumeK	
100	121	272290	Clement0635	
100	124	199767	sam	
100	127	162661	Doraj	
100	128	886483	R4N4R4M4	
100	129	1848459	Velcoro	
100	130	992329	BeeGee	
100	133	1487168	FatIvan	
100	134	2554628	ckibibi	
100	137	4095128	Voltmachine	
100	138	4380134	Blatnik	
100	140	1759335	metahom	
100	140	2490008	ebicochineal	
100	146	949302	paweu	
100	147	3235897	Zylo	
100	148	1072200	alze	
100	148	709490	Sinlepuissant	
100	149	2151440	reminot	
100	151	1188212	superredlark	
100	151	2096266	southzz	
100	151	2311105	kovi	
100	151	1399382	Regulus136	
100	151	4526264	cly	
100	152	828213	anst	
100	152	1690738	bilut	
100	153	1234259	digit_ro	
100	156	512097	Stilgart	
100	157	962495	eboot	
100	158	153716	kp	
100	158	4305940	Jano42	
100	160	351062	Neumann	
100	160	3532429	Skyf0l	
100	161	1567943	LazyMammal	
100	164	1272564	Raspberry4all	
100	164	1257796	Oygron	
100	165	3722889	Lafytt	
100	166	999637	dinobogan	
100	167	1010993	Hurrikhan	
100	167	1701043	Qnu	
100	167	1485690	Kikoo	
100	167	2887277	AstorBizard	
100	168	953094	Witman	
100	169	1538884	twasilczyk	
100	170	861178	siggisv	
100	170	1360516	chym	
100	172	841085	Risen	
100	172	1854246	Counterbalance	
100	172	4620106	lonequantum	
100	173	1154122	ZeboDino	
100	173	518108	Elijan9	
100	174	1019233	imightbewrong	
100	176	155928	pk	
100	176	1411649	Levatol	
100	176	2253931	Flow_Grisu	
100	176	277758	Duffy	
100	177	530441	Prime541	
100	178	1630178	ulrikdem	
100	179	481564	mihei	
100	180	3741524	princess_of_zeal	
100	181	1838549	orangesnowfox	
100	181	961481	Henrique	
100	181	4756200	tueda	
100	182	887067	~ethiery	
100	182	735910	Agade	
100	182	1201796	P.Greze	
100	182	1654458	thirstycrow	
100	182	3337790	gitbeginer	
100	182	2874091	5DN1L	
100	183	1211531	ciaojian	
100	183	1619211	Tolomei	
100	183	1336464	magaiti	
100	183	154504	Harenome	
100	183	884874	Zauberer	
100	185	1348621	sephi	
100	185	1903031	hard-coded	
100	185	1506280	TwoLate	
100	185	1183122	ath	
100	185	668954	Fluxor	
100	185	3478926	Alexis.D	
100	186	1671658	Kirbiby	
100	186	3594074	jopo	
100	187	953901	MathieuMahe	
100	187	154806	piwai	
100	187	4270882	[ron]	
100	188	925695	Boulet	
100	188	2242201	Maryan	
100	189	218189	[CG]Maxime	
100	189	1720537	Vergil888823	
100	189	1158405	KolbasniyVeter	
100	189	3655894	TheHammerBro	
100	190	1166365	Julien.B	
100	190	762642	Wonyoung	
100	190	2139722	AHD267	
100	190	4714305	Aki1020	
100	191	4154326	montplusa	
100	192	2718975	mykeich	
100	192	734401	b0n5a1	
100	193	2371389	Franta	
100	194	799904	iwashi31	
100	194	1822346	Arcaseus	
100	194	1421071	Saturne	
100	195	4027292	rmait	
100	195	1952778	blast_beat	
100	195	2897370	NickyKit	
100	196	1013757	RikyM	
100	196	1599292	shinesoul	
100	196	2550213	hogehoge	
100	196	1726600	Patate	
100	196	3797273	Pepito63	
100	196	1457223	jleconte	
100	197	154354	Fougere	
100	197	3921345	JFP81	
100	198	2479417	Papa94	
100	198	2135916	Oioi	
100	198	4093262	Lukas_r1	
100	198	2641712	Scarlatine	
100	198	3650481	m-naim	
100	198	3516345	Jp82	
100	199	912943	bat_ventzi	
100	199	935802	Jerhyn	
100	199	1194054	Bidembois	
100	199	2176877	pasymows	
100	199	4076409	Melarion	
100	199	1136521	nadrek	
100	199	334434	Rajh	
100	199	182536	dbo	
100	199	1132011	pci	
100	200	889789	Alain-Delpuch	
100	200	1309296	MicheleCeccanti	
100	200	1525955	armandassss	
100	200	1207939	Senua	
100	200	1059313	_SERGE_	
100	200	4275624	UnknownException	
100	200	1323814	Wildcat-SC	
100	200	4315171	Soucis	
100	201	1273475	Charles-Elie.Taupin	
100	201	3770928	ku-haku	
100	201	1939310	MasterOf_	
100	202	2713608	LostSymphony	
100	202	2924895	trictrac	
100	203	1404292	PawelK	
100	203	3960770	AndorM	
100	204	1081960	ninja	
100	204	3789595	jgmp	
100	206	1712214	_CP	
100	207	943556	DollarAkshay	
100	207	404560	Uquu	
100	207	4252924	mike82	
100	208	952284	Copro	
100	208	462411	Zgioh	
100	208	706692	alexhap	
100	208	1913602	Aziraal	
100	208	717196	NWDD	
100	208	1073247	_NikJ	
100	210	1631057	Pask	
100	212	965650	abrl	
100	212	3808031	_proton	
100	212	1788623	knarfw	
100	213	464971	PsyGuy66	
100	213	963687	shiona	
100	213	1938265	ANONYMOUS42	
100	214	2069141	tomeko	
100	214	829018	alchemsti	
100	215	893598	tjandra	
100	215	2252598	TheMerciless	
100	216	854169	Silmaen	
100	216	3913376	LaurentValade	
100	218	414563	Sakarah	
100	218	1782559	ribensan	
100	218	862919	Astrobytes	
100	219	1028759	Erwan	
100	219	1179950	Patorikkuyatta	
100	219	4334077	Paul_Demanze	
100	219	3723101	Lilac_Tsuki	
100	219	3591336	Chop95	
100	219	4661927	SatchShred	
100	220	153674	GQMP	
100	220	924546	tenpercent	
100	220	2427577	pink-rg	
100	220	3647844	rc95401	
100	221	365796	CvxFous	
100	221	1803811	TabascoEye	
100	221	4072753	mdstoy	
100	222	1828329	Speedphoenix	
100	222	3256989	rizant	
100	223	919703	TheShadowX	
100	223	1408492	Ptit-g	
100	223	1549217	HaXxX	
100	224	1846419	XavM	
100	224	818780	bbodin01	
100	225	963038	Sleeperson	
100	225	1854731	Solringen	
100	226	4050765	Traquila	
100	226	4290907	janm31415	
100	227	409221	JohnGresham	
100	227	1006538	Boldo	
100	227	1667366	Rasky	
100	228	3750700	VulpesCorsac	
100	228	3938500	evanforCodin	
100	228	3563934	ChuckTheNinja	
100	229	820000	ValGrowth	
100	230	966423	Godzil	
100	230	1070566	Kodnot	
100	230	1851011	MaxBack	
100	230	3305510	TBali	
100	231	964475	SBO	
100	231	1001167	ASd-	
100	231	1740037	ereiam	
100	231	4277867	About	
100	232	2093490	paul.cabanes	
100	233	1501735	bernardlavilliers	
100	234	833299	egbert	
100	234	301236	Migermain	
100	234	4230724	SefioR13	
100	235	1686775	blionk	
100	235	2165068	caerbannog	
100	235	828239	[SG]Bisou	
100	236	899606	ileonte	
100	236	877133	enygmata	
100	236	1167805	JustinasR.	
100	236	3630308	Ragest	
100	236	3971358	OldJohn	
100	236	4083405	jzen	
100	237	915957	Tux	
100	237	4038295	rmnShk	
100	239	1061488	FlagadaJones	
100	240	552776	player_one	
100	240	1691246	L.	
100	240	2786666	TetraktysPhi	
100	240	4447108	MonkeyFeathers	
100	241	2377210	mrBen	
100	242	1229845	Jipe	
100	242	2858335	pac-nam	
100	243	505511	int33h	
100	243	2387233	SinOfWrath	
