Comp.	Score	UserID	Pseudo	#golf,count=39,time=2022-10-14 00:30:40
100	144	3845610	pardouin	
100	152	2288263	dbdr	
100	156	1654818	tarapitha	
100	178	3354337	Westicles	
100	178	4341304	Remi.	
100	202	2874091	5DN1L	
100	221	1848459	Velcoro	
100	268	1518504	bohuss	
100	276	1093968	milosMATRIXrepic	
100	281	1644349		
100	331	577069	tvb999	
100	336	1740037	ereiam	
100	339	982970	SrijayanthSridhar	
100	342	155774	dwarfie	
100	365	1788623	knarfw	
100	367	464006	Ryugate	
100	391	1460590	motor4ik	
100	428	805067	Magus	
100	527	3305510	TBali	
100	535	662989	Ascott	
100	2977	1323814	Wildcat-SC	
100	3289	154984	_Royale	
28.6	1233	2069141	tomeko	
0	191	371603	martin	
0	198	553938	MagAlex	
0	239	1219570	Torleif	
0	246	1188212	superredlark	
0	249	1160519	Anvil	
0	262	886483	R4N4R4M4	
0	282	2158902	Snowbart	
0	289	1111156	Heero	
0	291	1893356	Marben	
0	297	1592894	maxagaze	
0	305	512097	Stilgart	
0	331	1166365	Julien.B	
0	340	952284	Copro	
0	342	735910	Agade	
0	493	626535	Halasimov	
0	1326	1739004	SovietDella	
