Comp.	Score	UserID	Pseudo	#golf,count=49,time=2021-08-25 00:35:56
100	142	2288263	dbdr	
100	163	3354337	Westicles	
100	250	1848459	Velcoro	
100	268	2202771	Kaplone	
100	286	1740037	ereiam	
0	0	996606	Indy	
0	0	3845610	pardouin	
0	131	1654818	tarapitha	
0	132	371603	martin	
0	143	553938	MagAlex	
0	158	557990	Wazemo	
0	198	218189	[CG]Maxime	
0	198	1130993	Azaria	
0	199	403748	[CG]SaiksyApo	
0	202	886483	R4N4R4M4	
0	204	1629259	Marchete	
0	240	3869618	tsds	
0	255	992329	BeeGee	
0	265	154806	piwai	
0	268	505511	int33h	
0	269	2713608	LostSymphony	
0	282	2069141	tomeko	
0	294	1920644	Skygge	
0	311	1854639	iDxMeG	
0	313	828239	[SG]Bisou	
0	319	3922731	Dartisan	
0	354	3808031	_proton	
0	356	155774	dwarfie	
0	369	735910	Agade	
0	395	2786666	TetraktysPhi	
0	401	323895	HannesRammer	
0	437	2290633	field3	
0	460	1657328	Hard_Veur	
0	482	153683	40R15T3	
0	513	3305510	TBali	
0	519	1428084	Mixolyde	
0	606	1188212	superredlark	
0	619	1017944	Werewolf	
0	657	3626280	Fillan	
0	723	876754	Lemniscate	
0	1182	1077559	PhOeNyX	
0	1655	4326813		
0	1996	921273	GooFy	
0	2082	899761	TJBlackBR	
0	2323	788361	Bob	
0	3069	1323814	Wildcat-SC	
0	3630	154984	_Royale	
0	5703	155856	simovitch	
0	11080	288996	ronlobo	
