Comp.	Score	UserID	Pseudo	#golf,count=48,time=2022-08-26 00:32:46
100	122	1654818	tarapitha	
100	131	371603	martin	
100	134	3354337	Westicles	
100	163	3845610	pardouin	
100	174	553938	MagAlex	
100	189	557990	Wazemo	
100	206	2874091	5DN1L	
100	237	886483	R4N4R4M4	
100	237	1558666	Craxy	
100	272	2661589	LePelicanFushia	
100	280	973040	papyjo	
100	300	1179950	Patorikkuyatta	
100	305	155774	dwarfie	
100	318	2069141	tomeko	
100	320	2923510	ozgur	
100	327	1740037	ereiam	
100	328	1017169	bLasT	
100	336	1083922	LambdaFTW	
100	341	505511	int33h	
100	352	1205098	AlMag	
100	356	4341304	Remi.	
100	357	1981732	MJS	
100	372	3808031	_proton	
100	380	4587710	Smetalka	
100	393	935759	Jason_Down	
100	405	1307473	Evgenykz	
100	432	916452	js	
100	466	957176	MWilliam	
100	466	3305510	TBali	
100	491	4077723	co_test	
100	526	1188212	superredlark	
100	535	826953	Anthyme	
100	599	932385	msmaximuss	
100	998	1077559	PhOeNyX	
100	1089	1788623	knarfw	
100	1418	827757	swoog	
100	1472	977041	lboshuizen	
100	2027	805067	Magus	
100	2147	929483	MagicSam	
100	2260	1022877	MariosK	
100	2569	933135	Marcer	
100	2810	2478361	M4XXE	
100	2981	1323814	Wildcat-SC	
100	3470	154984	_Royale	
0	0	996606	Indy	
0	201	1629259	Marchete	
0	272	1001096	MyIIone	
0	1611	1074858	MietekBrzytwa	
