Comp.	Score	UserID	Pseudo	#golf,count=69,time=2022-11-06 00:30:35
100	100	1654818	tarapitha	
100	100	2928146	LolCat	
100	104	155774	dwarfie	
100	115	1515891	ndc	
100	116	553938	MagAlex	
100	119	557990	Wazemo	
100	135	1178276	Jerome_95	
100	135	3354337	Westicles	
100	137	2315158	luigi_gelato	
100	151	2874091	5DN1L	
100	165	1848459	Velcoro	
100	168	1399382	Regulus136	
100	177	961785	Vick	
100	181	1567943	LazyMammal	
100	192	1339104	Sedo	
100	193	886483	R4N4R4M4	
100	214	1001266	Chamel	
100	224	1939310	MasterOf_	
100	241	885724	Alexil	
100	243	4587710	Smetalka	
100	251	833031	Cookie	
100	261	2290633	field3	
100	270	1231532	Arnaud_63	
100	280	4718620	Hieronymus	
100	332	4471038	nguyen.lam	
100	370	937221	vrampal	
100	373	3305510	TBali	
100	452	830819	johnnyhibiki	
100	784	1077559	PhOeNyX	
100	1212	848302	Voivode	
100	1490	805067	Magus	
100	2698	1323814	Wildcat-SC	
100	3228	154984	_Royale	
85.8	230	1464681	Bit48	
85.8	261	935802	Jerhyn	
85.8	261	3845610	pardouin	
85.7	110	371603	martin	
85.7	192	163013	mcm	
85.7	200	1487392	Razielwar	
85.7	203	169033	Yasser	
85.7	205	2069141	tomeko	
85.7	220	1120620	Cybermaxke	
85.7	247	735910	Agade	
85.7	284	152907	FrMe	
85.7	364	1188212	superredlark	
85.7	513	865806	Chingu	
85.7	795	943907	iga	
85.7	981	1733196	atzy	
85.7	1162	513549	y0p	
85.7	1647	788361	Bob	
71.5	123	1629259	Marchete	
71.5	220	492228	Groszeq	
71.5	298	1036222	Aarnoo	
71.4	178	1765419	Drac	
71.4	190	525795	Badvision	
71.4	190	4048107	SimonPrins	
71.4	1461	1169655	Elendar	
57.2	207	2786666	TetraktysPhi	
57.2	230	1396228	samMcCandless	
57.2	233	600051	jakubbujny	
57.1	127	1740037	ereiam	
57.1	323	278623	GeekTortoise	
57.1	1414	907530	TaMaMhyu	
42.9	204	1854639	iDxMeG	
14.3	255	1753925	Wildcat	
14.3	300	2228298	tiog55	
0	0	996606	Indy	
0	97	2288263	dbdr	
0	144	1864367	Heino	
