Comp.	Score	UserID	Pseudo	#golf,count=69,time=2022-12-31 01:53:06
100	103	2928146	LolCat	
100	113	154372	Plopx	
100	116	1537792	AsaiYusuke	
100	129	334009	abouvier	
100	148	3354337	Westicles	
100	153	1848459	Velcoro	
100	156	709490	Sinlepuissant	
100	188	553938	MagAlex	
100	221	1740037	ereiam	
100	227	3053453	Kalimehtar	
100	229	2874091	5DN1L	
100	235	4688439	Angs	
100	255	153685	damiengif	
100	255	4595779	wmarkham	
100	269	512097	Stilgart	
100	270	2491616	abt8601	
100	277	984854	DKurilo	
100	300	1631172	newmaidumosa	
100	313	512125	Totoro83	
100	320	934381	PolyB	
100	324	1024459	lbm	
100	330	3996096	Sakisan	
100	365	3514975	PhuRiNaT	
100	392	1720868	dvaergiller	
100	404	2317747	ElPsyCongroo2011	
100	409	999596	Schyrsivochter	
100	417	4255901	ARRG	
100	424	847675	RobinHood	
100	435	1123943	RISC	
100	436	159880	Aries	
100	447	849004	Lulu	
100	465	5019533		
100	467	1128868	xax	
100	483	155774	dwarfie	
100	484	908664	zilahia	
100	495	1525392	migorec	
100	509	923398	The_Ghost	
100	510	1654818	tarapitha	
100	520	978329	Neil-Mayhew	
100	528	937556	EricH	
100	569	500534	d.n.s	
100	575	1676432	Barny	
100	577	3808031	_proton	
100	583	1179950	PattoWaGuruDesu	
100	627	518726	nybble41	
100	709	3305510	TBali	
100	744	815677	icetonic	
100	755	1188212	superredlark	
100	1109	864639	PseudoNoise	
100	1290	959199	ssn	
100	1440	660374	nomeata	
100	1473	3420401	Amirabbas	
100	1499	1425182	Dipucian	
100	1565	1509510	LunaticExperimentalist	
100	1923	176977	zag	
100	2019	527695	Lord Prefect	
100	2212	733335	DJNour	
100	2667	1116421	obeltrando	
100	3046	903982	Hurryabit	
100	3175	1323814	Wildcat-SC	
100	3590	154984	_Royale	
100	3771	444709	gomarine	
100	3772	301605	mariusB	
100	4098	390379	rvion	
28.6	1142	2069141	tomeko	
0	120	1629259	Marchete	
0	127	3845610	pardouin	
0	155	557990	Wazemo	
0	1653	965676	Rafbill	
