Comp.	Score	UserID	Pseudo	#golf,count=1260,time=2021-08-07 00:30:31
100	172	154372	Plopx	
100	185	1654818	tarapitha	
100	186	371603	martin	
100	189	155774	dwarfie	
100	202	2315158	luigi_gelato	
100	210	995896	Ro9	
100	212	848989	revever	
100	215	1848459	Velcoro	
100	217	1845617	Shingy	
100	222	705188	Olivier	
100	232	1515891	ndc	
100	235	553938	MagAlex	
100	241	3354337	Westicles	
100	248	1436776	BrainSolver	
100	253	2923506	darkhorse64	
100	254	3235897	Zylo	
100	257	1968855	ThePurificator	
100	262	1740037	ereiam	
100	262	351062	Neumann	
100	268	1629259	Marchete	
100	270	557990	Wazemo	
100	270	403748	[CG]SaiksyApo	
100	279	886483	R4N4R4M4	
100	279	155008	Majavar	
100	281	833606	mattrero	
100	286	3918583	mikmak	
100	287	1178276	Jerome_95	
100	290	1357614	OptiPanda	
100	292	1093968	milosMATRIXrepic	
100	295	511862	Shishu94	
100	296	1714054	Marau	
100	296	1399382	Regulus136	
100	301	1001266	Chamel	
100	301	1687754	cg123	
100	301	1348523	Numb_	
100	301	2408893	jul_dmz	
100	305	835054	mkUltra	
100	305	2436448	FrancoisMeme	
100	305	1045485	Jessie	
100	306	1759335	metahom	
100	307	3855753	tuan91	
100	308	1518983	bertm	
100	309	154984	_Royale	
100	311	1654458	thirstycrow	
100	311	1300254	Escdemon	
100	312	860239	Neilura	
100	312	2077458	Ragi	
100	313	3046779	Kathrin	
100	315	1766582	smugiss	
100	316	814356	gaps	
100	316	512097	Stilgart	
100	319	1102815	PouletRoti	
100	321	1630890	Wld	
100	324	1954303	Freidrich	
100	325	1372843	djjeck	
100	326	4341304	Remi_avec_un_i	
100	327	481564	mihei	
100	330	2797964	BorisH	
100	332	182536	dbo	
100	335	1627333	PiotrSikora	
100	335	4275624	UnknownException	
100	335	1441239	Dyd	
100	336	1411649	Levatol	
100	337	2202771	Kaplone	
100	338	805067	Magus	
100	339	1334577	ForTeaToo	
100	342	1487392	Razielwar	
100	342	1114834	k4ng0u	
100	343	335954	nmahoude	
100	344	1218719	BLUB	
100	345	439159	diodfr	
100	345	389786	menu	
100	346	3882014	MeatyZor	
100	347	1957077	domak	
100	348	844863	Magnasilvar	
100	348	927873	Charlot67	
100	351	955530	Add_nickname	
100	352	735910	Agade	
100	353	3264049	Pierrot_fr	
100	355	1229845	Jipe	
100	359	1013757	RikyM	
100	360	2069141	tomeko	
100	360	3819160	jebale	
100	361	3117670		
100	361	3903847	UnicornP	
100	362	218189	[CG]Maxime	
100	362	835471	Tqup3	
100	362	1494759	BastianK	
100	364	3257146	gctom	
100	366	198394	Kookaburra	
100	366	4252924	mike82	
100	367	212028	GHenry	
100	368	808454	.EagleDawn.	
100	369	200480	Touitoui	
100	369	4209343	petor	
100	371	893541	wala	
100	372	706692	alexhap	
100	372	1506280	TwoLate	
100	372	3650481	m-naim	
100	372	3337790	gitbeginer	
100	374	566573	Matj	
100	375	2299300	Taldryk	
100	375	2320224	daCypher	
100	376	864308	plewanda	
100	376	1005840	Defoniak	
100	377	892201	aldian	
100	377	802230	Orabig	
100	377	1796070	MinorScale	
100	378	1785203	No0ne	
100	379	2763472	Nick-the-Name	
100	380	870035	nefobu	
100	380	1341520	egaetan	
100	381	1355842	slaghn	
100	383	935802	Jerhyn	
100	383	970419	Vladimir.Zhdanov	
100	383	281421	PauloHP	
100	384	394041	B_Money	
100	385	505511	int33h	
100	385	773811	szoti	
100	385	2371389	Franta	
100	386	1290545	Roudoudou	
100	387	1495491	[Random]-J3ff3z	
100	387	552776	player_one	
100	387	1418035	matttias	
100	387	3415091	Yha	
100	389	747842	Sinty	
100	390	1231532	Arnaud_63	
100	390	1201796	P.Greze	
100	390	3791343	Daskas	
100	392	971177	davidlepilote	
100	392	1792532	Zanbez	
100	393	939110	wayland3r	
100	394	961785	Vick	
100	394	1854639	iDxMeG	
100	395	1121543	Aube	
100	396	2622559	Gripnil	
100	400	1528055	YannBeuc	
100	400	876429	GuillaumeHannequin	
100	401	3480498	BenPix	
100	403	704875	XaY	
100	404	3378714	jamiejones87	
100	405	558770	lD	
100	406	1021391	MkWTF	
100	406	452323	duk	
100	407	1120620	Cybermaxke	
100	408	1252380	Glopp	
100	408	1193676	RyZum	
100	408	1408492	Ptit-g	
100	410	922277	dguerrar	
100	412	881037	Amadeuszx	
100	413	1362625	Kasserin	
100	413	4115124	bitAlb	
100	413	4270882	[ron]	
100	416	3181720	Nucleus_12_	
100	417	277758	Duffy	
100	418	1147465	jc_vzla	
100	418	1482330	Eric182	
100	419	1668039	NoramonWaters	
100	420	1124828	Cheatah	
100	420	952784	[CG]Simon	
100	420	1620536	Sleg	
100	421	1461300	TopTyp	
100	421	892056	LaurentTrk	
100	422	1005961	Rosman	
100	424	623975	Mikrethor	
100	424	196606	EasyCoder	
100	424	1075260	metwesse	
100	424	1171469	Reblochon	
100	424	3651825	ctwins95	
100	425	820000	ValGrowth	
100	427	2168021	Marcel256	
100	427	2387233	SinOfWrath	
100	432	1460044	Fuz	
100	432	1529055	PacMann	
100	434	1914792	LitanyOfBoredom	
100	434	2420013	Zoli007	
100	435	1545492	Sonofox	
100	435	709490	Sinlepuissant	
100	436	837439	pegleg	
100	436	4308802	Ascodran	
100	437	4018239	MACKEYTH	
100	439	1195856	daifei4321	
100	439	875113	Idohx	
100	439	981878	nicolasD	
100	440	200367	ecc	
100	440	2463906	JSol	
100	440	4142186	--Closer11--	
100	441	937072	PEB	
100	441	154806	piwai	
100	443	978549	yaitloutou	
100	443	920987	redna70	
100	445	4315171	Soucis	
100	446	2046998	b3nj4m1n	
100	448	1707377	Colgate-Blancheur	
100	449	3904611	Jophiele	
100	450	1038444	Kelton	
100	451	1969969	Orleger	
100	451	3834687	kill-9	
100	452	408044	AlexZam	
100	452	1048140	Tsuhre	
100	452	1269827	bcourtine	
100	452	937221	vrampal	
