Comp.	Score	UserID	Pseudo	#golf,count=1610,time=2022-10-31 10:14:27
100	64	4341304	Remi.	
100	67	1675034	francois	
100	69	3845610	pardouin	
100	70	154372	Plopx	
100	70	371603	martin	
100	70	155774	dwarfie	
100	72	1483723	d-s-x	
100	73	3354337	Westicles	
100	74	2928146	LolCat	
100	75	1654818	tarapitha	
100	76	233627	SlipOne	
100	76	3918583	mikmak	
100	77	2288263	dbdr	
100	78	2315158	luigi_gelato	
100	78	3514975	PhuRiNaT	
100	79	553938	MagAlex	
100	79	995896	Ro9	
100	80	3337790	gitbeginer	
100	80	512169	Soul_0000	
100	81	600941	mrv	
100	81	1001096	MyIIone	
100	82	490905	lechium06_	
100	83	2348615	CedricT	
100	83	155887	BanBan	
100	86	4420742	Mortis_666	
100	87	557990	Wazemo	
100	93	1039809	Azziliz	
100	95	1845617	Shingy	
100	95	1020626	PiterYeh	
100	95	893541	wala	
100	97	574656	dmpage	
100	98	1399382	Regulus136	
100	99	1566335	BeardedWhale	
100	99	4166845	HugeMissedSteak	
100	99	4334237	BJD	
100	99	5024020	natthaphon	
100	100	172938	kuzmaka	
100	100	3740142	AkshatJ1127	
100	100	4155983	o0lit3	
100	100	4095128	Voltmachine	
100	100	3917724	Marke18	
100	101	848989	revever	
100	101	1701924	Kethryes	
100	101	1093968	milosMATRIXrepic	
100	101	3555948	NegativeHoro	
100	101	1045485	Jessie	
100	101	2923506	darkhorse64	
100	101	3298988	PotatoCoder	
100	101	4060994	3030	
100	101	1003752	Skayo	
100	101	2589340	Zource	
100	102	2874091	5DN1L	
100	103	1759335	metahom	
100	103	1441239	Dyd	
100	103	481564	mihei	
100	104	998275	jforne	
100	104	943558	Johanhq	
100	104	1076425	Loicfr	
100	104	1390607	Ivan_Derzhylo	
100	104	1026791	Alfalfamale	
100	104	2077458	Ragi	
100	104	2663611	bobd91	
100	104	2438065	iter	
100	104	4156154	issogood	
100	104	4694923	AntonBlockchain	
100	105	1179357	avdg	
100	105	1629259	Marchete	
100	105	940791	Kris117	
100	105	1515891	ndc	
100	105	1474519	Sny_de_Treves	
100	105	4672487	inem	
100	105	1442344	PavelRaskin	
100	106	2084583		
100	106	4147861	FelixRichter2000	
100	108	513549	y0p	
100	108	3647844	rc95401	
100	108	1052387	RomaricM	
100	109	1130993	Azaria	
100	109	4487490	cnk_gr	
100	110	574371	Dillysfriend	
100	110	805067	Magus	
100	110	2487077	simon-pham	
100	110	1178276	Jerome_95	
100	111	952284	Copro	
100	111	4180659	abrman	
100	112	735910	Agade	
100	112	1109881	Salsiccia_affumicata	
100	112	3770485	zakki	
100	112	3913241	KevinLi-py	
100	112	1073247	_NikJ	
100	113	1509627	puma17	
100	115	1211531	ciaojian	
100	115	2526465	doritosxxx	
100	115	1788623	knarfw	
100	115	4438505	Eric_[EGU]	
100	116	407550	moto_mikez	
100	116	3721214	jrke	
100	117	1049881	TheDudeGuySomeone	
100	117	1195992	NickJammer	
100	117	3947806	Kr4unos	
100	118	1096228	XiaotianZuo	
100	118	4300969	thomasgonda3	
100	118	3331745	XeraFiu	
100	118	1567943	LazyMammal	
100	118	376701	Shiwa	
100	119	416762	Khao	
100	119	3933828	cesmunoz	
100	119	3189631	Arkless	
100	119	3847872	[CG]Gaspar	
100	119	5062387	Tenclea	
100	120	935802	Jerhyn	
100	120	3546420	ZackGabri	
100	120	4820373	lelderbe	
100	121	1383636	atsikov	
100	121	1701936	Chatterton	
