Score	UserID	Pseudo	#golf,count=34,time=2019-11-20 00:50:02
124	1654818	tarapitha	
146	2288263	dbdr	
149	1740037	ereiam	
178	1001096	MyIIone	
182	1629259	Marchete	
183	331880	Monstruo	
249	2333316	Ionax	
270	2077458	Ragi	
290	2069141	tomeko	
302	481988	DevKirill	
308	2234888	Daverix	
309	1695697		
310	1848459	perlebach	
310	2469035	KUN6_P0W	
312	1487392	Razielwar	
360	2786666	TetraktysPhi	
410	1715391	Skolin	
422	1645228	mnahkies	
468	2290633	field3	
486	1168983	Frankreed	
496	924752	micmonay	
514	655061	replix	
536	3444208	Anatoli	
551	1001266	Chamel	
564	3551066	MaxymTereshchenko	
565	907766	woodlander87	
741	1573118	jfkdeveloper	
998	2582643	DJrafou	
1002	1077559	PhOeNyX	
1035	1539789	Kibotu	
1814	805067	Magus	
1940	3124112	Khanou	
2264	788361	Bob	
