Score	UserID	Pseudo	#golf,count=48,time=2020-04-03 00:41:29
81	1654818	tarapitha	
89	154984	_Royale	
91	1100752	ValNykol	
99	1629259	Marchete	
99	1537792	AsaiYusuke	
103	1001096	MyIIone	
105	371603	martin	
110	334009	abouvier	
129	1858764	vdevid	
129	1487168	FatIvan	
132	2288263	dbdr	
138	2928146	LolCat	
140	557990	Wazemo	
157	553938	MagAlex	
171	672359	Lesmana	
203	507538	Krzybe	
206	3564009	Waffle3z	
216	464971	PsyGuy66	
226	966463	Spectrenoir	
227	886483	R4N4R4M4	
246	816123	Nepta	
257	2199642	ElNounch	
259	1755689	dgjxqz	
271	2069141	tomeko	
272	2815558	EvilDuck	
275	735910	Agade	
280	1418821	input.txt	
284	911974	Manzazuu	
295	1495642	AtomCrafty	
306	2786666	TetraktysPhi	
312	1740037	ereiam	
320	1883670	radekmie	
333	1334479	apintor	
341	223893	r0ots	
353	155774	dwarfie	
359	1188212	superredlark	
363	1631414	JanGabrielsson	
377	2043908	AntiSquid	
383	1307473	Evgenykz	
495	1012062	KappaCoder	
517	1707377	Colgate-Blancheur	
809	885525	HGreed	
952	1077559	PhOeNyX	
1770	805067	Magus	
1933	812470	dingjun	
1960	788361	Bob	
3016	1323814	SatineChatounette	
3051	1609933	Potatofactory	
