Comp.	Score	UserID	Pseudo	#golf,count=34,time=2021-10-26 00:30:30
100	82	1654818	tarapitha	
100	87	2288263	dbdr	
100	93	2928146	LolCat	
100	95	3354337	Westicles	
100	98	1537792	AsaiYusuke	
100	100	1001096	MyIIone	
100	111	334009	abouvier	
100	121	1968855	ThePurificator	
100	137	1848459	Velcoro	
100	158	925695	Boulet	
100	267	2874091	5DN1L	
100	352	3279180	C4S1	
100	450	2069141	tomeko	
100	493	3305510	TBali	
100	546	1188212	superredlark	
100	715	1148557	GDrooid	
100	1830	724286		
100	2208	805067	Magus	
100	3184	1323814	Wildcat-SC	
28	64	218189	[CG]Maxime	
0	1	1175255	JoshL	
0	85	3845610	pardouin	
0	87	154984	_Royale	
0	100	1629259	Marchete	
0	143	371603	martin	
0	268	826359	Skywalker	
0	268	1740037	ereiam	
0	273	155774	dwarfie	
0	315	1008096	StekiKun	
0	343	1818596	wec	
0	400	619710	fantasio	
0	673	278863	fquarp	
0	825	403748	[CG]SaiksyApo	
0	1745	155968	[CG]Nick	
