Comp.	Score	UserID	Pseudo	#golf,count=507,time=2022-07-31 00:53:27
100	64	2928146	LolCat	
100	70	2288263	dbdr	
100	75	1654818	tarapitha	
100	78	155774	dwarfie	
100	86	3354337	Westicles	
100	90	553938	MagAlex	
100	91	2348615	CedricT	
100	92	2316796	Psio	
100	95	1675034	francois	
100	100	334009	abouvier	
100	100	1039319	pneus84	
100	102	1537792	AsaiYusuke	
100	103	1001096	MyIIone	
100	110	1093968	milosMATRIXrepic	
100	116	1848459	Velcoro	
100	116	4095128	Voltmachine	
100	118	1757041	Bytenex	
100	121	1968855	ThePurificator	
100	128	1858764	vdevid	
100	128	1399382	Regulus136	
100	129	687234	joseic	
100	131	2874091	5DN1L	
100	132	2923506	darkhorse64	
100	134	1854639	iDxMeG	
100	139	1660602	SemChumboPT	
100	140	616339	AlexeyRastaturin	
100	140	320053	Zbug	
100	141	886483	R4N4R4M4	
100	144	1263638	BelAnt	
100	147	1130993	Azaria	
100	149	248263	NewboO	
100	151	709490	Sinlepuissant	
100	154	3532429	Skyf0l	
100	158	1486776	nrdxn	
100	158	4283515	FrancoisBaveye	
100	164	4011783	sylbouns	
100	164	1179950	Patorikkuyatta	
100	164	3973359	KAbel	
100	164	1788623	knarfw	
100	165	155928	pk	
100	169	1163110	edinux	
100	169	3586725	obrozer	
100	178	2286441	Omiganox	
100	179	1305374	Frankich	
100	181	1796333	BronchitePrTous	
100	186	2983004	tazorax	
100	186	3555371	Rudyweb	
100	186	4159245	Karhuttaja	
100	187	154806	piwai	
100	190	2051278	GuillaumeK	
100	191	1518983	bertm	
100	191	1708668	Kotus	
100	191	3913376	LaurentValade	
100	191	2371389	Franta	
100	194	987041	particleflux	
100	194	156188	DorianWilde	
100	195	1540343	chernovig	
100	196	3983017	TLbuis	
100	196	1120584	Tomaass	
100	197	2592629	Kitof	
100	197	3958314	NicoDeug	
100	197	4821458	FabienMinel	
100	198	1438234	IgnasJanickas	
100	198	2763472	Nick-the-Name	
100	198	4152522	wilkyo	
100	198	3806986	jjdb210	
100	198	4718620	Hieronymus	
100	199	2552218	Jakque	
100	199	959402	gmessier	
100	200	153057	PierralF	
100	200	4536057	JuliusSakata	
