Comp.	Score	UserID	Pseudo	#golf,count=47,time=2021-10-23 01:39:41
100	114	3845610	pardouin	
100	115	3354337	Westicles	
100	129	2928146	LolCat	
100	163	1654818	tarapitha	
100	174	371603	martin	
100	182	1848459	Velcoro	
100	234	553938	MagAlex	
100	237	1128225	AxleShaft	
100	243	1202744	KILLogic	
100	244	1399382	Regulus136	
100	259	3309767	DualisT	
100	267	886483	R4N4R4M4	
100	271	218189	[CG]Maxime	
100	279	3509975	bneumann	
100	296	828239	[SG]Bisou	
100	304	464971	PsyGuy66	
100	331	2786666	TetraktysPhi	
100	370	2874091	5DN1L	
100	469	2069141	tomeko	
100	487	2353603	MrSok	
100	558	1105871	PolonaisCripestro	
100	572	2135916	Oioi	
100	579	1740037	ereiam	
100	631	1188212	superredlark	
100	728	996606	Indy	
100	755	420035	bvs23bkv33	
100	756	3305510	TBali	
100	784	735910	Agade	
100	829	943784	RobertK	
100	867	413014	tofdesbois	
100	1695	1800451	Iwoks	
100	1868	1077559	PhOeNyX	
100	2234	1148961	BackToRGB	
100	2481	806315	Worschtkalli	
100	2501	2570510		
100	2714	805067	Magus	
100	2821	788361	Bob	
100	3222	1196979	akbarkr	
100	4376	229441	matil1da	
100	5118	1323814	Wildcat-SC	
100	5428	154984	_Royale	
14	2262	1152008	GrigoreDiviza	
0	110	1100752	ValNykol	
0	115	1001096	MyIIone	
0	116	1629259	Marchete	
0	154	557990	Wazemo	
0	2115	153119	loick	
