Score	UserID	Pseudo	#golf,count=124,time=2020-12-06 01:57:39
60	154372	Plopx	
61	1654818	tarapitha	
69	2288263	dbdr	
70	1001096	MyIIone	
72	1414038	sobrom	
77	1537792	AsaiYusuke	
77	3845610	pardouin	
79	154984	_Royale	
82	371603	martin	
82	431723	sfod	
85	886483	R4N4R4M4	
86	334009	abouvier	
89	1848459	Velcoro	
90	557990	Wazemo	
91	1853956	yoannk	
95	154906	JBM	
99	1620803	Lyapunov	
102	1582256	Pedro69	
104	1968855	ThePurificator	
107	1307473	Evgenykz	
108	586565	Dedoo	
113	3354337	Westicles	
115	1854246	Counterbalance	
117	552776	player_one	
117	1336464	magaiti	
119	802230	Orabig	
124	432266	alxn1101r	
124	964169	ivanoff.org.ua	
126	513549	y0p	
127	2584779	quirck	
132	1178276	Jerome_95	
133	888404	Intramonk	
134	2928146	LolCat	
134	2325449	otpv	
135	935802	Jerhyn	
137	1991984	MicheL	
141	155928	pk	
150	1093968	milosMATRIXrepic	
153	153527	Amendil	
153	629655	Wolden-Dans	
156	953094	Witman	
156	1398160	abcde123	
157	1323621	Blablub	
157	2176877	pasymows	
158	1193408	DoubleZeroSteph	
160	2040637	polettix	
161	268845	Origraena	
170	922024	umq	
170	2490008	ebicochineal	
173	1548666	goblin	
174	1145203	Lemps	
174	1863849	Peglo	
174	3730057	Maxtreme	
179	837439	pegleg	
179	1418821	input.txt	
180	976469	KatrinaTheLamia	
181	3594074	jopo	
183	155896	gamoul	
184	2108042	PurpleDre	
185	1518504	bohuss	
188	153667	tocose	
189	1086214	bor	
191	1330911	Melys	
191	1859538	Mauritz	
191	2069141	tomeko	
192	194094	Kvirund	
194	927873	Charlot67	
195	1349430	tardigrada	
195	3563934	ChuckBartholomew	
196	257832	BlaiseEbuth	
198	1484839	sparky	
200	2096064	xiao.sha	
201	1069640	etto	
201	1131250	Jooo	
204	2131464	oliviertp	
208	404560	Uquu	
213	1427078	ToshiTuringMachine	
213	1001167	ASd-	
218	1740037	ereiam	
223	735910	Agade	
238	1162999	Vaekor	
241	1454711	mikegrb	
243	1188212	superredlark	
254	464006	Ryugate	
264	1300254	Escdemon	
266	854169	Silmaen	
273	819996	Scott28	
278	938149	dalai	
279	897513	sugitach	
279	2061047	Panderas	
284	809821	sarahbau	
294	314869	Feromax	
304	828560	dgc	
309	925770	ohaller	
310	811776	Matthieu_R	
319	1723623	Wonko	
324	2786666	TetraktysPhi	
330	2593543	hlep	
344	2165183	craig_macmuffin	
360	2043908	AntiSquid	
373	1608197	Luun	
414	1207116	n0vember	
455	884069	punxxy	
462	884725	zoty314	
467	1854639	iDxMeG	
493	1253301	Pierre-Yves	
503	232935	Kwaio	
505	1383054	Oxame	
545	1006279	Gary_Star	
600	1395315	Lafathan	
789	1362475	DAGO51	
789	1077559	PhOeNyX	
792	2181022	Ln_3	
850	1185940	dmaestro	
874	198916	WhatTrickeryIsThis	
1076	1169499	naab	
1568	907530	TaMaMhyu	
1855	154290	Scorfly	
1859	788361	Bob	
1920	805067	Magus	
2279	1393214	Flegmelfe	
2354	914516	nob274	
2873	1323814	SatineChatounette	
