Comp.	Score	UserID	Pseudo	#golf,count=3029,time=2022-08-13 01:13:41
100	61	2928146	LolCat	
100	62	3845610	pardouin	
100	67	1654818	tarapitha	
100	68	155774	dwarfie	
100	68	3354337	Westicles	
100	68	1515891	ndc	
100	69	2923506	darkhorse64	
100	69	4420742	Mortis_666	
100	70	2315158	luigi_gelato	
100	70	2716329	Recher	
100	76	2288263	dbdr	
100	81	600941	mrv	
100	83	965650	abrl	
100	84	490905	lechium06_	
100	84	786597	Fabien	
100	84	3883981	mauguignard	
100	84	762642	Wonyoung	
100	85	952284	Copro	
100	85	1845617	Shingy	
100	86	1001096	MyIIone	
100	87	574656	dmpage	
100	91	1740037	ereiam	
100	92	1485989	ReActiveNZ	
100	93	3918583	mikmak	
100	94	557990	Wazemo	
100	94	848989	revever	
100	95	371603	martin	
100	95	992329	BeeGee	
100	95	1073247	_NikJ	
100	96	2552218	Jakque	
100	99	588783	adwiii	
100	99	3337790	gitbeginer	
100	99	1566335	BeardedWhale	
100	100	1399382	Regulus136	
100	100	1607522	RoboStac	
100	100	4451368	Tsukabishi	
100	100	4438822	ludodul	
100	102	860754	Actias	
100	103	4830112	slow-mo	
100	104	2096266	southzz	
100	104	2927320	itectori	
100	105	4110073	souta_1326	
100	105	841420	RandomVariable	
100	105	4493066	Polynomu	
100	106	553938	MagAlex	
100	106	2490008	ebicochineal	
100	106	4333783	Fredsi	
100	107	3999695	ShaxoLudo	
100	107	948764	Katie	
100	107	4415771	valentino.sm	
100	107	3561474	Blokops	
100	107	4685008	DialFrost	
100	108	3903473	Konstant	
100	108	1114496	BlasphemousCrossbreed	
100	108	1567943	LazyMammal	
100	108	3965571	Smekarn	
100	108	3393535	LuckyJ.	
100	108	709490	Sinlepuissant	
100	109	2458197	Stack_of_Pancakes	
100	109	2769835	kyunamk	
100	109	4072223	gnoxo	
100	109	3792309	schachmatt	
100	109	3344383	Czejoo	
100	109	4395513	IndecisionTree	
100	109	2719604	vpoulailleau	
100	110	1537792	AsaiYusuke	
100	110	3420816	Floth	
100	110	1473017	justhalf	
100	110	3326403	DieBaheit	
100	110	4060722	StevenV	
100	111	1855354	KiwiTae	
100	111	4380587	anon0	
100	111	4399052	CodinBoss1234	
100	111	4599964	_-_pascal_-_	
100	111	4334077	Paul_Demanze	
100	111	3514975	PhuRiNaT	
100	111	4470306	NONstope	
100	111	4270882	[ron]	
100	111	4070745	HoriMiyamura	
100	112	1179950	Patorikkuyatta	
100	112	3913241	KevinLi-py	
100	112	2924895	trictrac	
100	112	4184379	romain.wg	
100	112	792813	VilBoub	
100	112	3536920	mapapin	
100	112	1788623	knarfw	
100	113	1333869	kiwijam	
100	113	351062	Neumann	
100	113	1301137	lewisbm	
100	113	1500515	eulerscheZahl	
100	113	1086050	aandrukhovich	
100	113	4963522	Serhii_Kovalenko	
100	114	2096336	SAINT_LAURENT	
100	114	490588	Uljahn	
100	114	4081634	Wontonimo	
100	114	3779295	xxd	
100	114	3909694	GoogleJeff	
100	114	662291	koscrob	
100	114	4717007	Anktinosia	
100	115	1525831	ntsd	
100	115	4199011	MarTiaNe	
100	115	3362964	a314	
100	115	1081827	[CG]MathisHammel	
100	115	4659362	TeaOwl	
100	115	153927	Cubix	
100	115	3721214	jrke	
100	115	4639401	Citrate_Bios	
100	116	3647844	rc95401	
100	116	3977316	Ponoran	
100	116	4589257	Anger1st	
100	116	3230794	tutubalin	
100	116	4819360	Vemore	
100	117	311035	leojean890	
100	117	3751016	Q12	
100	117	4592681	Urutar	
100	117	3523247	alexcercos	
100	117	153965	[CG]Keelhaul	
100	118	886483	R4N4R4M4	
100	118	1186250	Gabbek	
100	118	4341304	Remi.	
100	118	3950687	vkreuz	
100	118	3776530	Insufficient	
100	118	2629686	krutovsky	
100	118	4259902	Nalisco	
100	118	1264581	BenjiIsBack	
100	119	3431280	luukhf	
100	119	3121767	Lorg	
100	119	3337117	timbersson	
100	120	1152991	xoposhiy	
100	120	4044949	Exanc	
100	121	4208158	Tiouz	
100	121	154408	Pollo_loco	
100	121	3973359	KAbel	
100	121	154388	PonyPonyCodeCode	
100	121	860404	Vitruvius	
100	121	3555728	KVNMDS	
100	121	4390977	mrq0340a	
100	121	1331143	Alois.S	
100	121	4230724	SefioR13	
100	121	4595600	yamen_malik	
100	121	4149818	ET_BB-8	
100	122	3699585	Viande	
100	122	1527403	Di_Masta	
100	122	1781541	Schwase	
100	122	4489122	c0r3dump	
100	122	2968035	DomiKo	
100	123	2141506	Jamesscn	
100	123	3340586	Ran_42	
100	123	2350415	Vintarel	
100	123	4277867	About	
100	123	4380347	AsteelPoro	
100	123	4811550	lyconide	
100	123	4122723	Hydrazer	
100	124	1201783	qsantos	
100	124	3878056	LighTender	
100	124	4134943	vinc-r	
100	124	4756200	tueda	
100	124	4534733	Damko757	
100	124	4902733	Adrien6054	
100	124	4955064	Leaf67	
100	124	3214641	Neicul	
100	124	4257588	WhoTho	
100	125	1543177	Xoff	
100	125	878974	nicola	
100	125	4508271	Thorcode	
100	125	4576463	Didelabedeli	
100	125	3514820	Inferno_dragon	
100	125	2217572	Ben9	
100	125	3802525	Chibikko	
100	125	1630890	Wld	
100	125	4620553	TKirishima	
100	125	3376722	oolivierr	
100	125	2136109	Klemek	
100	126	2977626	Sandell0	
100	126	3532429	Skyf0l	
100	127	1502908	selujum	
100	127	3947806	Kr4unos	
