Comp.	Score	UserID	Pseudo	#golf,count=483,time=2022-06-20 00:30:35
100	55	4475835	Validator_sucks.More.Edge.Random	
100	57	154372	Plopx	
100	57	3845610	pardouin	
100	57	2928146	LolCat	
100	61	490905	lechium06_	
100	63	154984	_Royale	
100	63	2288263	dbdr	
100	63	4341304	Remi.	
100	64	1654818	tarapitha	
100	65	1414038	sobrom	
100	66	1001096	MyIIone	
100	67	3354337	Westicles	
100	68	600941	mrv	
100	69	557990	Wazemo	
100	70	1100752	ValNykol	
100	70	1390607	Ivan_Derzhylo	
100	71	482445	BogdanSavchenko	
100	71	1671658	Kirbiby	
100	71	973040	papyjo	
100	71	4095128	Voltmachine	
100	71	1515891	ndc	
100	71	4420742	Mortis_666	
100	72	588783	adwiii	
100	75	952284	Copro	
100	75	1068877	[CPC]Tamno	
100	75	709490	Sinlepuissant	
100	75	1629259	Marchete	
100	75	2096064	xiao.sha	
100	75	1522923	Tear	
100	75	1853956	yoannk	
100	75	2924895	trictrac	
100	76	893541	wala	
100	77	786597	Fabien	
100	77	1354742	torxx	
100	77	1193408	DoubleZeroSteph	
100	77	155774	dwarfie	
100	79	371603	martin	
100	81	331880	Monstruo	
100	81	1740037	ereiam	
100	83	1854639	iDxMeG	
100	83	2096266	southzz	
100	83	3002969	Porsuk	
100	83	2923506	darkhorse64	
100	83	1073247	_NikJ	
100	83	2196209	Actium	
100	86	553938	MagAlex	
100	90	1485989	ReActiveNZ	
100	90	2315158	luigi_gelato	
100	91	886483	R4N4R4M4	
100	91	2348615	CedricT	
100	91	1321075	ugur	
100	93	545951	AntonT	
100	99	4474739	uiyghjk	
100	107	3982709	lukasjapan	
100	111	1818596	wec	
100	112	1178276	Jerome_95	
100	113	2874091	5DN1L	
100	114	965650	abrl	
100	114	273876	JeremyLefevre	
100	114	1324974	ViktorCs	
100	114	4077723	co_test	
100	114	1201783	qsantos	
100	114	4317574	juliendbg	
100	115	404560	Uquu	
100	116	1186273	knacky	
100	117	847516	minktom	
100	119	2317470	Euphedias	
100	119	837350	BorisZ	
100	119	4154326	montplusa	
100	119	3514975	PhuRiNaT	
100	120	4116084	grahamcracker1234	
100	121	1030709	Cmdr.Shepard	
100	121	1441239	Dyd	
100	122	1487168	FatIvan	
100	122	1193679	Icebox	
100	122	2317026	SomLuckyBoi	
100	122	2786666	TetraktysPhi	
100	122	2242201	Maryan	
100	122	1077559	PhOeNyX	
100	122	1436776	BrainSolver	
100	122	3703485	anter69	
100	122	1527403	Di_Masta	
100	122	828239	[SG]Sebastien	
100	122	1880197	bicklil	
100	122	1378958	Illedan	
100	122	3238300	WarTey	
100	122	1029663	Skreamly	
100	122	2464160	Taeth	
100	122	1848459	Velcoro	
100	122	2158902	Snowbart	
100	122	3996809	VizGhar	
100	122	2230279	TheXeos	
100	122	1179950	Patorikkuyatta	
100	122	3721214	jrke	
100	122	3981543	DrQuarius	
100	122	3670631	merlleu	
100	122	311035	leojean890	
100	122	4286679	fungi_star	
100	122	4447108	MonkeyFeathers	
100	122	2813793	itsjustfreekie	
100	122	1579042	Hulous	
100	122	4791882	FlorentC	
100	124	1001167	ASd-	
100	124	271034	6pi	
100	125	2490008	ebicochineal	
100	125	3808031	_proton	
100	126	2067176	0bug	
100	126	2315411	cejonio	
100	126	854169	Silmaen	
100	126	2744095	ArSeNiK	
100	126	1566335	BeardedWhale	
100	127	4247237	ChiliCheese	
100	128	4622964	Haradwaith	
100	130	1178286	Coren	
100	130	1005061	drac	
100	130	1481673	robymus	
100	135	4716095	MichMich31	
100	138	3958580	HITO	
100	139	2491794	jD0tm	
100	142	1745573	daninnm	
100	142	884874	Zauberer	
100	143	511862	Shishu94	
100	144	365796	CvxFous	
100	144	1620803	Lyapunov	
100	145	953901	MathieuMahe	
100	145	4110073	souta_1326	
100	146	887337	RubySamurai	
100	148	1691246	L.	
100	148	173928	lacrosse	
100	150	1200669	houseofsuns	
100	151	1739595	Bemethor	
100	151	1802967	Meruem	
100	152	3532429	Skyf0l	
100	153	1638833	patrickk	
100	153	992329	BeeGee	
100	154	1483798	hm001	
100	154	905122	nILS	
100	154	2407700	adoxography	
