Comp.	Score	UserID	Pseudo	#golf,count=65,time=2022-05-16 00:53:37
100	118	3380184	chouch	
100	130	1654818	tarapitha	
100	131	2288263	dbdr	
100	166	3354337	Westicles	
100	185	1515891	ndc	
100	211	709490	Sinlepuissant	
100	244	1436776	BrainSolver	
100	246	925695	Boulet	
100	275	3869618	tsds	
100	277	1684030	Mator	
100	278	3845610	pardouin	
100	291	1188212	superredlark	
100	314	2874091	5DN1L	
100	407	1399382	Regulus136	
100	496	3954613	kellda	
100	507	2837654	R2B2	
100	512	3670631	merlleu	
100	544	817627	geot	
100	544	3343665	Quidome	
100	562	155774	dwarfie	
100	564	1279751	Tudou	
100	565	1861258	Nazdhun	
100	579	3514975	PhuRiNaT	
100	580	4587710	Smetalka	
100	586	604167	chango	
100	586	2315411	cejonio	
100	586	854169	Silmaen	
100	586	3808031	_proton	
100	586	1910916	VivienBillot	
100	586	4334077	Paul_Demanze	
100	586	4184379	romain.wg	
100	595	3493230	sgalasso	
100	602	1967236	IBUzPE9	
100	613	4341304	Remi.	
100	641	2786666	TetraktysPhi	
100	666	154388	PonyPonyCodeCode	
100	668	2069141	tomeko	
100	669	1740037	ereiam	
100	680	1514899	Wcubed	
100	691	389786	menu	
100	711	2290633	field3	
100	721	2419811	Valbou	
100	736	1276099	Caemor	
100	749	2413534	EveningRust	
100	759	1777302	Ithinuel	
100	766	512097	Stilgart	
100	770	2172874	Med1ane	
100	779	2546042	Badewanne3	
100	855	4127464	Segfault_4573256634	
100	857	1703408	GHajba	
100	923	4380232	zsacul	
100	1047	1179950	Patorikkuyatta	
100	1086	3305510	TBali	
100	1124	901546	Vinatorul	
100	1470	1427871	rebol	
100	1730	1077559	PhOeNyX	
100	1774	1834905	[Constanze]	
100	1836	1408691	YaVol	
100	2705	805067	Magus	
100	2752	2435595	tya5	
100	2942	788361	Bob	
100	3633	1323814	Wildcat-SC	
100	3712	4155398	Bibobu	
100	4161	3982722	maihd	
100	4288	154984	_Royale	
