Comp.	Score	UserID	Pseudo	#golf,count=82,time=2021-09-29 00:32:40
100	112	1515891	ndc	
100	138	1537792	AsaiYusuke	
100	146	1001096	MyIIone	
100	173	3354337	Westicles	
100	194	1848459	Velcoro	
100	241	1372843	djjeck	
100	245	1436776	BrainSolver	
100	267	3839774	gurvan_lullien	
100	289	3808031	_proton	
100	304	165671	cyppan	
100	352	937073	Krlos	
100	370	3845610	pardouin	
100	375	1944726	bourgeof	
100	393	1179950	Patorikkuyatta	
100	418	2290633	field3	
100	430	3305510	TBali	
100	452	1566335	BeardedWhale	
100	507	3922731	Dartisan	
100	890	1077559	PhOeNyX	
100	1110	3838430	Cat98	
0	113	1654818	tarapitha	
0	118	1740037	ereiam	
0	133	2113625	marc0	
0	134	371603	martin	
0	148	557990	Wazemo	
0	155	2288263	dbdr	
0	161	553938	MagAlex	
0	168	1629259	Marchete	
0	211	886483	R4N4R4M4	
0	228	1654458	thirstycrow	
0	240	2333316	Ionax	
0	246	1555765	DewJunkie	
0	251	1075549	Testspam	
0	252	1121543	Aube	
0	269	331880	Monstruo	
0	278	844863	Magnasilvar	
0	282	1733593	Wei-1	
0	283	464006	Ryugate	
0	284	937933	Richmond	
0	293	301922	tyrcho	
0	305	2158902	Snowbart	
0	307	493596	Magnus	
0	307	859440	acnipih	
0	318	1409461	Myk	
0	319	522661	aerosoul	
0	321	154935	yamo	
0	325	1669326	Pathed	
0	332	2069141	tomeko	
0	342	735910	Agade	
0	351	1786774	stsc-pentasys	
0	357	1192837	davidB	
0	358	2786666	TetraktysPhi	
0	368	620935	zbyszek	
0	369	1740529	Kalelzar	
0	378	512207	Aun	
0	379	152907	FrMe	
0	381	1188212	superredlark	
0	383	704875	XaY	
0	393	1143193	mikeybarker	
0	432	973017	bitofmagic	
0	453	1477618	thunderk	
0	473	1158238	Veka	
0	480	1137323	Fitz45	
0	562	1758459	theA	
0	570	870313	Aash	
0	585	1720605	carlicolosse	
0	693	438729	masc	
0	730	1880102	quentinproust	
0	799	844860	Pawel_Majewski	
0	1067	808583	agourlay	
0	1410	2607620	tsnee1	
0	1591	773151	HibouProfene	
0	1719	200434	ilustr	
0	1807	1717345	kotobotov	
0	1899	563069	Darkris	
0	1945	279452	mangoose	
0	1995	788361	Bob	
0	2035	1219291	Alexey.S	
0	2943	1323814	Wildcat-SC	
0	3079	2043908	AntiSquid	
0	3496	154984	_Royale	
0	4000	810402	Kabiro	
