Comp.	Score	UserID	Pseudo	#golf,count=54,time=2022-12-23 00:30:31
100	88	3380184	chouch	
100	105	3354337	Westicles	
100	124	1654818	tarapitha	
100	134	2288263	dbdr	
100	148	709490	Sinlepuissant	
100	179	2874091	5DN1L	
100	183	1399382	Regulus136	
100	209	2333316	Ionax	
100	229	1436776	BrainSolver	
100	236	3073020	_francois_	
100	249	1939310	MasterOf_	
100	259	2724887	Krizai	
100	293	2713608	LostSymphony	
100	313	4066824	Thannajo	
100	320	1179950	PattoWaGuruDesu	
100	322	4587710	Smetalka	
100	327	2069141	tomeko	
100	353	4341304	Remi.	
100	397	1337680	Discoordination	
100	440	4054394	Kreontsa	
100	456	3305510	TBali	
100	515	3430007	aloksbd	
100	598	3376962	Kous92	
100	662	658246	leon44	
100	899	4724377	jhABAA	
100	1279	1077559	PhOeNyX	
100	2396	4036066	Lucena	
100	2959	820000	ValGrowth	
100	3559	4319685	HideInInspector	
100	3671	4072452	f67d1eb4ab1093a0d583b30282c38215	
100	4980	1017723	SirOz	
71.5	1254	3665464	TheFalk	
0	0	996606	Indy	
0	71	2359203	savag3	
0	110	1629259	Marchete	
0	149	1188212	superredlark	
0	190	365796	CvxFous	
0	205	155774	dwarfie	
0	216	925695	Boulet	
0	219	512097	Stilgart	
0	284	1727220	Hyne	
0	354	1740037	ereiam	
0	372	1323814	Wildcat-SC	
0	375	1060181	Dabou	
0	422	1352470	CarstenPaul	
0	433	2786666	TetraktysPhi	
0	471	1339431	Enie	
0	489	833519	5k4	
0	517	2290633	field3	
0	1273	1438835	smohn	
0	1684	2697024		
0	1684	2834898	TRAYSAVAGE	
0	1959	805067	Magus	
0	3699	154984	_Royale	
