Comp.	Score	UserID	Pseudo	#golf,count=149,time=2023-01-10 01:12:17
100	69	4341304	Remi.	
100	71	1675034	francois	
100	73	3845610	pardouin	
100	77	3354337	Westicles	
100	79	2928146	LolCat	
100	80	3918583	mikmak	
100	82	2288263	dbdr	
100	82	2315158	luigi_gelato	
100	82	3514975	PhuRiNaT	
100	83	155774	dwarfie	
100	84	1483723	d-s-x	
100	96	371603	martin	
100	99	893541	wala	
100	107	1845617	Shingy	
100	107	4166845	HugeMissedSteak	
100	111	5062387	Tenclea	
100	113	1654818	tarapitha	
100	113	4672487	inem	
100	114	1390607	Ivan_Derzhylo	
100	115	1515891	ndc	
100	116	1441239	Dyd	
100	116	2874091	5DN1L	
100	118	940791	Kris117	
100	118	2923506	darkhorse64	
100	121	1045485	Jessie	
100	126	4095128	Voltmachine	
100	126	4300969	thomasgonda3	
100	126	2589340	Zource	
100	127	1629259	Marchete	
100	127	4487490	cnk_gr	
100	127	481564	mihei	
100	128	4011783	sylbouns	
100	128	1179950	PattoWaGuruDesu	
100	128	4694923	AntonBlockchain	
100	129	3847872	[CG]Gaspar	
100	129	4998001	x7bit	
100	130	2371389	Franta	
100	131	1788623	knarfw	
100	133	4180659	abrman	
100	137	351062	Neumann	
100	138	762642	Wonyoung	
100	139	1740037	ereiam	
100	141	1861852	Cramer	
100	147	4156154	issogood	
100	149	4124688	Murat_Eroglu	
100	153	2786666	TetraktysPhi	
100	159	1205108	jval	
100	161	3808031	_proton	
100	165	2438514	davi_bart	
100	168	2320995	Photon_	
100	173	4083537	DavidAvsajanishvili	
100	174	3801079	jokovitch	
100	183	2286441	Omiganox	
100	186	3869618	tsds	
100	187	1436776	BrainSolver	
100	187	4047152	Willard21	
100	187	3937932	OnTheBrink	
100	189	1802967	Meruem	
100	189	1939310	MasterOf_	
100	189	1475413	AlucardDH	
100	190	1664043	GloboGamer	
100	191	2641712	Scarlatine	
100	193	4083405	jzen	
100	193	924425	poney	
100	193	935744	Alcalyn	
100	195	4072753	mdstoy	
100	195	4275410	rk2021	
100	198	1114834	k4ng0u	
100	198	311035	leojean890	
100	200	1984345	CedricHerzog	
100	203	4559916	Karne	
100	204	4100825	ablin42	
100	205	2622559	Gripnil	
100	205	903179	maksmas	
100	205	1420817	TheMagicShop	
100	207	1077506	gs2	
100	207	3533314	skotz	
100	211	380805	Xtendz	
100	214	1034690	J.N	
100	214	2765000	Nowan	
100	215	165671	LoopCodeRecur	
100	224	3651809	NicknameRequired	
100	226	2387233	SinOfWrath	
100	227	2708267	XyoloJR	
100	235	4587710	Smetalka	
100	236	3380514	DFrese	
100	236	153965	[CG]Keelhaul	
100	247	2688381	willf80	
100	248	4045062	ChaosCat	
100	249	3531488	Dryadim	
100	260	3517779	flo5589	
100	271	3305510	TBali	
100	274	3457031	YurkovAS	
100	284	1543333	ishibashijun	
100	285	1470927	MisterQuidam	
100	290	871170	Brainslug	
100	291	3998772	zefogm	
100	296	2078184	jz4o	
100	296	4334077	Paul_Demanze	
100	296	4612315	Gerritvw	
100	298	1035630	Vestiaz	
100	302	2419811	Valbou	
100	305	3592273	fana06	
100	308	3770485	zakki	
100	310	4897345	Hogwei	
100	320	1861258	Nazdhun	
100	320	4718620	Hieronymus	
100	321	4471038	nguyen.lam	
100	329	4800220	TheGreatT	
100	355	2290633	field3	
100	370	1938604	VinhasF	
100	399	3922731	Dartisan	
100	426	1306429	Neckers	
100	452	3959718	Airgo1	
100	497	1654200	Didyeah	
100	504	1653268	YikeyYikes	
100	559	3045714	David.Moreaux	
100	563	4825251	DARK-ECNELIS	
100	594	2544223	thollander	
100	632	3660819	BloodyTurtles	
100	675	3033065	MeloL	
100	693	4276681	mixa3000	
100	720	3820320	TranHanMinh	
100	742	4279233	Alex-1	
100	786	5112539	soyouthinkyoucancode	
100	946	2411887	DerpyCat	
100	1049	3418322	Re9iNee	
100	1128	4525198	xhian7	
100	1148	1077559	PhOeNyX	
100	1711	3816134	Vislum	
100	1750	2411213	Toto34000	
100	1885	3171976	horvbalazs	
100	1897	3718693	ArneBanane	
100	1937	5118257	lord-hubert	
100	1945	4978621		
100	2079	1045753	Zimmy	
100	2360	1604295	SergeyShirokov	
100	2367	664164	Jeako	
100	2418	2445275	VitalyTartynov	
100	2502	1221498	Tallyrald	
100	2720	3992550	foreign	
100	2862	3433493	gaetan92	
100	2904	820000	ValGrowth	
100	3384	1323814	Wildcat-SC	
100	3403	2632302	Orivoir	
100	3697	2470803	Snoopx	
71.5	1539	3368582	vehikl-morning-mob	
71.5	1691	2087833	kalif	
0	248	1848459	Velcoro	
