Comp.	Score	UserID	Pseudo	#golf,count=75,time=2022-04-21 01:15:56
100	135	3380184	chouch	
100	154	3354337	Westicles	
100	159	4341304	Remi.	
100	188	1654818	tarapitha	
100	220	3845610	pardouin	
100	220	2874091	5DN1L	
100	223	481564	mihei	
100	243	1939310	MasterOf_	
100	244	557990	Wazemo	
100	247	4714305	Aki1020	
100	285	3489223	KarloHubai	
100	290	760921	Skleroz	
100	308	1355842	slaghn	
100	319	704875	XaY	
100	319	893177	Rebelwillow	
100	322	4125771	Rdmguy	
100	323	1506280	TwoLate	
100	325	4587710	Smetalka	
100	329	218189	[CG]Maxime	
100	336	828239	[SG]Bisou	
100	336	4832181	VisualDev-FR	
100	339	3028864	lorcQc	
100	347	3855258	Starfighter	
100	363	706692	alexhap	
100	376	1740037	ereiam	
100	386	4003601	Mathieu1988	
100	388	1016114	Insanctus	
100	395	4025292	MarcoFlores	
100	411	1258422	memelo1	
100	432	2290633	field3	
100	447	3776530	Insufficient	
100	455	1264581	BenjiIsBack	
100	466	2786666	TetraktysPhi	
100	499	820000	ValGrowth	
100	516	1592544	zoom_one	
100	545	3305510	TBali	
100	571	1718188	Peter1910	
100	594	2382054	jsimoes	
100	711	599629	robwaw	
100	883	1432461	TerryWilkerson	
100	1083	735910	Agade	
100	1578	815345	kugan49	
100	1726	1077559	PhOeNyX	
100	1933	903174	Tikounet	
100	2327	1036170	DoubleSwitch	
100	2380	827329	Sweetie	
100	2482	805067	Magus	
100	2524	788361	Bob	
100	2683	3374589	KellyGaertner	
100	2760	2596504	Kiborg	
100	2804	656081	2skill3d4u	
100	2837	333444	Davidl.mkh	
100	2919	774318	Whistlebenetdyslexique	
100	3019	1880319	WildSmilodon	
100	3107	1046474	rchenouard	
100	3262	999016	eosmk	
100	3465	1000960	Marvash	
100	4296	827226	Kimpossible	
100	7334	154984	_Royale	
100	9369	1323814	Wildcat-SC	
85.8	170	371603	martin	
28.6	2240	1515308	Wired_1	
28.6	2419	2055932	Batcoder	
0	0	996606	Indy	
0	168	1629259	Marchete	
0	182	553938	MagAlex	
0	238	1188212	superredlark	
0	256	886483	R4N4R4M4	
0	334	886081	CyberSapiens	
0	356	2069141	tomeko	
0	391	833910	luisarita	
0	826	1373587	RicoBuz	
0	849	1670035	vorbeiei	
0	1956	1586802	AhmetK	
0	1956	1860297	NGAI_KIN_SAN	
