Score	UserID	Pseudo	#golf,count=420,time=2020-09-17 02:39:00
50	1483723	d-s-x	
51	1537792	AsaiYusuke	
55	2288263	dbdr	
62	1654818	tarapitha	
64	1436776	BrainSolver	
73	155774	dwarfie	
77	3726978	VirtualAtom	
86	1968855	ThePurificator	
88	2422378	C2H5OH	
88	334009	abouvier	
89	1695697		
89	2315411	cejonio	
89	1077559	PhOeNyX	
89	2870503	Bucket	
89	1629259	Marchete	
89	862919	Astrobytes	
89	1527403	Di_Masta	
89	3354337	Westicles	
91	1975116	[BT]Atte	
93	3767576	njaber	
98	973040	papyjo	
99	1740037	ereiam	
101	1207116	n0vember	
101	2416641	Zenoscave	
101	512097	Stilgart	
103	3509975	bneumann	
106	425114	gluk47	
107	1654458	thirstycrow	
108	2096336	SAINT_LAURENT	
110	366305	Mgayar	
112	418633	Ygrex	
112	1349769	EltonCosmonote	
112	301922	tyrcho	
113	2853578	Colombo	
113	2837454	Inc_	
116	1518602	norcas	
116	1500515	eulerscheZahl	
117	1203846	pgrange	
117	1408492	Ptit-g	
118	1000231	geraud	
118	1009766	Mepsik	
118	897027	mars49	
118	2051278	GuillaumeK	
121	2096266	southzz	
121	992329	BeeGee	
124	1925452	Cyriax	
126	830819	johnnyhibiki	
126	1733593	Wei-1	
127	2897325	CAEZAR	
129	633652	Pingouin-Fraggeur	
131	1748803	rayden	
131	2046998	b3nj4m1n	
131	3352676	3t0n	
132	200618	Potato	
132	153396	Loubna	
132	1436881	Chirschi	
133	859803	stauik	
133	2163304	OlivZed	
134	1144943	H3LCA	
134	1220554	jackbot	
134	1842592	Ace57	
134	1898847	faga	
135	1190182	Yves	
135	1241864	Eliasdekiniweek	
136	1333232	ntj	
137	1268160	Vias	
137	1481384	Ethaniael	
137	1711208	L_Pio	
138	2252914	Malleek	
140	395007	Cphe	
140	1477277	ejgillia	
141	1238199	leo_	
141	1443075	Wolfy82	
142	2014007	Louise-Francoise	
144	1759839	matleg	
145	877133	enygmata	
146	1388076	Siruker	
146	482445	BogdanSavchenko	
146	2317026	SomLuckyBoi	
147	934381	PolyB	
147	3845610	pardouin	
151	1152008	GrigoreDiviza	
151	1631057	Pask	
153	351062	Neumann	
153	1538884	twasilczyk	
153	2660470	Perdur	
157	1454522	santolucito	
157	1244452	pow131	
