Score	UserID	Pseudo	#golf,count=3739,time=2020-02-04 00:42:21
70	2288263	dbdr	
71	334009	abouvier	
79	154372	Plopx	
79	1100752	ValNykol	
83	1858764	vdevid	
85	2077805	bamilan	
87	1654818	tarapitha	
88	545951	AntonT	
88	553938	MagAlex	
89	2416641	Zenoscave	
90	848989	revever	
90	1001096	MyIIone	
92	1399382	Regulus136	
93	154984	_Royale	
93	446956	FranMowinckel	
93	2077458	Ragi	
94	1158783	Platypus	
96	983548	pykoder	
96	1193408	DoubleZeroSteph	
96	1620803	Lyapunov	
97	1093968	milosMATRIXrepic	
97	1132076	Ming	
97	1436776	BrainSolver	
98	153927	Cubix	
98	404774	bingsoo	
99	990110	Rogerup	
99	1058278	Oibaf	
99	1188212	superredlark	
99	1211531	ciaojian	
99	1845617	Shingyx	
100	557990	Wazemo	
100	935802	Jerhyn	
100	2085649	Lsmith-Zenoscave	
101	861178	siggisv	
101	909821	Gymble	
101	1143726		
101	1712214	_CP	
102	329200	BlitzProg	
103	371603	martin	
103	1903920	SATI_OTI	
104	923656	WyzX3t	
104	963521	BogdanR	
104	1057238	Daenyas	
105	359956	Hufo	
105	464971	PsyGuy66	
105	754792	Ramdeath	
105	863935	Romain227	
105	1070566	Kodnot	
105	1756952	Petras	
105	2067176	0bug	
106	481564	mihei	
106	1903031	hard-coded	
107	735910	Agade	
107	1642003	Verbal_Kint35	
108	155774	dwarfie	
108	668954	Fluxor	
108	1629259	Marchete	
109	277758	Duffy	
109	512097	Stilgart	
109	963147	Scythianos	
109	963186	LoVaCE	
109	963187		
109	1201796	P.Greze	
109	1365434	FredTingaud	
109	1411649	Levatol	
109	1495491	[Random]-J3ff3z	
109	1529760	contagious	
109	1619211	Tolomei	
109	1815353	JayXon	
109	2371389	Franta	
110	1597900	Tollayo	
110	1615710	rexso	
110	1838549	izik1	
111	365796	CvxFous	
111	404560	Uquu	
111	494104	Recar	
111	552776	player_one	
112	472513	Fatall	
112	886483	R4N4R4M4	
112	1895969	CreativeYS	
112	2317470	Euphedias	
112	3361684	Proximo	
113	907382	CptPingu_CPP	
113	1021946	a_Tom	
113	1480886	V4nDr4v3n	
114	638784	Yqnn	
114	925695	Boulet	
114	1194054	Bidembois	
115	162669	Gangrene	
115	820000	ValGrowth	
115	942810	Xtophe	
115	1231532	Arnaud_63	
115	1247961	Terae	
115	1485690	Kikoo	
115	1578626	Narnaug	
115	1582641	dafky2000	
