Comp.	Score	UserID	Pseudo	#golf,count=140,time=2022-10-23 00:30:43
100	138	3845610	pardouin	
100	159	1654818	tarapitha	
100	164	2288263	dbdr	
100	167	2928146	LolCat	
100	171	2874091	5DN1L	
100	178	3354337	Westicles	
100	187	2665830	Ninerian	
100	192	155774	dwarfie	
100	193	2333316	Ionax	
100	194	3917420	trold	
100	202	862919	Astrobytes	
100	209	1147989	kerek	
100	211	1788623	knarfw	
100	212	1065845	Oli8	
100	212	1596767	ochu	
100	213	1629188	tatut	
100	215	1066028	JrmC	
100	215	3172222	TheGreatGeek	
100	220	1179950	PattoWaGuruDesu	
100	220	895358	minimarco	
100	227	982970	SrijayanthSridhar	
100	227	1542372	Fellshard	
100	233	4341304	Remi.	
100	235	1460590	motor4ik	
100	249	1218693	CuaCuaPoney	
100	252	1400179	reCurse	
100	261	2660273	wizzytod	
100	263	1883691	thorben	
100	267	839422	clpe04	
100	275	1889170	mvujas	
100	278	464006	Ryugate	
100	278	1179187	waaks__	
100	279	826372	skyyker	
100	281	1323814	Wildcat-SC	
100	297	1495491	[Random]-J3ff3z	
100	305	939863	andrevdm	
100	306	927835	Garmonbozia	
100	311	3516345	Jp82	
100	313	1390607	Ivan_Derzhylo	
100	319	875453	Chapel	
100	340	972457		
100	360	3096912	Picani	
100	372	416365	cccccombo	
100	383	640734	kill-em-all	
100	391	2463922	flo.g	
100	408	687360	nevermind	
100	412	1466631	Akrib	
100	423	4717726	[Nexure]	
100	425	3393535	LuckyJ.	
100	426	1108883	Diacone	
100	432	1210768	Niklas	
100	435	1250606	ERROR	
100	444	3305510	TBali	
100	465	662989	Ascott	
100	473	1332611	lollocomo97	
100	484	1324384	PopSong	
100	497	3009873	Kineolyan	
100	499	1160614	moon21	
100	540	199979	VonRickroll	
100	582	828213	anst	
100	642	230794	alpha_one_x86	
100	655	1629259	Marchete	
100	740	806157	Aveuh	
100	776	2298871	jesuisdev.net	
100	785	260066	kammoun.mohamed	
100	803	1223412	SpikeMan	
100	816	1433338	Elykia	
100	925	886124	Saynou	
100	952	185541	kazrakel	
100	953	351062	Neumann	
100	984	1128945	logcat	
100	999	451353	][][][][	
100	1022	165671	LoopCodeRecur	
100	1024	609900	Rastko	
100	1043	1068877	[CPC]Tamno	
100	1043	3657275	jujurocking	
100	1079	482137	AttilaZsoltPiros	
100	1111	154984	_Royale	
100	1208	1087305	void	
100	1240	805067	Magus	
100	1265	1122425	ymz	
100	1334	1109892	remoteboat	
100	1447	869020	M.M.	
100	1549	1896339	Chamet	
100	1803	484004	aCat	
100	2131	1470927	MisterQuidam	
75	172	1231532	Arnaud_63	
75	181	1848459	Velcoro	
75	188	1017169	bLasT	
75	198	1579653	zweedeend	
75	301	1464932	Tiramon	
75	1246	1219792		
50	160	162669	Gangrene	
50	166	2077458	Ragi	
50	173	987916	chr-m	
50	190	577069	tvb999	
50	196	855983	mind	
50	304	1152008	GrigoreDiviza	
50	494	2290633	field3	
50	545	817627	geot	
25	172	1093968	milosMATRIXrepic	
0	126	154372	Plopx	
0	133	1086302	MaxKa	
0	135	553938	MagAlex	
0	136	545951	AntonT	
0	138	371603	martin	
0	147	735910	Agade	
0	158	1778731	pen	
0	161	1188212	superredlark	
0	169	1592894	maxagaze	
0	170	1342745	Catiminie	
0	170	1639540	apod	
0	176	886483	R4N4R4M4	
0	182	574105	Vorago	
0	195	1160519	Anvil	
0	199	1059826	Emlyn	
0	204	1329322	gxionc	
0	207	225599	leon_id	
0	208	2032268	edwaraco	
0	210	512097	Stilgart	
0	212	940723	PlaceboZA	
0	222	1740037	ereiam	
0	225	1177434	cristian	
0	238	1893356	Marben	
0	248	809204	Porthos3	
0	250	626535	Halasimov	
0	255	1219570	Torleif	
0	264	951363	agent[j]	
0	273	1111156	Heero	
0	276	1682005	sarcilav	
0	288	1687048	gdenhez	
0	359	403748	[CG]SaiksyApo	
0	374	317822	Zeapo	
0	815	360581	[CG]TontonRevolver	
0	817	2587792		
0	884	3879083	shadyjamal	
0	979	4473144	Lelatag1234	
0	981	4092225		
0	1004	4722296	Snltrk	
0	1005	4697637		
