Comp.	Score	UserID	Pseudo	#golf,count=172,time=2022-08-21 00:30:41
100	87	1483723	d-s-x	
100	138	2874091	5DN1L	
100	146	3354337	Westicles	
100	163	2228811	MichalKovac	
100	163	2928146	LolCat	
100	166	3516345	Jp82	
100	167	1654818	tarapitha	
100	170	1566166	OB1	
100	170	973040	papyjo	
100	170	1179950	Patorikkuyatta	
100	178	1939310	MasterOf_	
100	179	942857	Slupka	
100	186	934557	mexx	
100	195	2625928	Leonard.	
100	198	4341304	Remi.	
100	203	557575	DrNoise	
100	210	935759	Jason_Down	
100	210	2661589	LePelicanFushia	
100	210	3808031	_proton	
100	211	1007647	NagMacFeegle	
100	215	1466631	Akrib	
100	215	4648691	bazil83	
100	219	3917420	trold	
100	222	1205098	AlMag	
100	223	1740037	ereiam	
100	226	1436776	BrainSolver	
100	227	862919	Astrobytes	
100	231	154806	piwai	
100	234	1300037	Mako	
100	235	1859646	AlWerewolf	
100	236	155774	dwarfie	
100	238	1863990	Hu[Yue]	
100	239	1788623	knarfw	
100	241	928675	geirive	
100	247	826953	Anthyme	
100	249	2923510	ozgur	
100	249	1441239	Dyd	
100	252	2000540	rombolshak	
100	261	4587710	Smetalka	
100	264	832711	Pennicillina	
100	268	1022877	MariosK	
100	282	1153516	Desdemon	
100	292	951100	Icey	
100	292	2597721		
100	297	3185288	devex	
100	297	4390014	yfe42	
100	298	4039794	Codeab	
100	305	2290633	field3	
100	308	1547011	Mandzi	
100	312	3279089	TheNewBlood	
100	316	4920547	Nic04nic0las	
100	320	709490	Sinlepuissant	
100	322	4216037	Stynix	
100	329	1152008	GrigoreDiviza	
100	331	3305510	TBali	
100	334	3589251	el71	
100	336	2478361	M4XXE	
100	350	418246	Kezziny	
100	354	1007939	Poruk	
100	357	1870343	trykyn	
100	360	225892	ikarni	
100	361	4578599	De1ain	
100	365	3523160	SteveDkt	
100	366	3863255	reza0310	
100	373	2825209	manimerz	
100	380	935815	mkucia	
100	388	933335		
100	392	933134	polkduran	
100	394	1889170	mvujas	
100	401	1364679	Nhowka	
100	407	826372	skyyker	
100	420	1463763	Alcated	
100	436	1252294	RichieJang	
100	441	1500515	eulerscheZahl	
100	457	866472	Tobi_and_Tobi	
100	468	464006	Ryugate	
100	471	935439	rojepp	
100	476	934696	tonyj444	
100	512	3771159	tamahom	
100	517	3722925	esh1n	
100	517	3923167	Sachin_07	
100	517	4068626	martinaa2	
100	517	4068631	hola.hej	
100	517	4156502	thesoftwaresage	
100	517	1910916	VivienBillot	
100	517	2071914	Gorx	
100	517	3042438	Erossi	
100	517	4535787	Ingorus	
100	517	4888317	Alaeddinee	
100	518	1903545	miller-a61	
100	527	3522643	Dragon_Breath	
100	529	4579025	Amir_83	
100	534	932385	msmaximuss	
100	534	3573831	voodoo	
100	534	4116897		
100	534	3856580	jns_chaos	
100	543	525208	chvrches	
100	543	2855751	ViperWriter	
100	546	817627	geot	
100	560	4717726	[Nexure]	
100	561	1077559	PhOeNyX	
100	588	1537089	Meriades	
100	606	1188110	trllnd	
100	610	1323814	Wildcat-SC	
100	636	420035	bvs23bkv33	
100	648	805694	para	
100	676	1718937	UjeenDanko	
100	680	1131364	cumpsd	
100	681	938192		
100	702	1066718	FuncYou	
100	712	4684374	Teunisv	
100	723	1712255	Ukster	
100	724	1244133	Hordemaster	
100	739	735910	Agade	
100	740	1096717	TeXteR	
100	791	1195277	lazyjet	
100	851	1968664	Codechanger	
100	856	199979	VonRickroll	
100	862	1433338	Elykia	
100	920	967667	Ardagan	
100	955	2586292	Synth14	
100	1102	935571		
100	1170	4644281	icTOX	
100	1270	3240292	Traumination	
100	1277	1215408	tle-meur	
100	1337	1087305	void	
100	1418	869020	M.M.	
100	1491	1065845	Oli8	
100	1491	1066028	JrmC	
100	1491	1068877	[CPC]Tamno	
100	1491	828213	anst	
100	1491	3657275	jujurocking	
100	1549	3407560	allnightcoder	
100	1563	788361	Bob	
100	1708	934191	peteski22	
100	1710	4177767	Cruiser18	
100	1763	2348823	[4]Nicolas	
100	1793	936687	tooobig	
100	1953	1285614	bjonor	
100	2794	891289	Galad	
100	4877	1074858	MietekBrzytwa	
75	156	557990	Wazemo	
75	171	1558666	Craxy	
75	183	704875	XaY	
75	187	933934	pezi_pink	
75	217	1506280	TwoLate	
75	219	3845610	pardouin	
75	220	2069141	tomeko	
75	234	1231532	Arnaud_63	
75	234	1256312	Djoums	
75	235	1992657	SmokyPrawn	
75	268	1062070	beeker	
75	309	1307473	Evgenykz	
75	369	1555765	DewJunkie	
75	419	1464932	Tiramon	
75	1206	484004	aCat	
50	107	1001096	MyIIone	
50	111	371603	martin	
50	123	553938	MagAlex	
50	142	886483	R4N4R4M4	
50	159	1188212	superredlark	
50	162	505511	int33h	
50	204	805067	Magus	
50	235	855983	mind	
25	186	162669	Gangrene	
0	132	1848459	Velcoro	
0	179	1629259	Marchete	
0	530	4687063	airpods	
0	896	153119	[CG]loick	
0	898	3937410	adash	
0	975	4718465		
0	1432	3871001	renon392	
