Score	UserID	Pseudo	#golf,count=248,time=2020-05-02 01:38:20
128	1654818	tarapitha	
129	961765	Lorth	
138	371603	martin	
139	1399382	Regulus136	
142	828213	anst	
142	2069141	tomeko	
142	155774	dwarfie	
142	1607522	RoboStac	
145	1368122	galthaus	
145	331880	Monstruo	
145	2077458	Ragi	
147	1636052	RDux	
148	218189	[CG]Maxime	
150	992891		
150	2007852	Zorg1	
151	960245	zoulga	
151	1630890	Wld	
151	1712214	_CP	
153	553938	MagAlex	
153	185541	kazrakel	
153	1547430	softclone	
153	1506280	TwoLate	
154	953901		
155	162669	Gangrene	
155	936609	dja	
155	1198884	Topsy	
155	2118893	CWarner	
156	886483	R4N4R4M4	
156	1062776	Njirem	
157	817733	rabid-on	
157	1464932	Tiramon	
157	1301789	NafLaRage	
158	1111356	mic	
158	599411	Colehour	
158	2586253	BongoJim	
160	2176877	pasymows	
160	1908091	RedAustin	
162	1231532	Arnaud_63	
163	1144694	Baditude	
165	1143726		
166	199979	VonRickroll	
168	1175571	WilyBrace	
168	1525816	Flodnes	
168	1662464	UPS	
169	3373291	BHW	
170	3772630	BattleRattle	
171	389473	BigBart	
173	464971	PsyGuy66	
173	250127	cyan	
173	1438652	GilmarPalega	
173	1543275	dolanor	
174	864071	Basecrosser	
174	968393	TiberiuGal	
174	2290633	field3	
175	812387	ElectroMetro	
175	1188212	superredlark	
175	2549604	Inkberry	
175	1695697		
175	3727410	CodeAndRun	
176	1497339	BierLiebHaber	
176	1377821	Gautamas	
176	1407621	Taohbi	
177	805067	Magus	
178	1269827	bcourtine	
178	2626539	Weissi	
178	3407821	SuperBandit228	
178	1600906	Rots	
179	1436776	BrainSolver	
180	969000	KB	
180	2806308	Krayorn	
181	1096883	dlintw	
181	855492	Erk	
181	300251	DiscoBeat	
182	2085837	tahkapaa	
183	154840	Tomu	
183	292609	Cequazeg	
183	1064509	Puck	
184	557990	Wazemo	
184	1001970	Neto	
184	1629259	Marchete	
184	2490008	ebicochineal	
185	858765	julroy67	
185	1812801	Chauca	
185	1584258		
185	2593506	BastiH	
185	2047717	rc_root	
188	1943755	gabeos2	
190	840322	nullbus	
192	634747	akhansari	
192	154901	jybateman	
194	405053	thinkong	
194	2245370	Itay1982	
195	1512872	zV3KT0R	
195	1564779	Whaytom	
196	1010104	Radoo	
196	1310368	Firo	
196	2043908	AntiSquid	
197	857756	DerMicha	
197	1813449	AdamMitchell	
198	2183698	Seb_T	
199	347029	Kevapo	
199	808454	.EagleDawn.	
199	1953786	ludowsky	
201	1323814	SatineChatounette	
201	1787646	wognovice	
201	2620504	salixor	
202	569715	Colin	
203	1296804	atenea	
203	3308199	ChadThundercode	
203	3596867	EriaDrim	
204	2252914	Malleek	
205	1141212	cowl	
205	715319	poksh	
206	894599	DidierC	
206	2897325	CAEZAR	
207	1546047		
207	2128700	CaTasTrOOf	
211	1903545	miller-a61	
212	230794	alpha_one_x86	
212	2157028	Maastah	
213	1603956	Goddamndave	
214	1438981	AllanShone	
215	154393	Sababo	
215	1316807	Edwardadd	
216	2244001	J4cqu35	
217	1007939	Poruk	
217	1152008	GrigoreDiviza	
219	1254019	pazimor	
222	1996592	Ant59	
223	1334887	rbouleau	
225	1199200	sbihel	
226	346750	Woof	
226	984260	KapitanOwies	
228	630429	Picard	
228	820261	Sp	
232	1672739	Toad008	
233	894985	Warrows	
233	1191415	MochLutfi	
237	1001096	MyIIone	
241	1672238	Tharro	
246	2786666	TetraktysPhi	
251	464006	Ryugate	
256	1519764	teplicko	
264	1255802	AhmetYasinUslu	
266	826372	skyyker	
268	3071320	autlunatic	
270	2278614	lumpy	
271	996606	Indy	
274	1200397	INSSOMNIAK	
274	1705859	Suptzs	
278	2837654	R2B2	
281	604167	chango	
287	2229952	ezzkoram2	
301	1471623	Jacoder	
301	2422727	Guglu	
305	1494823	duburlan	
306	2073179	Biwere	
313	2687870	tantanchen	
325	1106987	fgrosse	
330	920927	ezzkoram	
333	1292271	s41nn0n	
339	499375	mylonov	
345	1161639	Chade.Revingbell	
348	155868	bvaudour	
353	1154875	ichen	
355	808395	Gerifield	
359	1740037	ereiam	
361	2202771	Kaplone	
362	2291799	Mauhoi	
368	157939	esv	
410	3172341	JS_BREIZH_974	
428	735910	Agade	
431	153678	dknn	
433	1079687	ThomasGuillier	
464	2418470	FlorianRaith	
465	1579196	Admiral_Larimda	
470	3554251	YottaByte	
473	944334	donk	
473	961964	moul	
476	1275409	MaxFyraZ	
479	1177795	Slash-Dev	
490	826807	souhaib22	
492	1454522	santolucito	
495	913179		
496	958274	offero	
