Comp.	Score	UserID	Pseudo	#golf,count=176,time=2021-07-21 00:38:49
100	78	2288263	dbdr	
100	80	1483723	d-s-x	
100	92	1436776	BrainSolver	
100	116	1339104	Sedo	
100	116	1178276	Jerome_95	
100	121	1848459	Velcoro	
100	122	155774	dwarfie	
100	125	1654818	tarapitha	
100	125	1399382	Regulus136	
100	126	1864367	Heino	
100	131	3354337	Westicles	
100	134	1515891	ndc	
100	134	4048107	SimonPrins	
100	135	1169220	Indobiany	
100	135	1190347	mad_lexa	
100	138	1179950	Patorikkuyatta	
100	139	1464681	Bit48	
100	141	3808031	_proton	
100	142	1487392	Razielwar	
100	144	2786666	TetraktysPhi	
100	146	3308199	ChadThundercode	
100	146	2028876	The4lchemist	
100	148	3917420	trold	
100	151	1487618	stefanrother	
100	155	1396228	samMcCandless	
100	158	1269643	AyRaKay	
100	159	3305510	TBali	
100	163	2805138	BalRoger	
100	165	3845610	pardouin	
100	168	1024757	garcimore	
100	169	2536487	Sumo-Naony	
100	169	978024	Durko	
100	169	1076912	Ruyan	
100	171	1407420	kiril76	
100	175	1740037	ereiam	
100	176	154194	E-B-A	
100	177	1336301	Ohrt	
100	178	1684563	Johan128	
100	180	1264381	Seil	
100	183	400015	LiBe	
100	183	1176794	Pyronico	
100	183	974670	Kamikater2	
100	183	1466631	Akrib	
100	185	1263963	Arensis	
100	185	1252380	Glopp	
100	188	1042977	Adj	
100	191	1170712	Djo0012	
100	191	2252914	Malleek	
100	191	2290633	field3	
100	192	936356	Tajasch	
100	193	1206598	Moradal	
100	195	1001266	Chamel	
100	196	414278	oobException	
100	197	152907	FrMe	
100	198	1012908	boris2	
100	198	3800561	Aholief	
100	201	925333	aseweryn	
100	201	1816961	pwlrfl	
100	206	1707377	Colgate-Blancheur	
100	207	3304110	MathieuSoysal	
100	208	278623	GeekTortoise	
100	208	1269806	LUnver	
100	209	862919	Astrobytes	
100	210	464006	Ryugate	
100	210	1487462	JBuchi	
100	211	155920	t2_cyborg	
100	211	1007939	Poruk	
100	211	1782814	Trilusion	
100	214	1071197	matem	
100	214	1323814	Wildcat-SC	
100	216	865806	Chingu	
100	218	1001096	MyIIone	
100	219	2228298	tiog55	
100	221	895151	Ploom	
100	227	520841	the_wizard	
100	230	230794	alpha_one_x86	
100	231	1188212	superredlark	
100	237	692440	Opharion	
100	245	826372	skyyker	
100	252	1046623	the_pins	
100	254	583258	kr0nd	
100	255	830819	johnnyhibiki	
100	255	1261300	mirow	
100	278	943907	iga	
100	281	909155	Lienucs	
100	293	2190996	GSXell	
100	343	199979	VonRickroll	
100	385	2401269	laastos	
100	394	1597856	Ganet	
100	407	735910	Agade	
100	425	1077559	PhOeNyX	
100	474	1500515	eulerscheZahl	
100	542	1120466	hoppo	
100	670	420035	bvs23bkv33	
100	689	817627	geot	
100	730	878530	Pops	
100	768	257832	BlaiseEbuth	
100	829	877254	NullPointer	
100	929	504994	NikitON	
100	934	154984	_Royale	
100	943	484004	aCat	
100	959	788361	Bob	
100	967	1471812	SibMaks	
100	1015	1433338	Elykia	
100	1029	821045	FX	
100	1051	1215408	tle-meur	
100	1072	828213	anst	
100	1102	709490	Sinlepuissant	
100	1126	869020	M.M.	
100	1162	907530	TaMaMhyu	
100	1181	959870	NoZi	
100	1255	1065845	Oli8	
100	1255	1066028	JrmC	
100	1255	1068877	[CPC]Tamno	
100	1255	805067	Magus	
100	1255	4112733	SGE-GamingWarrior	
100	1964	1468516	smartdiscover17	
75	135	2713608	LostSymphony	
75	148	1120620	Cybermaxke	
75	150	1129906	PaulEdouard	
75	162	3216070	TaoJonesIndex	
75	229	1152008	GrigoreDiviza	
50	85	557990	Wazemo	
50	111	185541	kazrakel	
50	112	1464932	Tiramon	
50	115	893915	DeVoTeD	
50	117	1765419	Drac	
50	118	169033	Yasser	
50	119	936609	dja	
50	121	1864483	Mistblinde	
50	131	1231532	Arnaud_63	
50	132	2069141	tomeko	
50	134	840350	Anupam	
50	134	1753925	Wildcat	
50	134	1838549	orangesnowfox	
50	137	1891220	GustavMessany-Oberwandling	
50	138	1714054	Marau	
50	139	961785	Vick	
50	139	994321	Jebediah	
50	143	960153	quizy	
50	143	889178	begarco	
50	148	740458	ToNinja	
50	149	1002945	Grimsh	
50	149	1854639	iDxMeG	
50	151	155896	gamoul	
50	155	864071	Basecrosser	
50	156	996271	labete	
50	161	827332	Metalshoot	
50	163	833144	Armageddon	
50	164	879073	Ealhad	
50	164	1086230	Iltis	
50	167	403258	Cheffe	
50	167	1244685	dorion	
50	179	569478	Guish29	
50	181	2377220	Eroctiart	
50	188	1908091	RedAustin	
50	196	393447	Eff82	
50	203	2043908	AntiSquid	
50	211	1733196	atzy	
50	227	1149227	ThiagoWitt	
25	73	490905	lechium06_	
25	76	371603	martin	
25	77	935802	Jerhyn	
25	78	163013	mcm	
25	83	1629259	Marchete	
25	85	886483	R4N4R4M4	
25	87	934115	Genu	
25	104	492228	Groszeq	
25	114	1171541	Asterix_et_Obelix	
25	127	218189	[CG]Maxime	
0	73	1023075	Naro	
0	76	336377	n_r	
0	94	577069	tvb999	
0	104	1189485		
0	106	553938	MagAlex	
0	126	162669	Gangrene	
