Score	UserID	Pseudo	#golf,count=199,time=2020-10-20 02:42:27
81	1483723	d-s-x	
84	1537792	AsaiYusuke	
104	1436776	BrainSolver	
119	154906	JBM	
120	903521	j_hn	
121	1370901	Valdrac	
123	3354337	Westicles	
124	709490	Sinlepuissant	
131	948682	artcorpse	
131	512097	Stilgart	
135	1373455	xenog	
135	1167096	exfalso	
140	1342745	Catiminie	
143	2491616	abt8601	
144	155774	dwarfie	
145	1630178	ulrikdem	
145	2317747	ElPsyCongroo2011	
146	2102573	Taeradan	
148	1363272	Delfad0r	
149	1676432	Barny	
149	3845610	pardouin	
151	663913	SandorHerms	
152	1975116	[BT]Atte	
155	221648	svankoot	
156	512125	Totoro83	
159	1654818	tarapitha	
160	903982	Hurryabit	
160	1546047		
160	3622757	anid	
160	3046779	Kathrin	
165	879096	Drestin	
166	1822346	Arcaseus	
169	271931	funky_bibimbap	
174	1774632	gilgamec	
175	1024459	lbm	
177	3784861	thiebt	
184	153685	damiengif	
186	862919	Astrobytes	
189	1838289	Dagal	
190	2315411	cejonio	
192	949729	erdeszt	
197	1971578	skami	
200	1648938	Kharyus	
201	1123943	RISC	
202	1164798	ndriscoll	
204	271250	Berdes	
207	461438	gusmachine	
209	2210894	Kubo	
215	3996096	Sakisan	
218	1385902	skeletont	
222	1086579	biinari	
223	196486	phaazon	
228	841814	kdridi	
228	2923506	darkhorse64	
230	1452275	Mateon1	
233	849004	Lulu	
234	903499	tauli	
234	1450167	Cookiemagik	
236	934381	PolyB	
237	1280021	ushfnuk	
242	807949	TheEye	
244	999596	Schyrsivochter	
249	1119332	bendzsui	
251	2231186	Ebilkill	
252	1631172	newmaidumosa	
252	3906983	Arjan	
254	1362654	Titanothere	
259	1197616	EivindJahren	
261	807709	Michaelmore	
263	588104	TheNoseReaper	
263	877913	XRuZzz	
265	1194553	kubivan	
271	1869420	Chronoes	
271	2061249	delisea	
287	848216	mscharley	
293	2138632	shriekingnoise	
293	2650715	joranvar	
293	3053453	Kalimehtar	
294	399564	wizzup	
294	908664	zilahia	
299	1010680	jUNKfOOD	
304	1471090	Arcs	
304	1740037	ereiam	
305	1112388	Prag	
311	2977222	oeainw	
326	962760	MountainCoder	
328	2417495	matzo	
329	1143097	Euge	
333	1116421	obeltrando	
333	2005458	Iead	
345	948528	izubkov	
350	1631057	Pask	
356	3033786	Camto	
373	518726	nybble41	
382	1425182	Dipucian	
382	2152878	lgastako	
383	1036012	Chahine	
400	2437750	lumie1337	
414	907040	Kazuko	
417	1128868	xax	
433	978329	Neil-Mayhew	
437	980671	bwbaugh	
445	931538		
446	1454522	santolucito	
449	1466631	Akrib	
450	923398	The_Ghost	
455	650779	Sparshong	
475	3946057	kvitebjonn	
481	2458209	Drakkoniz	
507	278959	pagoda_5b	
509	981512	KumaTheBear	
532	904881	lpenz	
595	952964	grim7reaper	
636	826372	skyyker	
638	330488	Shakadak	
656	217547	stderr	
673	938495	Huluk	
687	464006	Ryugate	
696	889744	Skeeve	
703	1188212	superredlark	
714	882784	DarthRayban	
738	733335	DJNour	
805	1046972	kja	
808	262592	fva	
843	1323814	SatineChatounette	
850	2254534	TomislavDz	
852	1209562	JohnnyYuge	
856	477039	IMOKURI	
869	2229955	oak	
930	1150815	HansTrashy	
952	224325	TidyMaze	
974	912824	Mart1JosephIII	
1015	813732	Dstibbe	
1104	1509510	LunaticExperimentalist	
1153	648751	dabino	
1204	445785	Dorvaryn	
1226	199979	VonRickroll	
1227	806157	Aveuh	
1289	886124	YessineKAMMOUN	
1325	2298871	wth.mvp.s	
1329	3606794	its_data	
1349	350385	davnn	
1382	1783604	Vry	
1399	254357	T0ha	
1406	1185221	kokotchY	
1474	1433338	Elykia	
1491	1111223	FabienPesci	
1497	831681	Brindesable	
1498	1463763	Alcated	
1522	959199	ssn	
1720	434571	brk	
1720	1065845	Oli8	
1720	1066028	JrmC	
1720	1068877	[CPC]Tamno	
1720	828213	anst	
1720	875453	Chapel	
1722	735910	Agade	
1745	805067	Magus	
1774	1449433	Rolf	
1788	527695	Lord Prefect	
1845	230794	alpha_one_x86	
1882	2008625	Chouffe	
1898	654826	bing1991	
1913	2093395	VadimKuznetsov	
1948	1136516	obprado	
1999	1071709	FrakkingGameDev	
2044	884752	Serialorder	
3264	1172324	theangrydev	
