Score	UserID	Pseudo	#golf,count=4059,time=2020-04-21 03:03:54
134	154372	Plopx	
135	1023075	Naro	
138	336377	n_r	
138	1102815	PouletRoti	
141	599674	NinetyOne	
144	574371	Dillysfriend	
148	1483723	d-s-x	
154	848989	revever	
155	1098588	wickedjester	
156	968843	Average	
157	1683112	ScottH	
158	371603	martin	
158	2077458	Ragi	
159	705188	Olivier	
159	833606	mattrero	
159	1183122	ath	
161	943711	Morkian	
163	574656	dmpage	
163	935802	Jerhyn	
163	1399382	Regulus136	
164	154984	_Royale	
164	552776	player_one	
165	588783	adwiii	
165	2035423	Velaan	
166	930469	Arigion	
167	577069	tvb999	
167	805067	Magus	
167	1143726		
168	1070856	D-MoNs	
168	981878	nicolasD	
169	961765	Lorth	
169	1093968	milosMATRIXrepic	
170	934115	Genu	
172	638784	Yqnn	
173	1070718	Sigmunds	
174	1005840	Defoniak	
174	1487392	Razielwar	
175	735910	Agade	
175	898645		
177	1968855	ThePurificator	
178	1071140	BeberLeNewbie	
178	1199638	Siebn	
179	1372843	djjeck	
179	2288263	dbdr	
180	2074055	Prince_Polka	
181	703397	Manual	
182	978797	Kasmircat	
184	616409	green22jet	
184	351062	Neumann	
185	1059832	CPP	
188	153964	Zanng	
189	1188212	superredlark	
189	1485690	Kikoo	
191	1365434	FredTingaud	
191	3039504	LesCodeursMasques	
193	505511	int33h	
194	553938	MagAlex	
194	1968710	Kabushiki	
196	886483	R4N4R4M4	
200	1629259	Marchete	
202	1436776	BrainSolver	
204	1444905	Scildrei	
204	1845617	Shingyx	
209	982388	Meilys	
219	218189	[CG]Maxime	
219	1114834	k4ng0u	
219	614215	Jo	
219	2970388	TheSerpe	
220	734401	b0n5a1	
221	365796	CvxFous	
221	1218719	BLUB	
221	155774	dwarfie	
221	1341520	egaetan	
222	996571	PaulP	
222	1217550	_LS_	
222	512097	Stilgart	
222	1788676	oli	
222	1178276	Jerome_95	
222	2069141	tomeko	
222	2923506	darkhorse64	
223	886702	Vorgritche	
223	912633	Poviliukas	
223	3639318	Djozike	
224	277758	Duffy	
224	844863	Magnasilvar	
224	1019883	Pedromdrp	
224	944713	Patrickdev	
224	404560	Uquu	
225	162669	Gangrene	
225	185541	kazrakel	
225	1032555	Lightsider	
225	1231532	Arnaud_63	
225	1325359	BIG_DUDE_210	
225	704875	XaY	
225	1720537	Vergil888823	
225	1064903	Ghirtor	
225	1657646	alberiw	
225	1714054	Marau	
225	2408893	jul_dmz	
225	1464932	Tiramon	
225	1759335	metahom	
226	936609	dja	
226	960883	kriyss	
226	212028	GHenry	
228	910634	Danette	
228	908137	Jarflux	
228	944594	omarkammoun	
228	881037	Amadeuszx	
228	1369133	Hamhec	
228	1566335	BeardedWhale	
229	2436448	FrancoisMeme	
230	860239	Neilura	
230	812912	AndiR	
230	1663473	Askoog	
231	169033	Yasser	
231	1238677	PawelLabaj	
231	710240	Regedit	
232	403748	[CG]SaiksyApo	
232	1013178	pgervaise	
232	1525816	Flodnes	
232	3380514	DFrese	
233	927873	Charlot67	
233	1013757	RikyM	
233	837439	pegleg	
233	1285189	Minost	
234	1369847	lucaslagessr	
234	1590284	tbenoist	
234	2787474	Zhelonkin	
235	972606	Mazter	
235	809204	Porthos3	
235	1100614	ppeetteerr	
235	979569	khanh_alice	
236	342048	fixme	
236	1506280	TwoLate	
236	2490008	ebicochineal	
237	1411649	Levatol	
237	1001266	Chamel	
238	828213	anst	
