Comp.	Score	UserID	Pseudo	#golf,count=4120,time=2021-07-30 01:02:39
100	87	3354337	Westicles	
100	88	1589272	darrylyeo	
100	90	416762	Khao	
100	92	1328758	GottZ	
100	92	2285589	Klamss	
100	92	1545961	Klyve	
100	92	1158405	KolbasniyVeter	
100	92	1357614	OptiPanda	
100	93	1489925	DeSet	
100	93	1129000	ChairmanOfTheBored	
100	94	1668643	Tofull	
100	94	1398702	Hota	
100	94	1398625	zetraison	
100	94	1837427	Evangelyne	
100	94	1077559	PhOeNyX	
100	94	1491995	Tyir	
100	94	1730948	Rus_Termal	
100	94	1504684	entrpy	
100	94	937221	vrampal	
100	94	2096064	xiao.sha	
100	94	1619259	Zeross05	
100	94	2292422	ABE2048	
100	94	2317026	SomLuckyBoi	
100	94	1112073	Pouf	
100	94	1740037	ereiam	
100	94	2518119	Gabrielbaez04	
100	94	3884999	YGoulu	
100	94	1399382	Regulus136	
100	95	944576		
100	95	1060181	Dabou	
100	95	1306289	Jasperr	
100	95	818780	bbodin01	
100	95	3918583	mikmak	
100	95	1348600	erodataM	
100	95	814685	AthosPyte	
100	95	4156154	issogood	
100	97	2923506	darkhorse64	
100	98	1393524	Yoysothoth	
100	98	1452588	Nagoz	
100	98	1507224	nagoz	
100	98	155774	dwarfie	
100	98	1179950	Patorikkuyatta	
100	98	2315158	luigi_gelato	
100	98	1701924	Kethryes	
100	99	3808031	_proton	
100	99	2635907	lopidav	
100	99	4060994	3030	
100	99	3883981	mauguignard	
100	100	1463005	goffreder	
100	100	912633	Poviliukas	
100	100	1045485	Jessie	
100	100	2220824	Aerodactylus	
100	100	3298988	PotatoCoder	
100	101	1489835	kdex	
100	101	1675279	ArnaudBarre	
100	101	1654818	tarapitha	
100	101	2520443	Einwickler	
100	101	839539	madCasper	
100	101	4055973	Aeschli	
100	101	154194	E-B-A	
100	101	4066824	Thannajo	
100	102	1047991	MandM	
100	102	2115857	askdash	
100	102	2888129	terazoid	
100	102	1211531	ciaojian	
100	102	1424148	manychois	
100	102	916264	DeKay	
100	103	2109511	taquion	
100	103	820000	ValGrowth	
100	104	1048348	Disciple.of.Ada	
100	104	1706476	Maboul95	
100	104	2029481	alocquet	
100	104	1396761	RyMe	
100	104	1330431	TzeKin	
100	104	3569691	KndrSrprizzz	
100	104	1544797	Jalibter	
100	104	1566335	BeardedWhale	
100	104	4180659	abrman	
100	104	1019883	Pedromdrp	
100	104	3973359	KAbel	
100	104	2040449	SalimAmiar	
100	104	4442658	LewisJEllis	
100	105	1060171	Aurora	
100	105	1164044	Visual	
100	105	1179357	avdg	
100	105	1528929	Blackfich	
100	105	587769	infusion	
100	105	389786	menu	
100	105	2876928	Doatti	
100	105	3903942	ngoc	
100	105	3840544	wiisportsresort	
100	105	186179	Nagrarok	
100	105	420043	maxim_mazurok	
100	105	4095128	Voltmachine	
100	105	2526465	doritosxxx	
100	106	239695	regseb	
100	106	1095446	tarbomb	
100	106	1144327	Ben_da_Moose	
100	106	1188192	mandrak3	
100	106	825464	gf3741	
100	106	1923902	gkalpak	
100	106	204179	resistcorp	
100	106	1178276	Jerome_95	
100	106	3880940	cpedersen	
100	106	372468	MadBot4577	
100	107	1024050	Roooot	
100	107	594635	Solid	
100	107	1049237	darkman	
100	107	969095	bad_bot	
100	107	1216415	dukhanov	
100	107	1236370	wood0s	
100	107	1590473	WesT	
100	107	1022699	Baptistin	
100	107	1703408	GHajba	
100	107	1962419	Gerardufoin	
100	107	1915856	bochsdbg	
100	107	1450451	MertCingoz	
100	107	961481	Henrique	
100	107	3574688	RaulButuc	
100	107	3165536	barbora	
100	107	3868172	Desjardins	
100	107	975057	LeoTigers	
100	107	3305293	Jean-Lou	
100	107	2954598	djedje72	
100	107	4124688	Murat_Eroglu	
100	107	1441239	Dyd	
100	108	981084	pio95	
100	108	1316751	volodimir	
100	108	558770	lD	
100	108	1656351	Castosaurus	
100	108	970985	bologna	
100	108	3510173	Reinis-Mazeiks	
100	108	3900977	Codewaves	
100	108	4022495	Leonidas51	
100	108	3812486	gitKad	
100	108	1960325	Bladx	
100	109	835636	texus	
100	109	279452	mangoose	
100	109	475134	AgathokakologicalBit	
100	109	1001069	DoomHammer	
100	109	1019186	Orik	
100	109	271586	asthor	
100	109	1057506	Amoun	
100	109	847550	Popey	
100	109	555424	cymarechal	
100	109	1144254	8	
100	109	1072938	G.Gery	
100	109	1154439	zigab123	
100	109	1111588	klmpfh	
100	109	1168848	DPitt	
100	109	1175343	Hankerspace	
100	109	943784	RobertK	
100	109	1081700	Pipo	
100	109	1177018	Dzedor	
100	109	1186774	Malthael	
100	109	1197593	NatNgs	
100	109	1194882	Quadbro	
100	109	1058483	StephaneDtd	
100	109	1189812	kagary06	
100	109	1218188	Byamarro	
100	109	1225192	Erozyx	
100	109	843126	ItsBuddha	
100	109	808608	Locutus	
100	109	1288911	Wilds85	
100	109	1062336	ValentinC	
100	109	1139488	MiniTapir	
100	109	1354206	CustomBlackout	
100	109	1327028	FredericBautista	
100	109	1139835	edwin0258	
100	109	1429958	xixi78	
100	109	1434689	DarthTon	
100	109	666934	93	
100	109	1193459	izanbf	
100	109	1107896	Sorpia	
100	109	1189679	Wayde	
100	109	1161036	SnakeBite	
100	109	788997	aLeX__	
100	109	1485482	ArshSekhon	
100	109	1308680	bu7ch	
100	109	1369177	PernicN	
100	109	1592706	HuynhThienThach	
100	109	1576440	BrianReinhart	
100	109	1549694	wolven	
100	109	1634195	k.ab	
100	109	1170641	ioncodes	
100	109	1365500	DatoZ	
100	109	1583095	Instafluff	
100	109	1714338	cobase2010	
100	109	1764472	zwilias	
100	109	1753424	FilkinKuiv	
100	109	1773971	Lothric	
100	109	1721506	jmutz	
100	109	1782814	Trilusion	
100	109	1827683	tbobm	
100	109	1802704	EduardHildebrandt	
100	109	1779483	h.otto	
100	109	1895198	BobJohn	
100	109	869020	M.M.	
100	109	1807041	Ouisticrabe	
100	109	1479552	Tom1	
100	109	1065038	Mohamed_Choaib_Assoualma	
100	109	1981927	Ovelc	
