Score	UserID	Pseudo	#golf,count=123,time=2020-07-23 00:34:37
95	1483723	d-s-x	
162	1399382	Regulus136	
172	3046779	Kathrin	
177	155774	dwarfie	
178	3846923	Hildan	
178	1515891	ndc	
179	1518504	bohuss	
187	2333316	Ionax	
188	1012320	muksia	
189	1695697		
193	1934084	deviantstudio	
195	1516975	TheBo	
197	2234888	Daverix	
198	1965264	Orangy	
201	3775064	FrankreedX	
201	1436776	BrainSolver	
203	1398383	LeMogwai	
215	2831557	lucasrafagnin	
218	1772813	Vitroxyn	
221	2504606	polski	
227	3870823	Iequa9iz	
231	2786666	TetraktysPhi	
235	3335921	vcoubray	
238	1466631	Akrib	
240	3346191	FloFri	
242	1174354	Pyeroh	
242	1645228	mnahkies	
243	1926967	Stanworld	
243	3856960	Anym	
245	3901696	linovifian	
246	155881	XLP	
247	3767954	frie321984	
248	2928521	Q-er	
248	3371531	Zasalamel	
250	452323	duk	
255	2078184	jz4o	
256	1740037	ereiam	
266	1168983	Frankreed	
267	2183698	Seb_T	
269	3308199	ChadThundercode	
270	1721526	rm-zzz	
272	878168	Czaporka	
272	1792532	Zanbez	
273	2443373		
274	3762185	ghostmechanic	
275	1573118	jfkdeveloper	
280	826372	skyyker	
280	3040749	gk12345	
285	3572961	rasu	
285	2290633	field3	
288	2202771	Kaplone	
295	2553150	MBC	
306	2252914	Malleek	
306	3243744	dawahl	
314	1713279	C3os	
314	709490	Sinlepuissant	
321	2057540	liz22	
328	3444208	Anatoli	
343	1048705	zapan	
352	819679	joopk	
363	3484291	Al3xCalibur1	
368	924752	micmonay	
368	3839774	GPingoo	
382	3777252	KONFeature	
399	1564705	classical_leap	
421	2582643	DJrafou	
427	3598944	Mourao	
489	2720216	ilgiocatore	
494	1588863	SrArbol	
502	3159592	Manu0811	
515	1241638		
584	1539789	Kibotu	
593	1500515	eulerscheZahl	
596	2645557	Unknown0_o	
598	2462764	KH-Unaccepted_Terror	
639	1077559	PhOeNyX	
654	3900429	LoveMahajan	
816	2331809	dhaunac	
867	3905476	kallosz	
990	2804331	v3n0msnake	
1014	3432468	gwoliveira	
1149	788361	Bob	
1169	1375513	AlexandrKozlov	
1185	1717918	LenaDev	
1218	869020	M.M.	
1225	3240292	Traumination	
1235	3551066	MaxymTereshchenko	
1290	3454188	misterded	
1319	3353352	UnderagedAdult	
1325	2562729	Edf92700	
1396	1369242	Kotanin0	
1428	2694820	NikkyAI	
1436	805067	Magus	
1481	3563868	ToeySubjarern	
1650	3459436	LaMicheTutu	
