Comp.	Score	UserID	Pseudo	#golf,count=90,time=2021-08-12 00:52:52
100	102	3354337	Westicles	
100	111	1436776	BrainSolver	
100	151	952626	Tesseract	
100	191	1049323	bmrgb	
100	196	1818596	wec	
100	198	2374732	AllanWegan	
100	201	155774	dwarfie	
100	209	1485304	lgd	
100	216	1008096	StekiKun	
100	222	1094645	Swagusn	
100	242	934381	PolyB	
100	247	2021071	Bltxd	
100	250	4208158	Tiouz	
100	252	1363105	aldrik.net	
100	254	3700935	[.___.]	
100	261	2252914	Malleek	
100	275	1179950	Patorikkuyatta	
100	279	254889	data	
100	284	984109	LeCaRiBoU	
100	287	1433365	npstar	
100	291	329048	Eniwilan	
100	296	1169166	Quinaz	
100	329	333568	uso	
100	329	2402965	zapashcanon	
100	345	826372	skyyker	
100	355	862919	Astrobytes	
100	357	825460	antoyo	
100	358	1203593	[CPC]Naity	
100	359	1466631	Akrib	
100	364	3305510	TBali	
100	384	464006	Ryugate	
100	384	2074534	Remi380	
100	437	365796	CvxFous	
100	465	1654818	tarapitha	
100	582	952145	EddyNasty	
100	595	1323814	Wildcat-SC	
100	658	1606853	LePire	
100	696	2298871	jesuisdev.net	
100	701	1500515	eulerscheZahl	
100	722	805067	Magus	
100	805	1208030	Uly	
100	870	199979	VonRickroll	
100	893	828213	anst	
100	989	1433338	Elykia	
100	1171	2463922	flo.g	
100	1223	484004	aCat	
100	1259	911777	MasakiKyosuke	
100	1284	869020	M.M.	
100	1398	403748	[CG]SaiksyApo	
100	1423	1065845	Oli8	
100	1423	1066028	JrmC	
100	1423	1068877	[CPC]Tamno	
100	1423	735910	Agade	
100	1423	4112733	SGE-GamingWarrior	
100	1571	953941		
75	63	1483723	d-s-x	
75	66	1537792	AsaiYusuke	
75	78	2928146	LolCat	
75	94	1848459	Velcoro	
75	95	1968855	ThePurificator	
75	138	1438145	PavelC	
75	139	826359	Skywalker	
75	149	925695	Boulet	
75	219	3719098	Adriennnn	
75	230	3866703	oulitan	
75	238	1095118	prignony	
75	249	3845610	pardouin	
75	269	2043908	AntiSquid	
75	323	1231532	Arnaud_63	
75	324	1464932	Tiramon	
50	67	2288263	dbdr	
50	75	334009	abouvier	
50	76	154984	_Royale	
50	98	154372	Plopx	
50	139	278863	fquarp	
50	265	2290633	field3	
25	86	848604	Sablier	
0	84	1629259	Marchete	
0	115	1001096	MyIIone	
0	149	371603	martin	
0	166	1188212	superredlark	
0	166	1348523	Numb_	
0	179	1596038	314eter	
0	192	162669	Gangrene	
0	201	216115	mad	
0	225	886483	R4N4R4M4	
0	267	1486792	Verathez	
0	407	1152008	GrigoreDiviza	
0	425	1740037	ereiam	
0	543	514603	Franckoni	
