Comp.	Score	UserID	Pseudo	#golf,count=192,time=2022-11-08 00:30:41
100	45	1483723	d-s-x	
100	52	3845610	pardouin	
100	54	4341304	Remi.	
100	55	2377220	arstneio	
100	59	4420742	Mortis_666	
100	62	155774	dwarfie	
100	70	3354337	Westicles	
100	70	2928146	LolCat	
100	85	1654818	tarapitha	
100	106	1436776	BrainSolver	
100	106	4763549	BlaiseEbuth_	
100	107	4512635	nick552	
100	110	3514975	PhuRiNaT	
100	111	1399382	Regulus136	
100	111	4438505	Eric_[EGU]	
100	115	2923506	darkhorse64	
100	115	2874091	5DN1L	
100	117	1205108	jval	
100	118	2713608	LostSymphony	
100	119	4060994	3030	
100	122	4620106	lonequantum	
100	123	2786666	TetraktysPhi	
100	123	820000	ValGrowth	
100	124	2641712	Scarlatine	
100	126	3371531	Zasalamel	
100	127	2096064	xiao.sha	
100	127	2242201	Maryan	
100	128	1108293	tru101	
100	128	3308199	ChadThundercode	
100	128	1759839	matleg	
100	128	2490008	ebicochineal	
100	128	862919	Astrobytes	
100	128	2230279	TheXeos	
100	128	5086754	degreste	
100	129	1179950	PattoWaGuruDesu	
100	130	481564	mihei	
100	132	2320995	Photon_	
100	135	1323814	Wildcat-SC	
100	135	2924895	trictrac	
100	135	2377210	mrBen	
100	135	5062387	Tenclea	
100	136	638784	Yqnn	
100	137	3216070	TaoJonesIndex	
100	138	3750700	VulpesCorsac	
100	138	3279089	TheNewBlood	
100	139	1134381	letatas	
100	139	2408893	jul_dmz	
100	139	2387233	SinOfWrath	
100	139	1506280	TwoLate	
100	139	3516345	Jp82	
100	139	2147961	korriganBzh	
100	140	994468	darkdieg	
100	141	788361	Bob	
100	141	512097	Stilgart	
100	143	3305510	TBali	
100	146	622303	Zetrock	
100	147	1588583	dANNs	
100	148	1109979	Gloopy	
100	149	4641581	hoody7	
100	149	4952348	albzn	
100	151	996606	Indy	
100	153	4067707	therealbeef	
100	155	2427577	pink-rg	
100	157	154806	piwai	
100	157	4587710	Smetalka	
