Score	UserID	Pseudo	#golf,count=1333,time=2020-10-07 03:30:52
60	2288263	dbdr	
60	3845610	pardouin	
61	1483723	d-s-x	
68	1537792	AsaiYusuke	
77	1436776	BrainSolver	
91	1093968	milosMATRIXrepic	
98	2923506	darkhorse64	
98	709490	Sinlepuissant	
99	1399382	Regulus136	
99	155774	dwarfie	
103	1968855	ThePurificator	
105	3354337	Westicles	
108	820000	ValGrowth	
110	2552218	Jakque	
112	3305510	TBali	
112	1854639	iDxMeG	
112	3855753	tuan91	
114	3772630	BattleRattle	
116	156188	DorianWilde	
117	1003752	Skayo	
117	3896228	Boruwaka	
118	3555371	Rudyweb	
119	862919	Astrobytes	
121	1654818	tarapitha	
123	2043512	matijabelec	
126	1087302	tinimi	
126	975057	LeoTigers	
127	792813	VilBoub	
128	1475507	Rigg7	
128	1305374	Frankich	
129	1069340	Diler	
129	3808031	_proton	
129	912633	Poviliukas	
132	155934	Ninsuo	
134	2093490	paul.cabanes	
134	1695697		
134	2081330	Niet	
134	2094979	CyborgX57	
134	959402	gmessier	
135	1408492	Ptit-g	
135	3445362	demacus	
137	1962237		
137	1835936	Zayon	
138	442616	fly	
139	847311	Shift	
140	857557	Foxdev	
140	1085890	Acti_keke	
140	1461149	Belinde	
140	3585269	Colios13	
140	3921133	Tetelle	
141	880739	QBall	
141	1788613	Gritche07	
143	929781		
143	934077	vuryss	
143	1212198	kernel78	
143	1673971	Lanken	
144	933888	Jasny	
144	901353	mat.duf	
144	1534309	Buszmen	
144	1660430	Wolve	
144	1112163	JaredReimer	
144	1378173	skillfulzombie	
144	666934	93	
145	153823	Captainseb	
145	1388735		
145	1390842	Birdkiller	
146	1186982	tino10	
146	1400613	dangerousdave	
147	1068689	Nofrombxl	
147	2123646	JoliPapon	
148	1136606	thedebian	
148	1690120	tino299	
148	1705957	leni.	
149	576950	SuperMeatball	
149	1442344	PavelRaskin	
150	1095508	kaniah	
150	1159770	nim	
150	1269533	Stanimal	
150	1181984	kperreau	
151	981285	Nephanae	
152	318607	cedart	
152	1117812	Arcanod	
152	1018225	racribeiro	
152	1208714	neo_alias_moi	
152	1232851	docl	
152	1317273	[MT]D0cK3r	
152	1479137	lorenzods	
153	1197310	R3pli	
153	1157913	Shadowinek	
153	801265	Mojo	
153	1863849	Peglo	
154	1134478	PedroSilva	
154	1160256	BlkStormy	
154	1205520	JojoLaFrite	
154	1220258	gluchet	
154	153620	[CPC]Karedas	
154	2051278	GuillaumeK	
154	1915856	bochsdbg	
154	2263449	Slandais	
154	2429327	Mr_House	
154	2163304	OlivZed	
155	1486995	g.paton	
155	521034	Thomas88220	
155	2219419	zarnoex	
155	1161211	Greaby	
156	931009	FistFucker	
156	1042351	MPD	
156	1125922	sunson	
156	1369612	Mica_MT	
156	2456494	NikRal	
156	2704692	InvisibleImpOfWisdom	
156	1655524	Pmimo	
157	812713	CøpyCut	
157	2661903	Amathon	
157	3882165	FredCirius	
157	3105214	Asg91	
158	2285024	hochrluc	
159	1271852	YannickLalleau	
159	1425976	vlafeychine	
159	1602768	kritpo	
160	1086346	Molteber	
160	820080	ripnet	
160	1533481	MattM	
160	1023843	Baelrog	
160	2002561	NeRGaL	
160	2614380	noelma	
160	317861	lordgun	
161	899590	Poda	
161	847745	Orminot	
161	1353495		
161	1434004	maxbatura	
161	2638130	TheMistyJoke	
162	625354	oxmolol	
162	1536052	adaiwa	
162	2543120	Markco	
163	944772	DjoDJoKing	
163	986028	xaved	
163	1139096	Crymson	
163	1171849	UBERDUX	
163	1059313	_SERGE_	
163	1065845	Oli8	
163	1468470	Andrzej	
163	1511645	OleksandrVoytsekhovskyy	
163	2786666	TetraktysPhi	
163	3360672	Storepheus	
164	1049551	Azphereax	
164	399861	Srekcud	
164	1482103	BlasterBaz	
164	2165639	henne	
164	2665870	HappyPaul55	
164	2315411	cejonio	
164	1723138	Frank_Sinatra	
164	3393535	LuckyJ.	
165	933749	fleporcq	
165	304126	kami	
165	999109	otacke	
165	1028993	Xanadrel	
165	1079687	ThomasGuillier	
165	1290498	Khorne	
165	1035994	Sigee	
165	1740037	ereiam	
165	3076711	Sceurpien	
166	899864	therainycat	
166	389000	WasaStar	
166	1249480	Cheejyg	
166	1316741	P4tator	
166	1298753	beer	
166	1611514	JJRuiz	
166	1209562	JohnnyYuge	
166	1829569	[0___0]	
166	2073179	Biwere	
166	818780	bbodin01	
166	2946541		
166	2653642	AnhDuyNguyen	
166	2447012	CodeOtaku	
166	3088965	divveee	
166	2453008	Crypticsy	
166	2386035	Samsonov	
166	1407621	Taohbi	
166	2924895	trictrac	
166	1201796	P.Greze	
166	334009	abouvier	
166	1584774	FoXbOw	
167	1011080	LGeorgiev	
167	1105849	Savagge	
167	1210421	RunningSloth	
167	1330935	jul0105	
167	1300176	CPP_Dave	
167	1674504	Tholor	
167	1121157	rliukshyn	
167	1707377	Colgate-Blancheur	
167	2195827	Stoatee	
167	2433085	LuigiCroni	
167	1075260	metwesse	
167	2543040		
167	1504999	LasiusSp	
167	2109780	ChaudCoLaTeen	
167	256955	cup_of_tea	
167	558770	lD	
167	2317026	SomLuckyBoi	
167	2897325	CAEZAR	
167	1546034	trakos	
167	1466631	Akrib	
168	1103913	EmV	
168	613131		
168	1443075	Wolfy82	
168	1687534	Drizzt_Drone38	
168	1792319	Pakos	
168	1835633	OlivePasCho	
169	399978	Julien	
169	1058272	Nazalas	
169	907056	1c30l4t0r	
169	1363439	ilmir	
169	1010619	Yasuragi	
169	1152307	JON	
169	820541	Johnstyle	
169	1957096	remyLemeunier	
169	890305	Michel-L	
170	222473	patpir	
170	1073120	Gouzoul	
170	1152008	GrigoreDiviza	
170	1219739	Ryweal	
170	1229257	Pingwi	
170	153809		
170	1347771	AirBair	
170	1440262	DeafGecko	
170	1462880	Roxis	
170	1522034	Deadlock	
170	1546047		
170	504154	Kenshineuh	
170	3059018	PPS	
170	3308199	ChadThundercode	
170	3425306	CiroCiampaglia	
170	3679709	GiggZ	
171	826058	niconoe	
171	873845	xxflip	
171	1106175	rnbwSpctrm	
171	1164749	MarcLmt	
171	1206598	Moradal	
171	1340538	BenSmith	
171	1760575	Krusaid	
171	1778780	Showstorm	
171	1882121	NewtGarrix	
171	1077559	PhOeNyX	
171	3286802	JonasS	
171	3427358	Cc3a9dric	
172	386350	Nekith	
172	1012954	SansVictoires	
172	1155071	Khdoop	
172	665170	RagingPlatypus	
172	1304705	Nicoo	
172	1283250	IllidanCamuflaMalar	
172	1472386	AsturJ	
172	1754830	mikoczy	
172	2095775	CamperKarl	
172	811353	Tolito	
172	962495	e-boot	
173	1047910	o_lobo	
173	673993	Anyny0	
173	1056194	Mochilo	
173	1228339	cmart299	
173	1781409	schubc	
173	1736046	SmolyarO	
173	1709078	LeMojo	
174	999540	Moderate	
174	659062	os4rs4r	
174	1070437	Mojos	
174	1127187	emri99	
174	233368	Mouradif	
174	160253	doydoy	
174	1396655	jmulliez	
174	1461983	clagiordano	
174	1304583	eltharin	
174	986787	Niamor	
175	776033	Romus	
175	943657	Leandrow	
175	511847	Arkhane	
175	1063692	Xsoft	
175	1142174	LucasDupke	
175	1120229	Aiesnow	
175	1553654	AbcAeffchen	
175	1671791	spongeben	
175	3231031	illace	
175	3387410	Paolo_Rzf	
176	1120615	kubajz	
176	1161245	Eguiluz	
176	1191969	Igorgore	
176	1135035	Bacri	
176	1323814	SatineChatounette	
176	1029689	Vereos	
176	2237474	winw	
176	845162	jecko	
177	911815	derlapa	
177	885213	MoonlightWolf	
177	890069	KOrb3nDAlla5	
177	1082677	JaguarARX	
177	1072468	Coytech	
177	1036137	med-bj	
177	969727	lacipuff	
177	1192205	iow	
177	1303209	Xorpio	
177	1630341		
177	567818	prof_shadocko	
178	616339	AlexeyRastaturin	
178	1044221	NikolaPaiyakDev	
178	694454	palexi	
178	2968495	gillesMartin	
179	935744	Alcalyn	
179	1070089	FlyingKumquat	
179	1095219	rhari	
179	1167805	ciusix	
179	1201120	Napster	
179	1170420	LeBoucher	
179	1670057	HunmaN	
