Comp.	Score	UserID	Pseudo	#golf,count=134,time=2021-08-01 00:30:40
100	122	3354337	Westicles	
100	155	4095799	circular17	
100	165	3509975	bneumann	
100	171	734401	b0n5a1	
100	176	788340	real_aibolit	
100	177	1399382	Regulus136	
100	192	1179950	Patorikkuyatta	
100	204	1148961	BackToRGB	
100	223	1402511	AlexRomanov	
100	225	1152008	GrigoreDiviza	
100	225	1707377	Colgate-Blancheur	
100	227	662291	kexter	
100	236	3308199	ChadThundercode	
100	241	1039983	j0k3r	
100	241	2525854	AlexRacer	
100	245	2786666	TetraktysPhi	
100	245	862919	Astrobytes	
100	252	828239	[SG]Bisou	
100	256	2353603	MrSok	
100	258	1654818	tarapitha	
100	262	1889170	mvujas	
100	266	1754912	EndraKlausBaudelaire	
100	266	4230724	SefioR13	
100	275	1127418	Kepes.Tamas	
100	295	1676558	dimon_kazakov	
100	310	1961577	bte234	
100	348	826372	skyyker	
100	352	818401	Gloegg	
100	396	996606	Indy	
100	397	819035	Vader	
100	409	999596	Schyrsivochter	
100	411	1500515	eulerscheZahl	
100	419	155774	dwarfie	
100	426	1877215	Zenkai	
100	459	1683637	Achando	
100	476	3305510	TBali	
100	477	2349585	Maaxxaam	
100	480	420035	bvs23bkv33	
100	495	1740037	ereiam	
100	496	990110	Rogerup	
100	510	943784	RobertK	
100	510	3657882	lehuymanhtan	
100	512	2290633	field3	
100	529	1235841	andreasp	
100	558	900092	Freddie26	
100	565	1188212	superredlark	
100	569	1466631	Akrib	
100	582	1264647	Donrico79	
100	617	1323814	Wildcat-SC	
100	622	794591	lord_Kozel	
100	637	1220446	yizraor	
100	647	1435100	SteMak	
100	649	1375230	Ilde	
100	666	1075480	maxgazze	
100	675	905228	lerkasan	
100	710	1275788	azamat_7g	
100	740	926656	executter	
100	851	875453	Chapel	
100	871	1941887	Cesi0r	
100	921	735910	Agade	
100	990	419322	DSA	
100	1078	464006	Ryugate	
100	1103	1201315	ChetRoller	
100	1175	1077559	PhOeNyX	
100	1220	230794	alpha_one_x86	
100	1239	199979	VonRickroll	
100	1283	1390607	Ivan_Derzhylo	
100	1397	257832	BlaiseEbuth	
100	1419	1433338	Elykia	
100	1604	154984	_Royale	
100	1656	2177896	NTL51	
100	1656	484004	aCat	
100	1709	587769	infusion	
100	1752	1255692	VelxioRH	
100	1768	1206537	MadKnight	
100	1802	474728	OlehKozych	
100	1808	2570510		
100	1838	1215408	tle-meur	
100	1848	1065845	Oli8	
100	1848	1066028	JrmC	
100	1848	1068877	[CPC]Tamno	
100	1848	805067	Magus	
100	1848	4112733	SGE-GamingWarrior	
100	1853	869020	M.M.	
100	1856	1783604	Vry	
100	1870	4383483	KirKhal	
100	1878	3029233	ZeroAbbyss	
100	1879	788361	Bob	
100	1891	2523127	Synthetic	
100	1902	2607246	SashoBozhinov	
100	1904	1308720	Pattrick	
100	1973	3309767	DualisT	
100	2070	936495	LittleCrow	
100	2105	2288570	RidhaR	
100	2166	1122753	Kenda	
100	2205	1792474	Taly	
100	2333	1396678	Haryanto	
100	2339	1121811	TryFinally	
100	2340	1002630	vkorni97	
100	2409	1939974	28122000	
100	2541	1133732	dBorg	
100	2566	886124	YessineKAMMOUN	
100	2828	1044362	Grefu	
100	3221	1228780	GalaxyDash	
75	85	1483723	d-s-x	
75	87	1537792	AsaiYusuke	
75	115	2928146	LolCat	
75	134	1202744	KILLogic	
75	136	1848459	Velcoro	
75	166	464971	PsyGuy66	
75	168	1128225	AxleShaft	
75	180	3845610	pardouin	
75	180	2371389	Franta	
75	185	1436776	BrainSolver	
75	233	2043908	AntiSquid	
75	301	2069141	tomeko	
75	435	864071	Basecrosser	
75	475	1231532	Arnaud_63	
75	482	1464932	Tiramon	
75	517	893027	R.Janvier	
75	522	1908091	RedAustin	
50	135	371603	martin	
50	146	218189	[CG]Maxime	
50	146	1001096	MyIIone	
50	164	553938	MagAlex	
50	166	545951	AntonT	
50	166	886483	R4N4R4M4	
50	1924	1036952	CortexDeveloper	
25	300	162669	Gangrene	
25	2169	1425839	igomats	
0	94	1629259	Marchete	
0	98	1100752	ValNykol	
0	122	557990	Wazemo	
0	1759	3427077	hxyh2012	
