Score	UserID	Pseudo	#golf,count=97,time=2020-10-16 02:37:11
148	1483723	d-s-x	
152	709490	Sinlepuissant	
181	1436776	BrainSolver	
260	2288263	dbdr	
293	1500515	eulerscheZahl	
301	1399382	Regulus136	
325	1407720	bananaMixer	
355	1128769	Dwakus	
356	3631678	MarwaneBK	
360	2786666	TetraktysPhi	
361	3845610	pardouin	
365	1394530	Idleless	
369	2025454	stakka	
378	1975116	[BT]Atte	
388	363429	ATHANOR	
389	1404934	tarriel	
392	1597334	Mono	
414	1514899	Wcubed	
420	1164798	ndriscoll	
421	3808031	_proton	
423	2419811	Valbou	
428	3308199	ChadThundercode	
429	996696	XO-Splicer	
443	1689362	TaylorSwift	
451	1740037	ereiam	
455	2546042	Badewanne3	
457	3325474	Bobbadillio	
461	1532100	imperio	
470	2290633	field3	
478	3800501	WilE	
485	862919	Astrobytes	
492	999596	Schyrsivochter	
492	2870113	Reeeeeeeee	
498	1573641	Headingtofall	
499	817627	geot	
500	1515577	Frettchen7	
502	1166600	Gill153	
512	1466631	Akrib	
520	1390789	Matthieu.L	
559	1687230	Le_Prof	
564	2830703	singron	
568	1294784	Janosimas	
580	2725239	Zandy156	
591	1834905	[Csongor]	
616	2235616	BroneKot	
661	1536713	LeRelou	
663	1371420	FerrusDude	
671	1379639	Bluesk13s	
673	1563805	Eswcvlad	
691	3450145	eXodiquas	
716	1546047		
719	1323814	SatineChatounette	
819	1654818	tarapitha	
827	226115	Nergal	
845	1582011	cryp	
927	2355500	Esteth	
966	1077559	PhOeNyX	
975	1495491	[Random]-J3ff3z	
1007	199979	VonRickroll	
1012	1215408	tle-meur	
1120	900557	AlexBobkov	
1127	1279751	Tudou	
1153	735910	Agade	
1158	2043908	AntiSquid	
1291	3370514	mdsimmo	
1336	1028456	danielinux	
1345	3380102	Ashitaka	
1468	875453	Chapel	
1529	3240292	Traumination	
1570	1433338	Elykia	
1704	869020	M.M.	
1740	899302	mvlabat	
1826	1066028	JrmC	
1826	1065845	Oli8	
1826	1068877	[CPC]Tamno	
1881	418468	f_koala	
1897	1502753	yefremov	
1926	788361	Bob	
1931	3794797	pod111111111111111	
1963	805067	Magus	
2021	826372	skyyker	
2049	3354337	Westicles	
2181	3506885	ioioioi	
2277	1001096	MyIIone	
