Comp.	Score	UserID	Pseudo	#golf,count=177,time=2022-08-13 01:13:44
100	113	1399382	Regulus136	
100	122	3354337	Westicles	
100	140	2874091	5DN1L	
100	142	1540394	LVdA	
100	146	2713608	LostSymphony	
100	148	3514975	PhuRiNaT	
100	151	1436776	BrainSolver	
100	156	1939310	MasterOf_	
100	164	1179950	Patorikkuyatta	
100	172	4846841	Snowy1803	
100	178	2333316	Ionax	
100	180	3833014	0b1010	
100	180	4587710	Smetalka	
100	182	1506280	TwoLate	
100	184	3516345	Jp82	
100	187	3406209	Lordam	
100	188	1441239	Dyd	
100	191	2414210	yanykin	
100	191	1466631	Akrib	
100	196	4066824	Thannajo	
100	208	1788623	knarfw	
100	208	4341304	Remi.	
100	209	1493045	adi2oo4	
100	210	2997884	Zollerboy1	
100	211	3942955	dudio_nl	
100	214	2425803	Lancelotbronner	
100	219	1654818	tarapitha	
100	223	3509955	pchBdx	
100	225	959402	gmessier	
100	226	4800877	Trew12	
100	230	862919	Astrobytes	
100	231	3309900	Raahs	
100	237	4935185	WolferWolfy	
100	240	3430007	aloksbd	
100	243	3305510	TBali	
100	244	2715557	PGRBryant	
100	248	4402812	NicolasAlmerge	
100	252	3567718	sonicbigboom	
100	254	1337680	Discoordination	
100	262	817627	geot	
100	269	3686127	HarlekinX	
100	269	2290633	field3	
100	271	4054394	Kreontsa	
100	290	2230279	TheXeos	
100	294	154806	piwai	
100	296	4078082	P0l4ris	
100	304	3376962	Kous92	
100	357	2851851	Rahex	
100	377	4684322	infinity_atom42	
100	578	1288019	Jarret	
100	597	4930824	floretcl	
100	671	4372581	tony_c328832	
100	718	1077559	PhOeNyX	
100	789	4717726	[Nexure]	
100	1015	4334077	Paul_Demanze	
100	1097	3657275	jujurocking	
100	1125	3953448	KAROU	
100	1144	1354623	Second_Ideal	
100	1205	3861534	Caychu	
100	1242	1432035	AlexanderKoryttsev	
100	1258	2889776	R4x03	
100	1356	4389190	cn_fiserj	
100	1386	3380082	chaosarts	
100	1404	3706850	arktik	
100	1409	484004	aCat	
100	1456	4049816	Dee-R	
100	1467	4036066	Lucena	
100	1484	4312808	EvgeniySmr	
100	1501	820000	ValGrowth	
100	1510	3818388	LeenaTekani	
100	1528	4435198	Zareen	
100	1782	4211542	Deniise	
100	2049	3454070	ArmyXomuiL	
100	2342	3476910	Reewees	
75	131	3087270	Alex.swift	
75	160	2069141	tomeko	
75	162	1330118	AndrewDunn	
75	201	1244685	dorion	
75	220	3845610	pardouin	
75	222	3517779	flo5589	
50	100	1188212	superredlark	
0	81	2288263	dbdr	
0	94	1629259	Marchete	
0	111	1444905	Scildrei	
0	116	709490	Sinlepuissant	
0	118	365796	CvxFous	
0	126	155774	dwarfie	
0	129	925695	Boulet	
0	132	446956	FranMowinckel	
0	160	1727220	Hyne	
0	165	1566990	Elsu	
0	190	1231532	Arnaud_63	
0	197	1728610	grimabe	
0	200	1305374	Frankich	
0	204	3342007	asdfghjkllkjhgfdsa	
0	205	166733	SkieFalkor	
0	213	1464932	Tiramon	
0	219	912633	Poviliukas	
0	222	1060181	Dabou	
0	222	2490008	ebicochineal	
0	224	1760575	Krusaid	
0	232	1323814	Wildcat-SC	
0	237	1352470	CarstenPaul	
0	241	2786666	TetraktysPhi	
0	245	1688142	GregoryM	
0	255	1140027	theBee	
0	256	2720968	wxy9ex	
0	264	1326805	JoshRapo	
0	269	1768586	f3rn4d0n	
0	277	1458157	chocolatecharlie	
0	286	1339431	Enie	
0	286	1618965	medrupaloscil	
0	286	625098	vmontagn	
0	289	826372	skyyker	
0	294	541447	ThomasCle	
0	294	2830790	dmi3i	
0	305	3308199	ChadThundercode	
0	308	833519	5k4	
0	325	1772006	mmich	
0	328	1470927	MisterQuidam	
0	329	1412040	ciuryn	
0	349	1908091	RedAustin	
0	373	1740037	ereiam	
0	403	1145122	Turturul	
0	423	199979	VonRickroll	
0	443	1236984	IamMashed	
0	454	1438835	smohn	
0	480	1521281	RM150	
0	493	749618	Di0niz	
0	501	875453	Chapel	
0	501	1664616	WillowwolliW	
0	563	1500515	eulerscheZahl	
0	566	1867219	bradhilton	
0	615	1136521	nadrek	
0	649	403748	[CG]SaiksyApo	
0	652	981199	m4m0ut	
0	691	1455082	conkerer	
0	769	1582269	Skylezh	
0	863	1433338	Elykia	
0	877	1464734	Slimikus	
0	891	1313458	JesseAnderson	
0	1000	1588135	bjurner	
0	1041	1281764	AhmadShallouf	
0	1073	1708971	AlexandruDragosin	
0	1074	1621842	Racorse	
0	1076	914487	rypcord	
0	1076	4854722	Johnston	
0	1086	1347060	Hexoplasmix	
0	1097	3836830	rayyan2512	
0	1103	1066028	JrmC	
0	1103	1065845	Oli8	
0	1103	1068877	[CPC]Tamno	
0	1103	805067	Magus	
0	1103	735910	Agade	
0	1116	4082265		
0	1154	2614406	TheHypochondriac	
0	1161	1758314	BenjaminEricson	
0	1166	1641849	Gorter	
0	1233	1779008	Raph_AB	
0	1308	869020	M.M.	
0	1338	1215408	tle-meur	
0	1398	788361	Bob	
0	1446	1109616	RomanFilippov	
0	1451	295094	happy-star	
0	1474	1130204	BillyS	
0	1490	1349769	EltonCosmonote	
0	1522	1698635	elostiragne	
0	1563	3246513	AhmedIbrrahim	
0	1570	1426789	unsane	
0	1571	2915137	HawRog	
0	1639	1376301	IvanZagorulko	
0	1664	1345546	Yacone	
0	1752	2472072		
0	1869	3388288	WerdTollGate	
0	2159	2474915	rishabhsharma	
0	2270	1562860	RichardSchnitzel	
0	2768	1936945	BloodHound	
